model,horizon_days,fold,val_start,val_end,n_obs,n_dates,mean_rank_ic,median_rank_ic,std_rank_ic,information_ratio,fraction_dates_positive_ic,top_quintile_excess,bottom_quintile_excess,top_minus_bottom_spread,hit_rate_top_quintile,positive_spread_fraction,top_quintile_max_sector_share,turnover_proxy
MODEL_FREE_COMPOSITE_BASELINE,5,0,2019-04-05,2019-10-03,16104,126,0.071945,0.097072,0.242322,0.296898,0.65873,0.003532,-0.000389,0.003921,0.579976,0.619048,0.179487,0.195077
RIDGE_LINEAR_RANK_MODEL,5,0,2019-04-05,2019-10-03,16104,126,-0.012759,-0.014561,0.241587,-0.052814,0.468254,0.000153,0.001856,-0.001704,0.507326,0.452381,0.308608,0.183692
OPTIONAL_LOGISTIC_OUTPERFORMER,5,0,2019-04-05,2019-10-03,16104,126,0.013006,0.004111,0.210895,0.061671,0.515873,0.000615,0.000344,0.000271,0.535409,0.595238,0.365995,0.163077
MODEL_FREE_COMPOSITE_BASELINE,21,0,2019-04-05,2019-10-03,16104,126,0.074927,0.145562,0.257801,0.29064,0.603175,0.008559,-0.004261,0.012821,0.571734,0.611111,0.179487,0.195077
RIDGE_LINEAR_RANK_MODEL,21,0,2019-04-05,2019-10-03,16104,126,0.016281,0.016575,0.19176,0.084903,0.531746,0.004023,0.00238,0.001643,0.504884,0.539683,0.344628,0.136
OPTIONAL_LOGISTIC_OUTPERFORMER,21,0,2019-04-05,2019-10-03,16104,126,0.02088,0.00176,0.151543,0.137784,0.507937,0.005221,0.000592,0.004628,0.520452,0.52381,0.362027,0.144308
MODEL_FREE_COMPOSITE_BASELINE,63,0,2019-04-05,2019-10-03,16104,126,-0.048437,0.031819,0.27353,-0.17708,0.539683,0.002419,0.021517,-0.019098,0.491453,0.492063,0.179487,0.195077
RIDGE_LINEAR_RANK_MODEL,63,0,2019-04-05,2019-10-03,16104,126,0.028613,0.015482,0.133144,0.2149,0.531746,0.031364,0.007294,0.02407,0.579365,0.626984,0.455739,0.093538
OPTIONAL_LOGISTIC_OUTPERFORMER,63,0,2019-04-05,2019-10-03,16104,126,-0.008239,-0.010961,0.080053,-0.102921,0.428571,0.014268,0.012935,0.001332,0.511294,0.468254,0.48779,0.096923
MODEL_FREE_COMPOSITE_BASELINE,5,1,2019-10-04,2020-04-03,16128,126,-0.014491,-0.004186,0.20763,-0.069791,0.5,0.002117,0.001729,0.000388,0.507631,0.460317,0.168193,0.226769
RIDGE_LINEAR_RANK_MODEL,5,1,2019-10-04,2020-04-03,16128,126,0.011435,0.016425,0.258944,0.04416,0.515873,0.003695,0.00031,0.003385,0.517705,0.531746,0.308303,0.186462
OPTIONAL_LOGISTIC_OUTPERFORMER,5,1,2019-10-04,2020-04-03,16128,126,0.002286,-0.01685,0.24372,0.009381,0.484127,0.003321,0.001539,0.001782,0.513736,0.468254,0.311661,0.156615
MODEL_FREE_COMPOSITE_BASELINE,21,1,2019-10-04,2020-04-03,16128,126,-0.047937,0.001142,0.215635,-0.222307,0.515873,0.001577,0.011344,-0.009767,0.476496,0.373016,0.168193,0.226769
RIDGE_LINEAR_RANK_MODEL,21,1,2019-10-04,2020-04-03,16128,126,-0.034546,-0.041928,0.193312,-0.178706,0.412698,-0.00058,0.010269,-0.010849,0.492063,0.452381,0.308303,0.145538
OPTIONAL_LOGISTIC_OUTPERFORMER,21,1,2019-10-04,2020-04-03,16128,126,-0.069486,-0.078955,0.148992,-0.466376,0.269841,-0.005555,0.01349,-0.019045,0.483822,0.277778,0.351648,0.123692
MODEL_FREE_COMPOSITE_BASELINE,63,1,2019-10-04,2020-04-03,16128,126,-0.023992,0.034489,0.191204,-0.125479,0.563492,0.00403,0.021026,-0.016997,0.500611,0.444444,0.168193,0.226769
RIDGE_LINEAR_RANK_MODEL,63,1,2019-10-04,2020-04-03,16128,126,-0.000392,-0.014978,0.19993,-0.001962,0.468254,0.022704,0.000372,0.022331,0.516178,0.515873,0.314408,0.112923
OPTIONAL_LOGISTIC_OUTPERFORMER,63,1,2019-10-04,2020-04-03,16128,126,0.024832,0.009891,0.183237,0.135519,0.52381,0.022335,0.001854,0.020481,0.55464,0.452381,0.355617,0.097846
MODEL_FREE_COMPOSITE_BASELINE,5,2,2020-04-06,2020-10-02,16128,126,0.045647,0.028516,0.346147,0.131871,0.515873,0.001787,0.000299,0.001488,0.513431,0.5,0.294567,0.222462
RIDGE_LINEAR_RANK_MODEL,5,2,2020-04-06,2020-10-02,16128,126,0.046707,0.050177,0.288895,0.161675,0.547619,0.004054,-0.002897,0.006951,0.514042,0.547619,0.2616,0.154462
OPTIONAL_LOGISTIC_OUTPERFORMER,5,2,2020-04-06,2020-10-02,16128,126,0.071879,0.069593,0.206117,0.348732,0.626984,0.003585,-0.004109,0.007695,0.513736,0.634921,0.266178,0.181538
MODEL_FREE_COMPOSITE_BASELINE,21,2,2020-04-06,2020-10-02,16128,126,0.067787,0.112184,0.285822,0.237166,0.650794,0.002751,-0.003254,0.006005,0.509768,0.619048,0.294567,0.222462
RIDGE_LINEAR_RANK_MODEL,21,2,2020-04-06,2020-10-02,16128,126,0.050435,0.03499,0.223219,0.225944,0.555556,0.005232,-0.012022,0.017254,0.465812,0.563492,0.265568,0.131077
OPTIONAL_LOGISTIC_OUTPERFORMER,21,2,2020-04-06,2020-10-02,16128,126,0.072607,0.05024,0.187297,0.387656,0.587302,0.003562,-0.014022,0.017584,0.482906,0.626984,0.351038,0.143692
MODEL_FREE_COMPOSITE_BASELINE,63,2,2020-04-06,2020-10-02,16128,126,-0.038522,-0.021034,0.222803,-0.172898,0.460317,-0.00248,0.017093,-0.019573,0.432845,0.47619,0.294567,0.222462
RIDGE_LINEAR_RANK_MODEL,63,2,2020-04-06,2020-10-02,16128,126,0.120608,0.136156,0.198568,0.607389,0.738095,0.028002,-0.029397,0.057399,0.519231,0.738095,0.252137,0.083692
OPTIONAL_LOGISTIC_OUTPERFORMER,63,2,2020-04-06,2020-10-02,16128,126,0.13285,0.17912,0.173509,0.765664,0.769841,0.039247,-0.031701,0.070948,0.56685,0.801587,0.289377,0.079692
MODEL_FREE_COMPOSITE_BASELINE,5,3,2020-10-05,2021-04-06,16128,126,-0.063727,-0.041482,0.23418,-0.272129,0.452381,-0.00136,0.007839,-0.009198,0.449023,0.428571,0.197802,0.245846
RIDGE_LINEAR_RANK_MODEL,5,3,2020-10-05,2021-04-06,16128,126,0.002227,0.002143,0.21758,0.010234,0.5,0.002755,0.002964,-0.000209,0.485958,0.468254,0.296398,0.237846
OPTIONAL_LOGISTIC_OUTPERFORMER,5,3,2020-10-05,2021-04-06,16128,126,-0.014751,-0.055999,0.253079,-0.058288,0.444444,0.001893,0.004865,-0.002973,0.493284,0.47619,0.34188,0.205231
MODEL_FREE_COMPOSITE_BASELINE,21,3,2020-10-05,2021-04-06,16128,126,-0.106878,-0.112849,0.243757,-0.438459,0.349206,-0.003463,0.027089,-0.030552,0.424603,0.349206,0.197802,0.245846
RIDGE_LINEAR_RANK_MODEL,21,3,2020-10-05,2021-04-06,16128,126,0.060414,0.05727,0.155021,0.389715,0.68254,0.017068,0.000711,0.016357,0.511905,0.690476,0.333028,0.121231
OPTIONAL_LOGISTIC_OUTPERFORMER,21,3,2020-10-05,2021-04-06,16128,126,0.048491,0.056306,0.16903,0.286878,0.587302,0.015186,0.004248,0.010939,0.508852,0.603175,0.357753,0.151385
MODEL_FREE_COMPOSITE_BASELINE,63,3,2020-10-05,2021-04-06,16128,126,-0.210639,-0.185857,0.210338,-1.001432,0.18254,-0.015032,0.073041,-0.088072,0.403846,0.166667,0.197802,0.245846
RIDGE_LINEAR_RANK_MODEL,63,3,2020-10-05,2021-04-06,16128,126,0.070798,0.141598,0.174101,0.406651,0.730159,0.00881,-0.00807,0.01688,0.510073,0.68254,0.351343,0.071385
OPTIONAL_LOGISTIC_OUTPERFORMER,63,3,2020-10-05,2021-04-06,16128,126,0.026676,0.05042,0.124342,0.21454,0.650794,0.015402,0.007813,0.00759,0.525641,0.595238,0.385531,0.090154
MODEL_FREE_COMPOSITE_BASELINE,5,4,2021-04-07,2021-10-04,16128,126,-0.023235,-0.042101,0.225181,-0.103186,0.428571,-0.000925,0.001684,-0.002609,0.466728,0.349206,0.238706,0.233231
RIDGE_LINEAR_RANK_MODEL,5,4,2021-04-07,2021-10-04,16128,126,-0.024719,-0.025044,0.21981,-0.112455,0.460317,-0.000555,0.000751,-0.001306,0.460623,0.460317,0.233211,0.276
