feature,family,role,non_null_fraction,full_sample_mean_daily_rank_ic_vs_excess_21d,n_ic_dates
downside_vol_21d,volatility_risk,feature,0.991989,0.052996,2586
realized_vol_21d,volatility_risk,feature,0.991989,0.051007,2586
realized_vol_63d,volatility_risk,risk_factor_and_feature,0.975967,0.048843,2544
max_drawdown_63d,volatility_risk,feature,0.976349,-0.048116,2545
rolling_beta_63d,market_relative,risk_factor_and_feature,0.975967,0.045177,2544
distance_from_63d_high,volatility_risk,feature,0.976349,-0.031035,2545
sector_relative_volatility_63d,sector_relative,feature,0.975967,0.028703,2544
reversal_21d,reversal,feature,0.991989,0.023981,2586
excess_return_vs_spy_21d,market_relative,feature,0.991989,-0.023981,2586
reversal_10d,reversal,feature,0.996185,0.020993,2597
rolling_corr_spy_63d,market_relative,risk_factor_and_feature,0.975967,0.019304,2544
reversal_5d,reversal,feature,0.998093,0.015643,2602
avg_dollar_volume_21d,volume_liquidity,feature,0.992371,-0.01431,2587
sector_relative_reversal_21d,sector_relative,feature,0.991989,0.014253,2586
sector_relative_return_21d,sector_relative,feature,0.991989,-0.014253,2586
momentum_12_1,price_momentum,feature,0.903869,0.011504,2355
excess_return_vs_spy_63d,market_relative,feature,0.975967,-0.011134,2544
return_63d,price_momentum,feature,0.975967,-0.011134,2544
sector_relative_reversal_5d,sector_relative,feature,0.998093,0.010835,2602
return_252d,price_momentum,feature,0.903869,0.009461,2355
sector_relative_return_63d,sector_relative,feature,0.975967,-0.006809,2544
sector_relative_momentum_12_1,sector_relative,feature,0.903869,0.0059,2355
return_126d,price_momentum,feature,0.951934,-0.00332,2481
