model,horizon_days,fold,val_start,val_end,regime_label,n_obs,n_dates,mean_rank_ic,median_rank_ic,std_rank_ic,information_ratio,fraction_dates_positive_ic,top_quintile_excess,bottom_quintile_excess,top_minus_bottom_spread,hit_rate_top_quintile,positive_spread_fraction,top_quintile_max_sector_share,turnover_proxy,overlap_corrected_n_dates,overlap_corrected_mean_rank_ic
MODEL_FREE_COMPOSITE_BASELINE,21,0,2019-04-05,2019-10-03,choppy_sideways,16104,126,0.074927,0.145562,0.257801,0.29064,0.603175,0.008559,-0.004261,0.012821,0.571734,0.611111,0.179487,0.195077,,
REFINED_RIDGE_LINEAR_RANK_MODEL,21,0,2019-04-05,2019-10-03,choppy_sideways,16104,126,0.005085,-0.006579,0.099679,0.051012,0.460317,0.000563,0.001485,-0.000922,0.498168,0.444444,0.223443,0.125231,,
LOGISTIC_OUTPERFORMER_BENCHMARK,21,0,2019-04-05,2019-10-03,choppy_sideways,16104,126,-0.018758,-0.012073,0.131309,-0.142853,0.452381,0.001361,0.005509,-0.004148,0.502137,0.484127,0.250611,0.121538,,
MODEL_FREE_COMPOSITE_BASELINE,63,0,2019-04-05,2019-10-03,choppy_sideways,16104,126,-0.048437,0.031819,0.27353,-0.17708,0.539683,0.002419,0.021517,-0.019098,0.491453,0.492063,0.179487,0.195077,2.0,0.249086
REFINED_RIDGE_LINEAR_RANK_MODEL,63,0,2019-04-05,2019-10-03,choppy_sideways,16104,126,-0.026864,-0.014838,0.125886,-0.213398,0.428571,0.00362,0.014903,-0.011283,0.500611,0.484127,0.247863,0.097231,2.0,0.02169
LOGISTIC_OUTPERFORMER_BENCHMARK,63,0,2019-04-05,2019-10-03,choppy_sideways,16104,126,-0.080352,-0.119301,0.148547,-0.54092,0.31746,0.000878,0.030105,-0.029228,0.493895,0.293651,0.239927,0.139692,2.0,-0.011932
MODEL_FREE_COMPOSITE_BASELINE,5,0,2019-04-05,2019-10-03,choppy_sideways,16104,126,0.071945,0.097072,0.242322,0.296898,0.65873,0.003532,-0.000389,0.003921,0.579976,0.619048,0.179487,0.195077,,
REFINED_RIDGE_LINEAR_RANK_MODEL,5,0,2019-04-05,2019-10-03,choppy_sideways,16104,126,0.006711,0.000114,0.127897,0.052475,0.5,-0.000221,0.001668,-0.001888,0.50641,0.444444,0.231074,0.167692,,
LOGISTIC_OUTPERFORMER_BENCHMARK,5,0,2019-04-05,2019-10-03,choppy_sideways,16104,126,0.004025,0.014646,0.165643,0.024298,0.531746,0.000157,0.001799,-0.001642,0.527167,0.515873,0.242063,0.211077,,
MODEL_FREE_COMPOSITE_BASELINE,21,1,2019-10-04,2020-04-03,risk_off_drawdown_high_vol,16128,126,-0.047937,0.001142,0.215635,-0.222307,0.515873,0.001577,0.011344,-0.009767,0.476496,0.373016,0.168193,0.226769,,
REFINED_RIDGE_LINEAR_RANK_MODEL,21,1,2019-10-04,2020-04-03,risk_off_drawdown_high_vol,16128,126,-0.067016,-0.090297,0.150721,-0.444634,0.388889,0.001536,0.011627,-0.010091,0.471001,0.373016,0.200855,0.137231,,
LOGISTIC_OUTPERFORMER_BENCHMARK,21,1,2019-10-04,2020-04-03,risk_off_drawdown_high_vol,16128,126,-0.054964,-0.04713,0.143317,-0.38351,0.365079,0.003428,0.015151,-0.011722,0.501526,0.396825,0.191697,0.124923,,
MODEL_FREE_COMPOSITE_BASELINE,63,1,2019-10-04,2020-04-03,risk_off_drawdown_high_vol,16128,126,-0.023992,0.034489,0.191204,-0.125479,0.563492,0.00403,0.021026,-0.016997,0.500611,0.444444,0.168193,0.226769,2.0,-0.250898
REFINED_RIDGE_LINEAR_RANK_MODEL,63,1,2019-10-04,2020-04-03,risk_off_drawdown_high_vol,16128,126,-0.079352,-0.119419,0.136253,-0.582385,0.206349,0.019177,0.026964,-0.007787,0.509158,0.404762,0.202076,0.113231,2.0,-0.242535
LOGISTIC_OUTPERFORMER_BENCHMARK,63,1,2019-10-04,2020-04-03,risk_off_drawdown_high_vol,16128,126,-0.064359,-0.077375,0.14006,-0.459511,0.325397,0.010874,0.040063,-0.02919,0.523199,0.253968,0.197497,0.113846,2.0,-0.269479
MODEL_FREE_COMPOSITE_BASELINE,5,1,2019-10-04,2020-04-03,risk_off_drawdown_high_vol,16128,126,-0.014491,-0.004186,0.20763,-0.069791,0.5,0.002117,0.001729,0.000388,0.507631,0.460317,0.168193,0.226769,,
REFINED_RIDGE_LINEAR_RANK_MODEL,5,1,2019-10-04,2020-04-03,risk_off_drawdown_high_vol,16128,126,-0.020744,-0.041216,0.160862,-0.128958,0.373016,0.001201,0.001373,-0.000171,0.497863,0.365079,0.189866,0.196615,,
LOGISTIC_OUTPERFORMER_BENCHMARK,5,1,2019-10-04,2020-04-03,risk_off_drawdown_high_vol,16128,126,-0.002611,-0.032598,0.174142,-0.014992,0.428571,0.002228,-0.000363,0.002591,0.501526,0.507937,0.206654,0.228923,,
MODEL_FREE_COMPOSITE_BASELINE,21,2,2020-04-06,2020-10-02,risk_on_rally_high_vol,16128,126,0.067787,0.112184,0.285822,0.237166,0.650794,0.002751,-0.003254,0.006005,0.509768,0.619048,0.294567,0.222462,,
REFINED_RIDGE_LINEAR_RANK_MODEL,21,2,2020-04-06,2020-10-02,risk_on_rally_high_vol,16128,126,0.112677,0.095284,0.104543,1.077806,0.873016,0.014907,-0.003914,0.018821,0.56044,0.730159,0.22619,0.173538,,
LOGISTIC_OUTPERFORMER_BENCHMARK,21,2,2020-04-06,2020-10-02,risk_on_rally_high_vol,16128,126,0.107466,0.096528,0.115714,0.928721,0.793651,0.010737,-0.007118,0.017854,0.543956,0.706349,0.232601,0.140308,,
MODEL_FREE_COMPOSITE_BASELINE,63,2,2020-04-06,2020-10-02,risk_on_rally_high_vol,16128,126,-0.038522,-0.021034,0.222803,-0.172898,0.460317,-0.00248,0.017093,-0.019573,0.432845,0.47619,0.294567,0.222462,2.0,-0.033703
REFINED_RIDGE_LINEAR_RANK_MODEL,63,2,2020-04-06,2020-10-02,risk_on_rally_high_vol,16128,126,0.136925,0.138571,0.1167,1.173311,0.912698,0.032908,-0.01351,0.046419,0.518926,0.785714,0.221306,0.128308,2.0,0.194264
LOGISTIC_OUTPERFORMER_BENCHMARK,63,2,2020-04-06,2020-10-02,risk_on_rally_high_vol,16128,126,0.002574,0.016604,0.113259,0.022729,0.531746,0.018463,0.009327,0.009136,0.474359,0.619048,0.228022,0.172308,2.0,-0.041608
MODEL_FREE_COMPOSITE_BASELINE,5,2,2020-04-06,2020-10-02,risk_on_rally_high_vol,16128,126,0.045647,0.028516,0.346147,0.131871,0.515873,0.001787,0.000299,0.001488,0.513431,0.5,0.294567,0.222462,,
REFINED_RIDGE_LINEAR_RANK_MODEL,5,2,2020-04-06,2020-10-02,risk_on_rally_high_vol,16128,126,0.054725,0.053118,0.124705,0.438836,0.698413,0.004127,-8.2e-05,0.004209,0.526862,0.587302,0.199328,0.242154,,
LOGISTIC_OUTPERFORMER_BENCHMARK,5,2,2020-04-06,2020-10-02,risk_on_rally_high_vol,16128,126,0.065626,0.07349,0.136396,0.481141,0.730159,0.0036,-0.002986,0.006586,0.51221,0.690476,0.229548,0.226769,,
MODEL_FREE_COMPOSITE_BASELINE,21,3,2020-10-05,2021-04-06,risk_on_rally,16128,126,-0.106878,-0.112849,0.243757,-0.438459,0.349206,-0.003463,0.027089,-0.030552,0.424603,0.349206,0.197802,0.245846,,
REFINED_RIDGE_LINEAR_RANK_MODEL,21,3,2020-10-05,2021-04-06,risk_on_rally,16128,126,-0.059329,-0.043911,0.104475,-0.567871,0.349206,-0.000181,0.018078,-0.018259,0.437729,0.246032,0.228632,0.120308,,
