ticker,company_name,cik,sector,industry,source,effective_from,effective_to
AAPL,Apple Inc.,0000320193,Information Technology,"Technology Hardware, Storage & Peripherals",SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
MSFT,MICROSOFT CORP,0000789019,Information Technology,Systems Software,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
JPM,JPMORGAN CHASE & CO,0000019617,Financials,Diversified Banks,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
XOM,EXXON MOBIL CORP,0000034088,Energy,Integrated Oil & Gas,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
UNH,UNITEDHEALTH GROUP INC,0000731766,Health Care,Managed Health Care,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
AMZN,AMAZON COM INC,0001018724,Consumer Discretionary,Broadline Retail,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
NVDA,NVIDIA CORP,0001045810,Information Technology,Semiconductors,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
GOOGL,Alphabet Inc.,0001652044,Communication Services,Interactive Media & Services,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
META,"Meta Platforms, Inc.",0001326801,Communication Services,Interactive Media & Services,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
JNJ,JOHNSON & JOHNSON,0000200406,Health Care,Pharmaceuticals,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
PG,PROCTER & GAMBLE Co,0000080424,Consumer Staples,Household Products,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
HD,"HOME DEPOT, INC.",0000354950,Consumer Discretionary,Home Improvement Retail,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
BAC,BANK OF AMERICA CORP /DE/,0000070858,Financials,Diversified Banks,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
CVX,CHEVRON CORP,0000093410,Energy,Integrated Oil & Gas,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
PFE,PFIZER INC,0000078003,Health Care,Pharmaceuticals,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
KO,COCA COLA CO,0000021344,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
DIS,Walt Disney Co,0001744489,Communication Services,Movies & Entertainment,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
CAT,CATERPILLAR INC,0000018230,Industrials,Construction Machinery & Heavy Transportation Equipment,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
GE,GENERAL ELECTRIC CO,0000040545,Industrials,Aerospace & Defense,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
NEE,NEXTERA ENERGY INC,0000753308,Utilities,Electric Utilities,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
