ticker,sector,field,rows,has_field,latest_fiscal_period_end,earliest_fiscal_period_end,availability_coverage,point_in_time_usable_fraction
AAPL,Information Technology,revenue,8,True,2018-09-29,2016-12-31,1.0,1.0
AAPL,Information Technology,net_income,8,True,2026-03-28,2024-06-29,1.0,1.0
AAPL,Information Technology,operating_income,8,True,2026-03-28,2024-06-29,1.0,1.0
AAPL,Information Technology,eps_diluted,8,True,2026-03-28,2024-06-29,1.0,1.0
AAPL,Information Technology,total_assets,8,True,2026-03-28,2024-12-28,1.0,1.0
AAPL,Information Technology,total_liabilities,8,True,2026-03-28,2024-12-28,1.0,1.0
AAPL,Information Technology,shareholder_equity,8,True,2026-03-28,2025-03-29,1.0,1.0
AAPL,Information Technology,operating_cash_flow,8,True,2026-03-28,2024-06-29,1.0,1.0
AAPL,Information Technology,capital_expenditures,8,True,2026-03-28,2024-06-29,1.0,1.0
AAPL,Information Technology,free_cash_flow,8,True,2026-03-28,2024-06-29,1.0,1.0
MSFT,Information Technology,revenue,8,True,2010-12-31,2009-09-30,1.0,1.0
MSFT,Information Technology,net_income,8,True,2026-03-31,2024-06-30,1.0,1.0
MSFT,Information Technology,operating_income,8,True,2026-03-31,2024-06-30,1.0,1.0
MSFT,Information Technology,eps_diluted,8,True,2026-03-31,2024-06-30,1.0,1.0
MSFT,Information Technology,total_assets,8,True,2026-03-31,2025-03-31,1.0,1.0
MSFT,Information Technology,total_liabilities,8,True,2026-03-31,2025-03-31,1.0,1.0
MSFT,Information Technology,shareholder_equity,8,True,2026-03-31,2025-03-31,1.0,1.0
MSFT,Information Technology,operating_cash_flow,8,True,2026-03-31,2024-06-30,1.0,1.0
MSFT,Information Technology,capital_expenditures,8,True,2026-03-31,2024-06-30,1.0,1.0
MSFT,Information Technology,free_cash_flow,8,True,2026-03-31,2024-06-30,1.0,1.0
JPM,Financials,revenue,8,True,2025-12-31,2018-12-31,1.0,1.0
JPM,Financials,net_income,8,True,2026-03-31,2024-06-30,1.0,1.0
JPM,Financials,operating_income,0,False,,,0.0,0.0
JPM,Financials,eps_diluted,8,True,2026-03-31,2024-06-30,1.0,1.0
JPM,Financials,total_assets,8,True,2026-03-31,2024-12-31,1.0,1.0
