ticker,company_name,sector,industry,cik,fiscal_period_end,fiscal_year,fiscal_period,form,snapshot_type,feature_asof_date,source_field_count,required_field_coverage_fraction,point_in_time_usable,is_annual_snapshot,is_quarterly_snapshot,operating_margin,net_margin,fcf_margin,operating_cash_flow_margin,debt_proxy_total_liabilities_to_assets,equity_to_assets,asset_turnover_proxy,liability_to_equity,revenue_yoy_growth,net_income_yoy_growth,operating_income_yoy_growth,eps_diluted_yoy_growth,total_assets_yoy_growth,operating_cash_flow_yoy_growth,free_cash_flow_yoy_growth,cash_conversion,fcf_to_net_income,capex_intensity,accrual_proxy,log_total_assets,log_revenue_abs,log_total_liabilities_abs,filing_lag_days
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,2016-12-31,2018,FY,10-K,annual,2018-11-05T13:01:40.000Z,1,0.25,True,True,False,,,,,,,,,,,,,,,,,,,,,25.084465,,674
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,2017-04-01,2018,FY,10-K,annual,2018-11-05T13:01:40.000Z,1,0.25,True,True,False,,,,,,,,,,,,,,,,,,,,,24.691594,,583
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,2017-07-01,2018,FY,10-K,annual,2018-11-05T13:01:40.000Z,1,0.25,True,True,False,,,,,,,,,,,,,,,,,,,,,24.538954,,492
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,2017-09-30,2018,FY,10-K,annual,2018-11-05T13:01:40.000Z,1,0.25,True,True,False,,,,,,,,,,,,,,,,,,,,,26.158009,,401
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,2017-12-30,2018,FY,10-K,annual,2018-11-05T13:01:40.000Z,1,0.25,True,True,False,,,,,,,,,,,,,,,,,,,,,25.203927,,310
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,2018-03-31,2018,FY,10-K,annual,2018-11-05T13:01:40.000Z,1,0.25,True,True,False,,,,,,,,,,,,,,,,,,,,,24.836383,,219
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,2018-06-30,2018,FY,10-K,annual,2018-11-05T13:01:40.000Z,1,0.25,True,True,False,,,,,,,,,,,,,,,,,,,,,24.698545,,128
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,2018-09-29,2018,FY,10-K,annual,2018-11-05T13:01:40.000Z,1,0.25,True,True,False,,,,,,,,,,,,,,,,,,,,,26.305238,,37
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,2024-06-29,2024,Q3,10-Q,quarterly,2024-08-01T22:03:34.000Z,6,0.5,True,False,True,,,,,,,,,,,,,,,,1.157506,1.074734,,,,,,33
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,2024-09-28,2024,FY,10-K,annual,2024-11-01T10:01:36.000Z,6,0.5,True,True,False,,,,,,,,,,,,,,,,1.261564,1.160781,,,,,,34
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,2024-12-28,2025,Q1,10-Q,quarterly,2025-01-31T11:01:27.000Z,8,0.75,True,False,True,,,,,0.805984,,,,,,,,,,,0.823975,0.74305,,0.018586,26.564155,,26.348463,34
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,2025-03-29,2025,Q2,10-Q,quarterly,2025-05-02T10:00:46.000Z,8,0.75,True,False,True,,,,,0.798341,,,,,,,,,,,0.881803,0.78344,,0.021806,26.526088,,26.300869,34
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,2025-03-29,2025,Q3,10-Q,quarterly,2025-08-01T10:00:42.000Z,1,0.0,True,False,True,,,,,,,,,,,,,,,,,,,,,,,125
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,2025-06-28,2025,Q3,10-Q,quarterly,2025-08-01T10:00:42.000Z,9,0.75,True,False,True,,,,,0.801415,0.198585,,4.035622,,0.070177,0.074745,0.099804,,-0.105957,-0.148674,0.966999,0.854951,,0.008416,26.526879,,26.305502,34
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,2025-09-27,2025,FY,10-K,annual,2025-10-31T10:01:26.000Z,9,0.75,True,True,False,,,,,0.794753,0.205247,,3.872187,,0.194952,0.079811,0.226974,,-0.057267,-0.092273,0.995286,0.881769,,0.00147,26.607259,,26.377536,34
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,2025-09-27,2026,Q1,10-Q,quarterly,2026-01-30T11:01:32.000Z,3,0.25,True,False,True,,,,,0.794753,0.205247,,3.872187,,,,,0.044047,,,,,,,26.607259,,26.377536,125
