feature,feature_family,horizon,observation_count,date_count,non_null_feature_fraction,mean_rank_ic_excess_return,median_rank_ic_excess_return,ic_hit_rate_excess_return,ic_ir_excess_return,mean_rank_ic_forward_rank,median_rank_ic_forward_rank,ic_hit_rate_forward_rank,ic_ir_forward_rank,absolute_mean_ic,top_minus_bottom_spread_quintile,positive_spread_fraction_quintile,top_minus_bottom_spread_top3,positive_spread_fraction_top3,signal_direction,diagnostic_strength
operating_margin,profitability_margin,21d,0,0,0.2107,,,,,,,,,,,,0.006077,0.4918,unstable,unusable
operating_margin,profitability_margin,63d,0,0,0.2107,,,,,,,,,,,,0.002002,0.5168,unstable,unusable
operating_margin,profitability_margin,126d,0,0,0.2107,,,,,,,,,,,,0.004609,0.5401,unstable,unusable
net_margin,profitability_margin,21d,4597,442,0.3405,0.094362,0.1,0.6222,0.2547,0.094362,0.1,0.6222,0.2547,0.094362,0.033785,0.6149,0.018443,0.5563,positive,unusable
net_margin,profitability_margin,63d,4103,400,0.3405,0.172362,0.134848,0.715,0.6179,0.172362,0.134848,0.715,0.6179,0.172362,0.122651,0.6607,0.060322,0.6468,positive,unusable
net_margin,profitability_margin,126d,3389,337,0.3405,0.260433,0.283333,0.8131,0.9262,0.260433,0.283333,0.8131,0.9262,0.260433,0.205377,0.8387,0.129895,0.767,positive,unusable
fcf_margin,profitability_margin,21d,1640,205,0.2408,0.005575,0.02381,0.5024,0.0208,0.005575,0.02381,0.5024,0.0208,0.005575,,,0.00115,0.473,positive,unusable
fcf_margin,profitability_margin,63d,1304,163,0.2408,-0.033742,-0.02381,0.5092,-0.2362,-0.033742,-0.02381,0.5092,-0.2362,0.033742,,,-0.004292,0.4254,negative,unusable
fcf_margin,profitability_margin,126d,800,100,0.2408,-0.084286,-0.047619,0.67,-0.7878,-0.084286,-0.047619,0.67,-0.7878,0.084286,,,0.024421,0.708,negative,unusable
operating_cash_flow_margin,profitability_margin,21d,5001,444,0.3693,-0.021998,-0.01958,0.5203,-0.0915,-0.021998,-0.01958,0.5203,-0.0915,0.021998,0.037671,0.7427,0.007398,0.5495,negative,unusable
operating_cash_flow_margin,profitability_margin,63d,4465,402,0.3693,-0.099218,-0.111888,0.6841,-0.5301,-0.099218,-0.111888,0.6841,-0.5301,0.099218,0.063783,0.7164,0.01132,0.4826,negative,unusable
operating_cash_flow_margin,profitability_margin,126d,3688,339,0.3693,-0.014497,-0.006061,0.5015,-0.0706,-0.014497,-0.006061,0.5015,-0.0706,0.014497,0.056736,0.6471,0.071731,0.826,negative,unusable
debt_proxy_total_liabilities_to_assets,balance_sheet_leverage,21d,4394,262,0.3387,-0.031583,-0.039216,0.5496,-0.1226,-0.031583,-0.039216,0.5496,-0.1226,0.031583,-0.029693,0.249,-0.027453,0.2755,negative,unusable
debt_proxy_total_liabilities_to_assets,balance_sheet_leverage,63d,3680,220,0.3387,-0.060008,-0.079727,0.5636,-0.3171,-0.060008,-0.079727,0.5636,-0.3171,0.060008,-0.076933,0.0594,-0.072223,0.0807,negative,unusable
debt_proxy_total_liabilities_to_assets,balance_sheet_leverage,126d,2609,157,0.3387,-0.06381,-0.078431,0.6306,-0.3031,-0.06381,-0.078431,0.6306,-0.3031,0.06381,-0.142212,0.0064,-0.131833,0.05,negative,unusable
equity_to_assets,balance_sheet_leverage,21d,4282,261,0.3308,0.079135,0.046569,0.613,0.3085,0.079135,0.046569,0.613,0.3085,0.079135,0.027146,0.7318,0.025084,0.7137,positive,unusable
equity_to_assets,balance_sheet_leverage,63d,3593,219,0.3308,0.106318,0.090686,0.6393,0.5199,0.106318,0.090686,0.6393,0.5199,0.106318,0.077321,0.9406,0.071844,0.9364,positive,unusable
equity_to_assets,balance_sheet_leverage,126d,2545,156,0.3308,0.104017,0.085294,0.7051,0.4726,0.104017,0.085294,0.7051,0.4726,0.104017,0.151301,1.0,0.136515,0.9745,positive,unusable
asset_turnover_proxy,balance_sheet_leverage,21d,3078,258,0.2395,0.042449,0.024975,0.5388,0.1419,0.042449,0.024975,0.5388,0.1419,0.042449,-0.004219,0.4609,0.007221,0.5212,positive,unusable
asset_turnover_proxy,balance_sheet_leverage,63d,2542,216,0.2395,-0.041735,-0.083916,0.7037,-0.12,-0.041735,-0.083916,0.7037,-0.12,0.041735,-0.006612,0.3458,0.021447,0.553,negative,unusable
asset_turnover_proxy,balance_sheet_leverage,126d,1765,153,0.2395,-0.099615,-0.188811,0.7386,-0.2489,-0.099615,-0.188811,0.7386,-0.2489,0.099615,-0.039817,0.2848,-0.012949,0.3961,negative,unusable
liability_to_equity,balance_sheet_leverage,21d,3499,261,0.2674,-0.099637,-0.103297,0.6552,-0.3537,-0.099637,-0.103297,0.6552,-0.3537,0.099637,-0.039655,0.278,-0.024693,0.2863,negative,unusable
liability_to_equity,balance_sheet_leverage,63d,2936,219,0.2674,-0.172087,-0.164835,0.758,-0.8366,-0.172087,-0.164835,0.758,-0.8366,0.172087,-0.125178,0.023,-0.069595,0.0727,negative,unusable
liability_to_equity,balance_sheet_leverage,126d,2077,156,0.2674,-0.200686,-0.220879,0.8205,-0.8369,-0.200686,-0.220879,0.8205,-0.8369,0.200686,-0.266039,0.0,-0.136602,0.0255,negative,unusable
revenue_yoy_growth,growth_change,21d,2051,194,0.2918,-0.085186,-0.049184,0.5206,-0.1763,-0.085186,-0.049184,0.5206,-0.1763,0.085186,-0.028014,0.4389,-0.012727,0.4359,negative,unusable
revenue_yoy_growth,growth_change,63d,1557,152,0.2918,-0.365692,-0.381818,0.7105,-0.7718,-0.365692,-0.381818,0.7105,-0.7718,0.365692,-0.149185,0.2899,-0.110292,0.2288,negative,unusable
revenue_yoy_growth,growth_change,126d,874,89,0.2918,-0.647986,-0.75,1.0,-3.6658,-0.647986,-0.75,1.0,-3.6658,0.647986,-0.261565,0.0,-0.330493,0.0,negative,unusable
net_income_yoy_growth,growth_change,21d,3456,198,0.2721,-0.042875,-0.040441,0.5455,-0.185,-0.042875,-0.040441,0.5455,-0.185,0.042875,-0.026243,0.3046,-0.026362,0.3065,negative,unusable
net_income_yoy_growth,growth_change,63d,2658,156,0.2721,-0.098269,-0.17395,0.6923,-0.4652,-0.098269,-0.17395,0.6923,-0.4652,0.098269,-0.055698,0.2129,-0.054881,0.2166,negative,unusable
net_income_yoy_growth,growth_change,126d,1528,93,0.2721,-0.150916,-0.225275,0.6989,-0.8806,-0.150916,-0.225275,0.6989,-0.8806,0.150916,-0.184045,0.0,-0.175326,0.0319,negative,unusable
operating_income_yoy_growth,growth_change,21d,2520,197,0.2036,-0.143733,-0.104396,0.731,-0.5966,-0.143733,-0.104396,0.731,-0.5966,0.143733,-0.041975,0.3179,-0.030731,0.3166,negative,unusable
operating_income_yoy_growth,growth_change,63d,1974,155,0.2036,-0.136662,-0.120879,0.7613,-0.7391,-0.136662,-0.120879,0.7613,-0.7391,0.136662,-0.112898,0.1111,-0.078941,0.1465,negative,unusable
operating_income_yoy_growth,growth_change,126d,1155,92,0.2036,-0.196612,-0.153846,0.8804,-1.0932,-0.196612,-0.153846,0.8804,-1.0932,0.196612,-0.222092,0.0,-0.156331,0.0,negative,unusable
eps_diluted_yoy_growth,growth_change,21d,3788,199,0.2964,-0.101068,-0.063158,0.6181,-0.4576,-0.101068,-0.063158,0.6181,-0.4576,0.101068,-0.049182,0.2234,-0.058045,0.191,negative,unusable
eps_diluted_yoy_growth,growth_change,63d,2948,157,0.2964,-0.171723,-0.189474,0.7834,-0.8322,-0.171723,-0.189474,0.7834,-0.8322,0.171723,-0.130787,0.1226,-0.132419,0.1083,negative,unusable
eps_diluted_yoy_growth,growth_change,126d,1719,94,0.2964,-0.24506,-0.279825,0.9787,-1.5512,-0.24506,-0.279825,0.9787,-1.5512,0.24506,-0.30578,0.0,-0.300246,0.0106,negative,unusable
