feature,horizon,year,ic_date_count,mean_rank_ic_excess_return,positive_ic_year,small_sample_caveat
cash_conversion,21d,2024,105,-0.101438,True,False
cash_conversion,21d,2025,250,-0.079,True,False
cash_conversion,21d,2026,93,0.042935,False,False
cash_conversion,63d,2024,105,-0.077155,True,False
cash_conversion,63d,2025,250,-0.183231,True,False
cash_conversion,63d,2026,51,0.087307,False,False
cash_conversion,126d,2024,105,-0.250003,True,False
cash_conversion,126d,2025,238,-0.184742,True,False
filing_lag_days,21d,2024,107,0.036591,False,False
filing_lag_days,21d,2025,250,-0.077437,True,False
filing_lag_days,21d,2026,93,0.066313,False,False
filing_lag_days,63d,2024,107,-0.026081,True,False
filing_lag_days,63d,2025,250,-0.193174,True,False
filing_lag_days,63d,2026,51,0.19066,False,False
filing_lag_days,126d,2024,107,-0.16958,True,False
filing_lag_days,126d,2025,238,-0.129292,True,False
log_revenue_abs,21d,2024,101,-0.04787,True,False
log_revenue_abs,21d,2025,250,-0.026354,True,False
log_revenue_abs,21d,2026,93,0.107924,False,False
log_revenue_abs,63d,2024,101,-0.073081,True,False
log_revenue_abs,63d,2025,250,-0.201431,True,False
log_revenue_abs,63d,2026,51,0.434781,False,False
log_revenue_abs,126d,2024,101,-0.159295,True,False
log_revenue_abs,126d,2025,238,-0.063458,True,False
