sector,ticker_count,row_count,row_fraction,tickers,operating_margin_non_null_fraction,capex_intensity_non_null_fraction,note
Communication Services,7,16632,0.0549,DIS|GOOG|GOOGL|META|NFLX|T|VZ,0.3908,0.263,
Consumer Discretionary,12,28778,0.0949,AMZN|BKNG|CMG|HD|LOW|MAR|MCD|NKE|ORLY|SBUX|TJX|TSLA,0.3025,0.3443,
Consumer Staples,9,21404,0.0706,CL|COST|KO|MDLZ|MO|PEP|PG|PM|WMT,0.4081,0.3661,
Energy,5,11417,0.0377,COP|CVX|EOG|SLB|XOM,0.1288,0.1564,
Financials,20,45662,0.1506,AON|AXP|BAC|BLK|C|CB|CME|GS|ICE|JPM|MA|MCO|MS|PNC|PYPL|SCHW|SPGI|USB|V|WFC,0.0989,0.1873,bank accounting: operating_margin / capex_intensity largely undefined
Health Care,22,53753,0.1773,ABBV|ABT|AMGN|BMY|BSX|CI|CVS|ELV|GILD|HCA|ISRG|JNJ|LLY|MDT|MRK|PFE|REGN|SYK|TMO|UNH|VRTX|ZTS,0.1654,0.2786,
Industrials,20,46470,0.1533,ADP|BA|CAT|DE|EMR|ETN|FDX|GD|GE|HON|ITW|LMT|NOC|PH|RTX|TDG|UBER|UNP|UPS|WM,0.2502,0.2759,
Information Technology,25,60178,0.1985,AAPL|ACN|ADBE|ADI|AMAT|AMD|APH|AVGO|CDNS|CRM|CSCO|IBM|INTC|INTU|KLAC|MSFT|MU|NOW|NVDA|ORCL|PANW|QCOM|ROP|SNPS|TXN,0.1082,0.1378,
Materials,3,7025,0.0232,APD|LIN|SHW,0.471,0.4172,
Real Estate,2,4792,0.0158,EQIX|PLD,0.1999,0.1002,thin sector (<=2 tickers); cross-sectional weight is limited
Utilities,3,7090,0.0234,DUK|NEE|SO,0.2171,0.2171,
