ticker,fiscal_date_ending,reported_date,reported_eps,estimated_eps,surprise,surprise_percentage,source,availability_date,point_in_time_usable,provider,validation_note
AAPL,2026-03-31,2026-04-30,2.01,1.94,0.07,3.6082,AlphaVantage EARNINGS quarterlyEarnings,2026-04-30,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
AAPL,2025-12-31,2026-01-29,2.84,2.67,0.17,6.367,AlphaVantage EARNINGS quarterlyEarnings,2026-01-29,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
AAPL,2025-09-30,2025-10-30,1.85,1.77,0.08,4.5198,AlphaVantage EARNINGS quarterlyEarnings,2025-10-30,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
AAPL,2025-06-30,2025-07-31,1.57,1.43,0.14,9.7902,AlphaVantage EARNINGS quarterlyEarnings,2025-07-31,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
AAPL,2025-03-31,2025-05-01,1.65,1.62,0.03,1.8519,AlphaVantage EARNINGS quarterlyEarnings,2025-05-01,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
AAPL,2024-12-31,2025-01-30,2.4,2.34,0.06,2.5641,AlphaVantage EARNINGS quarterlyEarnings,2025-01-30,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
AAPL,2024-09-30,2024-10-31,0.97,0.95,0.02,2.1053,AlphaVantage EARNINGS quarterlyEarnings,2024-10-31,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
AAPL,2024-06-30,2024-08-01,1.4,1.34,0.06,4.4776,AlphaVantage EARNINGS quarterlyEarnings,2024-08-01,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
AAPL,2024-03-31,2024-05-02,1.53,1.5,0.03,2.0,AlphaVantage EARNINGS quarterlyEarnings,2024-05-02,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
AAPL,2023-12-31,2024-02-01,2.18,2.11,0.07,3.3175,AlphaVantage EARNINGS quarterlyEarnings,2024-02-01,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
AAPL,2023-09-30,2023-11-02,1.46,1.39,0.07,5.036,AlphaVantage EARNINGS quarterlyEarnings,2023-11-02,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
AAPL,2023-06-30,2023-08-03,1.26,1.19,0.07,5.8824,AlphaVantage EARNINGS quarterlyEarnings,2023-08-03,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
AAPL,2023-03-31,2023-05-04,1.52,1.43,0.09,6.2937,AlphaVantage EARNINGS quarterlyEarnings,2023-05-04,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
AAPL,2022-12-31,2023-02-02,1.88,1.95,-0.07,-3.5897,AlphaVantage EARNINGS quarterlyEarnings,2023-02-02,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
AAPL,2022-09-30,2022-10-27,1.29,1.27,0.02,1.5748,AlphaVantage EARNINGS quarterlyEarnings,2022-10-27,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
AAPL,2022-06-30,2022-07-28,1.2,1.15,0.05,4.3478,AlphaVantage EARNINGS quarterlyEarnings,2022-07-28,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
AAPL,2022-03-31,2022-04-28,1.52,1.43,0.09,6.2937,AlphaVantage EARNINGS quarterlyEarnings,2022-04-28,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
AAPL,2021-12-31,2022-01-27,2.1,1.89,0.21,11.1111,AlphaVantage EARNINGS quarterlyEarnings,2022-01-27,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
