feature_name,feature_family,input_source,point_in_time_rule,availability_lag_rule,uses_future_data,implemented,blocker,notes
return_5d,technical_price,phase2k_g_expanded_price_history_free.csv (D: read-only),uses only adjusted closes up to and including the scoring date (trailing rolling window),none (prices are same-day),False,True,,trailing price/return/vol/shape feature
return_21d,technical_price,phase2k_g_expanded_price_history_free.csv (D: read-only),uses only adjusted closes up to and including the scoring date (trailing rolling window),none (prices are same-day),False,True,,trailing price/return/vol/shape feature
return_63d,technical_price,phase2k_g_expanded_price_history_free.csv (D: read-only),uses only adjusted closes up to and including the scoring date (trailing rolling window),none (prices are same-day),False,True,,trailing price/return/vol/shape feature
return_126d,technical_price,phase2k_g_expanded_price_history_free.csv (D: read-only),uses only adjusted closes up to and including the scoring date (trailing rolling window),none (prices are same-day),False,True,,trailing price/return/vol/shape feature
momentum_21_126,technical_price,phase2k_g_expanded_price_history_free.csv (D: read-only),uses only adjusted closes up to and including the scoring date (trailing rolling window),none (prices are same-day),False,True,,trailing price/return/vol/shape feature
volatility_21d,technical_price,phase2k_g_expanded_price_history_free.csv (D: read-only),uses only adjusted closes up to and including the scoring date (trailing rolling window),none (prices are same-day),False,True,,trailing price/return/vol/shape feature
volatility_63d,technical_price,phase2k_g_expanded_price_history_free.csv (D: read-only),uses only adjusted closes up to and including the scoring date (trailing rolling window),none (prices are same-day),False,True,,trailing price/return/vol/shape feature
drawdown_63d,technical_price,phase2k_g_expanded_price_history_free.csv (D: read-only),uses only adjusted closes up to and including the scoring date (trailing rolling window),none (prices are same-day),False,True,,trailing price/return/vol/shape feature
price_vs_sma_21d,technical_price,phase2k_g_expanded_price_history_free.csv (D: read-only),uses only adjusted closes up to and including the scoring date (trailing rolling window),none (prices are same-day),False,True,,trailing price/return/vol/shape feature
price_vs_sma_63d,technical_price,phase2k_g_expanded_price_history_free.csv (D: read-only),uses only adjusted closes up to and including the scoring date (trailing rolling window),none (prices are same-day),False,True,,trailing price/return/vol/shape feature
realized_skew_63d,technical_price,phase2k_g_expanded_price_history_free.csv (D: read-only),uses only adjusted closes up to and including the scoring date (trailing rolling window),none (prices are same-day),False,True,,trailing price/return/vol/shape feature
realized_kurtosis_63d,technical_price,phase2k_g_expanded_price_history_free.csv (D: read-only),uses only adjusted closes up to and including the scoring date (trailing rolling window),none (prices are same-day),False,True,,trailing price/return/vol/shape feature
month_of_year,seasonality_calendar,scoring_date calendar,derived purely from the scoring date,none,False,True,,deterministic calendar flag; identical across tickers on a date (not cross-sectional)
quarter_of_year,seasonality_calendar,scoring_date calendar,derived purely from the scoring date,none,False,True,,deterministic calendar flag; identical across tickers on a date (not cross-sectional)
day_of_week,seasonality_calendar,scoring_date calendar,derived purely from the scoring date,none,False,True,,deterministic calendar flag; identical across tickers on a date (not cross-sectional)
is_month_start,seasonality_calendar,scoring_date calendar,derived purely from the scoring date,none,False,True,,deterministic calendar flag; identical across tickers on a date (not cross-sectional)
is_month_end,seasonality_calendar,scoring_date calendar,derived purely from the scoring date,none,False,True,,deterministic calendar flag; identical across tickers on a date (not cross-sectional)
is_quarter_end,seasonality_calendar,scoring_date calendar,derived purely from the scoring date,none,False,True,,deterministic calendar flag; identical across tickers on a date (not cross-sectional)
is_year_end,seasonality_calendar,scoring_date calendar,derived purely from the scoring date,none,False,True,,deterministic calendar flag; identical across tickers on a date (not cross-sectional)
turn_of_month_window,seasonality_calendar,scoring_date calendar,derived purely from the scoring date,none,False,True,,deterministic calendar flag; identical across tickers on a date (not cross-sectional)
january_flag,seasonality_calendar,scoring_date calendar,derived purely from the scoring date,none,False,True,,deterministic calendar flag; identical across tickers on a date (not cross-sectional)
sell_in_may_window,seasonality_calendar,scoring_date calendar,derived purely from the scoring date,none,False,True,,deterministic calendar flag; identical across tickers on a date (not cross-sectional)
historical_same_month_avg_return_by_ticker,seasonality_calendar,phase2k_g_expanded_price_history_free.csv (D: read-only),monthly returns from strictly PRIOR years only,prior-years only; current/future months excluded,False,True,,historical seasonal profile by ticker; cross-sectional
historical_same_month_win_rate_by_ticker,seasonality_calendar,phase2k_g_expanded_price_history_free.csv (D: read-only),monthly returns from strictly PRIOR years only,prior-years only; current/future months excluded,False,True,,historical seasonal profile by ticker; cross-sectional
historical_month_rank_by_ticker,seasonality_calendar,phase2k_g_expanded_price_history_free.csv (D: read-only),monthly returns from strictly PRIOR years only,prior-years only; current/future months excluded,False,True,,historical seasonal profile by ticker; cross-sectional
spy_return_21d,market_regime,phase2k_g_expanded_price_history_free.csv (D: read-only) (SPY + universe),trailing SPY window / same-date cross-sectional aggregate,none,False,True,,market-regime context; identical across tickers on a date (not cross-sectional)
spy_return_63d,market_regime,phase2k_g_expanded_price_history_free.csv (D: read-only) (SPY + universe),trailing SPY window / same-date cross-sectional aggregate,none,False,True,,market-regime context; identical across tickers on a date (not cross-sectional)
spy_volatility_21d,market_regime,phase2k_g_expanded_price_history_free.csv (D: read-only) (SPY + universe),trailing SPY window / same-date cross-sectional aggregate,none,False,True,,market-regime context; identical across tickers on a date (not cross-sectional)
spy_volatility_63d,market_regime,phase2k_g_expanded_price_history_free.csv (D: read-only) (SPY + universe),trailing SPY window / same-date cross-sectional aggregate,none,False,True,,market-regime context; identical across tickers on a date (not cross-sectional)
spy_drawdown_63d,market_regime,phase2k_g_expanded_price_history_free.csv (D: read-only) (SPY + universe),trailing SPY window / same-date cross-sectional aggregate,none,False,True,,market-regime context; identical across tickers on a date (not cross-sectional)
spy_above_sma_200d,market_regime,phase2k_g_expanded_price_history_free.csv (D: read-only) (SPY + universe),trailing SPY window / same-date cross-sectional aggregate,none,False,True,,market-regime context; identical across tickers on a date (not cross-sectional)
market_risk_off_flag,market_regime,phase2k_g_expanded_price_history_free.csv (D: read-only) (SPY + universe),trailing SPY window / same-date cross-sectional aggregate,none,False,True,,market-regime context; identical across tickers on a date (not cross-sectional)
market_high_vol_flag,market_regime,phase2k_g_expanded_price_history_free.csv (D: read-only) (SPY + universe),trailing SPY window / same-date cross-sectional aggregate,none,False,True,,market-regime context; identical across tickers on a date (not cross-sectional)
cross_sectional_dispersion_21d,market_regime,phase2k_g_expanded_price_history_free.csv (D: read-only) (SPY + universe),trailing SPY window / same-date cross-sectional aggregate,none,False,True,,market-regime context; identical across tickers on a date (not cross-sectional)
cross_sectional_breadth_21d,market_regime,phase2k_g_expanded_price_history_free.csv (D: read-only) (SPY + universe),trailing SPY window / same-date cross-sectional aggregate,none,False,True,,market-regime context; identical across tickers on a date (not cross-sectional)
ticker_return_21d_minus_sector_return_21d,sector_relative,phase2k_g_expanded_price_history_free.csv (D: read-only) + sector map,same-date sector aggregate of trailing returns/vol,none,False,True,,current-as-of sector map (NOT point-in-time membership); caveated research only
ticker_return_63d_minus_sector_return_63d,sector_relative,phase2k_g_expanded_price_history_free.csv (D: read-only) + sector map,same-date sector aggregate of trailing returns/vol,none,False,True,,current-as-of sector map (NOT point-in-time membership); caveated research only
ticker_vol_21d_minus_sector_vol_21d,sector_relative,phase2k_g_expanded_price_history_free.csv (D: read-only) + sector map,same-date sector aggregate of trailing returns/vol,none,False,True,,current-as-of sector map (NOT point-in-time membership); caveated research only
sector_return_21d_minus_spy_return_21d,sector_relative,phase2k_g_expanded_price_history_free.csv (D: read-only) + sector map,same-date sector aggregate of trailing returns/vol,none,False,True,,current-as-of sector map (NOT point-in-time membership); caveated research only
sector_return_63d_minus_spy_return_63d,sector_relative,phase2k_g_expanded_price_history_free.csv (D: read-only) + sector map,same-date sector aggregate of trailing returns/vol,none,False,True,,current-as-of sector map (NOT point-in-time membership); caveated research only
sector_relative_strength_rank_by_date,sector_relative,phase2k_g_expanded_price_history_free.csv (D: read-only) + sector map,same-date sector aggregate of trailing returns/vol,none,False,True,,current-as-of sector map (NOT point-in-time membership); caveated research only
ticker_rank_within_sector_21d,sector_relative,phase2k_g_expanded_price_history_free.csv (D: read-only) + sector map,same-date sector aggregate of trailing returns/vol,none,False,True,,current-as-of sector map (NOT point-in-time membership); caveated research only
ticker_rank_within_sector_63d,sector_relative,phase2k_g_expanded_price_history_free.csv (D: read-only) + sector map,same-date sector aggregate of trailing returns/vol,none,False,True,,current-as-of sector map (NOT point-in-time membership); caveated research only
operating_margin,sec_fundamental,phase3l aligned_feature_price_panel_universe.csv,Phase 3-L feature_asof_date (never the fiscal period end),SEC filing acceptance lag already applied upstream in Phase 3-L,False,True,,reused from Phase 3-L; not recomputed here
net_margin,sec_fundamental,phase3l aligned_feature_price_panel_universe.csv,Phase 3-L feature_asof_date (never the fiscal period end),SEC filing acceptance lag already applied upstream in Phase 3-L,False,True,,reused from Phase 3-L; not recomputed here
cash_conversion,sec_fundamental,phase3l aligned_feature_price_panel_universe.csv,Phase 3-L feature_asof_date (never the fiscal period end),SEC filing acceptance lag already applied upstream in Phase 3-L,False,True,,reused from Phase 3-L; not recomputed here
accrual_proxy,sec_fundamental,phase3l aligned_feature_price_panel_universe.csv,Phase 3-L feature_asof_date (never the fiscal period end),SEC filing acceptance lag already applied upstream in Phase 3-L,False,True,,reused from Phase 3-L; not recomputed here
log_total_assets,sec_fundamental,phase3l aligned_feature_price_panel_universe.csv,Phase 3-L feature_asof_date (never the fiscal period end),SEC filing acceptance lag already applied upstream in Phase 3-L,False,True,,reused from Phase 3-L; not recomputed here
