feature_set,feature,feature_family
technical_only,return_5d,technical_price
technical_only,return_21d,technical_price
technical_only,return_63d,technical_price
technical_only,return_126d,technical_price
technical_only,momentum_21_126,technical_price
technical_only,volatility_21d,technical_price
technical_only,volatility_63d,technical_price
technical_only,drawdown_63d,technical_price
technical_only,price_vs_sma_21d,technical_price
technical_only,price_vs_sma_63d,technical_price
technical_only,realized_skew_63d,technical_price
technical_only,realized_kurtosis_63d,technical_price
seasonality_only,historical_same_month_avg_return_by_ticker,seasonality_calendar
seasonality_only,historical_same_month_win_rate_by_ticker,seasonality_calendar
seasonality_only,historical_month_rank_by_ticker,seasonality_calendar
sector_relative_only,ticker_return_21d_minus_sector_return_21d,sector_relative
sector_relative_only,ticker_return_63d_minus_sector_return_63d,sector_relative
sector_relative_only,ticker_vol_21d_minus_sector_vol_21d,sector_relative
sector_relative_only,sector_return_21d_minus_spy_return_21d,sector_relative
sector_relative_only,sector_return_63d_minus_spy_return_63d,sector_relative
sector_relative_only,sector_relative_strength_rank_by_date,sector_relative
sector_relative_only,ticker_rank_within_sector_21d,sector_relative
sector_relative_only,ticker_rank_within_sector_63d,sector_relative
sec_fundamental_only,operating_margin,sec_fundamental
sec_fundamental_only,net_margin,sec_fundamental
sec_fundamental_only,cash_conversion,sec_fundamental
sec_fundamental_only,accrual_proxy,sec_fundamental
sec_fundamental_only,log_total_assets,sec_fundamental
sec_fundamental_only,filing_lag_days,sec_fundamental
sec_fundamental_only,debt_proxy_total_liabilities_to_assets,sec_fundamental
sec_fundamental_only,revenue_yoy_growth,sec_fundamental
sec_fundamental_only,eps_diluted_yoy_growth,sec_fundamental
earnings_partial_only,eps_surprise,earnings_surprise
earnings_partial_only,eps_surprise_pct,earnings_surprise
earnings_partial_only,trailing_4q_avg_surprise_pct,earnings_surprise
earnings_partial_only,trailing_4q_positive_surprise_rate,earnings_surprise
earnings_partial_only,surprise_acceleration,earnings_surprise
earnings_partial_only,days_since_last_earnings,earnings_surprise
ar_style_only,ar1_beta_63d,time_series_arima_style
ar_style_only,ar1_residual_zscore_63d,time_series_arima_style
ar_style_only,rolling_mean_reversion_signal_21d,time_series_arima_style
ar_style_only,trend_persistence_63d,time_series_arima_style
ar_style_only,forecast_error_direction_21d,time_series_arima_style
combined_no_earnings,return_5d,technical_price
combined_no_earnings,return_21d,technical_price
combined_no_earnings,return_63d,technical_price
combined_no_earnings,return_126d,technical_price
combined_no_earnings,momentum_21_126,technical_price
combined_no_earnings,volatility_21d,technical_price
combined_no_earnings,volatility_63d,technical_price
combined_no_earnings,drawdown_63d,technical_price
combined_no_earnings,price_vs_sma_21d,technical_price
combined_no_earnings,price_vs_sma_63d,technical_price
combined_no_earnings,realized_skew_63d,technical_price
combined_no_earnings,realized_kurtosis_63d,technical_price
combined_no_earnings,historical_same_month_avg_return_by_ticker,seasonality_calendar
combined_no_earnings,historical_same_month_win_rate_by_ticker,seasonality_calendar
combined_no_earnings,historical_month_rank_by_ticker,seasonality_calendar
combined_no_earnings,ticker_return_21d_minus_sector_return_21d,sector_relative
combined_no_earnings,ticker_return_63d_minus_sector_return_63d,sector_relative
combined_no_earnings,ticker_vol_21d_minus_sector_vol_21d,sector_relative
combined_no_earnings,sector_return_21d_minus_spy_return_21d,sector_relative
combined_no_earnings,sector_return_63d_minus_spy_return_63d,sector_relative
combined_no_earnings,sector_relative_strength_rank_by_date,sector_relative
combined_no_earnings,ticker_rank_within_sector_21d,sector_relative
combined_no_earnings,ticker_rank_within_sector_63d,sector_relative
combined_no_earnings,operating_margin,sec_fundamental
combined_no_earnings,net_margin,sec_fundamental
combined_no_earnings,cash_conversion,sec_fundamental
combined_no_earnings,accrual_proxy,sec_fundamental
combined_no_earnings,log_total_assets,sec_fundamental
combined_no_earnings,filing_lag_days,sec_fundamental
combined_no_earnings,debt_proxy_total_liabilities_to_assets,sec_fundamental
combined_no_earnings,revenue_yoy_growth,sec_fundamental
combined_no_earnings,eps_diluted_yoy_growth,sec_fundamental
combined_no_earnings,ar1_beta_63d,time_series_arima_style
combined_no_earnings,ar1_residual_zscore_63d,time_series_arima_style
combined_no_earnings,rolling_mean_reversion_signal_21d,time_series_arima_style
combined_no_earnings,trend_persistence_63d,time_series_arima_style
combined_no_earnings,forecast_error_direction_21d,time_series_arima_style
combined_with_partial_earnings,return_5d,technical_price
combined_with_partial_earnings,return_21d,technical_price
combined_with_partial_earnings,return_63d,technical_price
combined_with_partial_earnings,return_126d,technical_price
combined_with_partial_earnings,momentum_21_126,technical_price
combined_with_partial_earnings,volatility_21d,technical_price
combined_with_partial_earnings,volatility_63d,technical_price
combined_with_partial_earnings,drawdown_63d,technical_price
combined_with_partial_earnings,price_vs_sma_21d,technical_price
combined_with_partial_earnings,price_vs_sma_63d,technical_price
combined_with_partial_earnings,realized_skew_63d,technical_price
combined_with_partial_earnings,realized_kurtosis_63d,technical_price
combined_with_partial_earnings,historical_same_month_avg_return_by_ticker,seasonality_calendar
combined_with_partial_earnings,historical_same_month_win_rate_by_ticker,seasonality_calendar
combined_with_partial_earnings,historical_month_rank_by_ticker,seasonality_calendar
combined_with_partial_earnings,ticker_return_21d_minus_sector_return_21d,sector_relative
combined_with_partial_earnings,ticker_return_63d_minus_sector_return_63d,sector_relative
combined_with_partial_earnings,ticker_vol_21d_minus_sector_vol_21d,sector_relative
combined_with_partial_earnings,sector_return_21d_minus_spy_return_21d,sector_relative
combined_with_partial_earnings,sector_return_63d_minus_spy_return_63d,sector_relative
combined_with_partial_earnings,sector_relative_strength_rank_by_date,sector_relative
combined_with_partial_earnings,ticker_rank_within_sector_21d,sector_relative
combined_with_partial_earnings,ticker_rank_within_sector_63d,sector_relative
combined_with_partial_earnings,operating_margin,sec_fundamental
combined_with_partial_earnings,net_margin,sec_fundamental
combined_with_partial_earnings,cash_conversion,sec_fundamental
combined_with_partial_earnings,accrual_proxy,sec_fundamental
combined_with_partial_earnings,log_total_assets,sec_fundamental
combined_with_partial_earnings,filing_lag_days,sec_fundamental
combined_with_partial_earnings,debt_proxy_total_liabilities_to_assets,sec_fundamental
combined_with_partial_earnings,revenue_yoy_growth,sec_fundamental
combined_with_partial_earnings,eps_diluted_yoy_growth,sec_fundamental
combined_with_partial_earnings,ar1_beta_63d,time_series_arima_style
combined_with_partial_earnings,ar1_residual_zscore_63d,time_series_arima_style
combined_with_partial_earnings,rolling_mean_reversion_signal_21d,time_series_arima_style
combined_with_partial_earnings,trend_persistence_63d,time_series_arima_style
combined_with_partial_earnings,forecast_error_direction_21d,time_series_arima_style
combined_with_partial_earnings,eps_surprise,earnings_surprise
combined_with_partial_earnings,eps_surprise_pct,earnings_surprise
combined_with_partial_earnings,trailing_4q_avg_surprise_pct,earnings_surprise
combined_with_partial_earnings,trailing_4q_positive_surprise_rate,earnings_surprise
combined_with_partial_earnings,surprise_acceleration,earnings_surprise
combined_with_partial_earnings,days_since_last_earnings,earnings_surprise
combined_regime_interactions,return_5d,technical_price
combined_regime_interactions,return_21d,technical_price
combined_regime_interactions,return_63d,technical_price
combined_regime_interactions,return_126d,technical_price
combined_regime_interactions,momentum_21_126,technical_price
combined_regime_interactions,volatility_21d,technical_price
combined_regime_interactions,volatility_63d,technical_price
combined_regime_interactions,drawdown_63d,technical_price
combined_regime_interactions,price_vs_sma_21d,technical_price
combined_regime_interactions,price_vs_sma_63d,technical_price
combined_regime_interactions,realized_skew_63d,technical_price
combined_regime_interactions,realized_kurtosis_63d,technical_price
combined_regime_interactions,historical_same_month_avg_return_by_ticker,seasonality_calendar
combined_regime_interactions,historical_same_month_win_rate_by_ticker,seasonality_calendar
combined_regime_interactions,historical_month_rank_by_ticker,seasonality_calendar
combined_regime_interactions,ticker_return_21d_minus_sector_return_21d,sector_relative
combined_regime_interactions,ticker_return_63d_minus_sector_return_63d,sector_relative
combined_regime_interactions,ticker_vol_21d_minus_sector_vol_21d,sector_relative
combined_regime_interactions,sector_return_21d_minus_spy_return_21d,sector_relative
combined_regime_interactions,sector_return_63d_minus_spy_return_63d,sector_relative
combined_regime_interactions,sector_relative_strength_rank_by_date,sector_relative
combined_regime_interactions,ticker_rank_within_sector_21d,sector_relative
combined_regime_interactions,ticker_rank_within_sector_63d,sector_relative
combined_regime_interactions,operating_margin,sec_fundamental
combined_regime_interactions,net_margin,sec_fundamental
combined_regime_interactions,cash_conversion,sec_fundamental
combined_regime_interactions,accrual_proxy,sec_fundamental
combined_regime_interactions,log_total_assets,sec_fundamental
combined_regime_interactions,filing_lag_days,sec_fundamental
combined_regime_interactions,debt_proxy_total_liabilities_to_assets,sec_fundamental
combined_regime_interactions,revenue_yoy_growth,sec_fundamental
combined_regime_interactions,eps_diluted_yoy_growth,sec_fundamental
combined_regime_interactions,ar1_beta_63d,time_series_arima_style
combined_regime_interactions,ar1_residual_zscore_63d,time_series_arima_style
combined_regime_interactions,rolling_mean_reversion_signal_21d,time_series_arima_style
combined_regime_interactions,trend_persistence_63d,time_series_arima_style
combined_regime_interactions,forecast_error_direction_21d,time_series_arima_style
combined_regime_interactions,eps_surprise,earnings_surprise
combined_regime_interactions,eps_surprise_pct,earnings_surprise
combined_regime_interactions,trailing_4q_avg_surprise_pct,earnings_surprise
combined_regime_interactions,trailing_4q_positive_surprise_rate,earnings_surprise
combined_regime_interactions,surprise_acceleration,earnings_surprise
combined_regime_interactions,days_since_last_earnings,earnings_surprise
combined_regime_interactions,return_21d_x_risk_off,regime_interaction
combined_regime_interactions,return_63d_x_risk_off,regime_interaction
combined_regime_interactions,volatility_21d_x_high_vol,regime_interaction
combined_regime_interactions,volatility_63d_x_high_vol,regime_interaction
combined_regime_interactions,ticker_return_21d_minus_sector_return_21d_x_risk_off,regime_interaction
