model,horizon,feature_family,n_features_in_family,sum_abs_weight,abs_weight_share,mean_signed_weight,top_feature,top_feature_abs_weight,mean_sign_stability
regime_aware_ensemble,126d,earnings_surprise,6,0.228748,0.1625,0.009469,trailing_4q_avg_surprise_pct,0.101911,
regime_aware_ensemble,126d,seasonality_calendar,3,0.050343,0.0358,0.015243,historical_same_month_avg_return_by_ticker,0.034981,
regime_aware_ensemble,126d,sec_fundamental,9,0.290977,0.2067,-0.005701,log_total_assets,0.121334,
regime_aware_ensemble,126d,sector_relative,8,0.230978,0.1641,0.01283,ticker_rank_within_sector_63d,0.075969,
regime_aware_ensemble,126d,technical_price,12,0.570284,0.405,0.014453,momentum_21_126,0.11993,0.9028
regime_aware_ensemble,126d,time_series_arima_style,5,0.036614,0.026,2.4e-05,trend_persistence_63d,0.012877,
regime_aware_ensemble,21d,earnings_surprise,6,0.182972,0.1623,0.006205,eps_surprise_pct,0.057478,
regime_aware_ensemble,21d,seasonality_calendar,3,0.019892,0.0176,-0.002723,historical_same_month_win_rate_by_ticker,0.008064,
regime_aware_ensemble,21d,sec_fundamental,9,0.143701,0.1274,-0.006448,log_total_assets,0.05423,
regime_aware_ensemble,21d,sector_relative,8,0.129579,0.1149,0.011548,ticker_rank_within_sector_21d,0.037386,
regime_aware_ensemble,21d,technical_price,12,0.629777,0.5585,0.00017,return_126d,0.17211,0.9028
regime_aware_ensemble,21d,time_series_arima_style,5,0.021703,0.0192,-0.002919,rolling_mean_reversion_signal_21d,0.013186,
regime_aware_ensemble,63d,earnings_surprise,6,0.261684,0.1239,0.008053,trailing_4q_avg_surprise_pct,0.084083,
regime_aware_ensemble,63d,seasonality_calendar,3,0.066869,0.0317,0.013307,historical_same_month_avg_return_by_ticker,0.038246,
regime_aware_ensemble,63d,sec_fundamental,9,0.225774,0.1069,-0.008339,log_total_assets,0.082266,
regime_aware_ensemble,63d,sector_relative,8,0.21951,0.104,0.013906,ticker_rank_within_sector_63d,0.067379,
regime_aware_ensemble,63d,technical_price,12,1.295365,0.6135,0.013159,return_126d,0.449517,0.9028
regime_aware_ensemble,63d,time_series_arima_style,5,0.042192,0.02,-0.001726,trend_persistence_63d,0.013952,
ridge_combined_no_earnings,126d,seasonality_calendar,3,0.101873,0.0675,0.027726,historical_same_month_avg_return_by_ticker,0.062266,
ridge_combined_no_earnings,126d,sec_fundamental,9,0.275813,0.1828,-0.009161,log_total_assets,0.128008,
ridge_combined_no_earnings,126d,sector_relative,8,0.171116,0.1134,0.012226,ticker_rank_within_sector_63d,0.088575,
ridge_combined_no_earnings,126d,technical_price,12,0.923067,0.6118,0.017578,momentum_21_126,0.245023,0.9028
ridge_combined_no_earnings,126d,time_series_arima_style,5,0.036994,0.0245,-0.000424,trend_persistence_63d,0.014746,
ridge_combined_no_earnings,21d,seasonality_calendar,3,0.028915,0.0379,0.003774,historical_same_month_avg_return_by_ticker,0.017477,
ridge_combined_no_earnings,21d,sec_fundamental,9,0.129711,0.17,-0.007122,log_total_assets,0.053192,
ridge_combined_no_earnings,21d,sector_relative,8,0.122386,0.1604,0.011319,ticker_rank_within_sector_21d,0.030793,
ridge_combined_no_earnings,21d,technical_price,12,0.449028,0.5884,-0.006534,return_126d,0.106497,0.9028
ridge_combined_no_earnings,21d,time_series_arima_style,5,0.033073,0.0433,-0.0038,rolling_mean_reversion_signal_21d,0.019343,
ridge_combined_no_earnings,63d,seasonality_calendar,3,0.095605,0.0757,0.020431,historical_same_month_avg_return_by_ticker,0.053558,
ridge_combined_no_earnings,63d,sec_fundamental,9,0.210837,0.1669,-0.009554,log_total_assets,0.083589,
ridge_combined_no_earnings,63d,sector_relative,8,0.237804,0.1883,0.011066,ticker_rank_within_sector_63d,0.083321,
ridge_combined_no_earnings,63d,technical_price,12,0.671261,0.5315,0.006625,return_126d,0.152838,0.9028
ridge_combined_no_earnings,63d,time_series_arima_style,5,0.04738,0.0375,-0.002729,rolling_mean_reversion_signal_21d,0.024767,
ridge_combined_regime_interactions,126d,earnings_surprise,6,0.278456,0.139,0.008991,trailing_4q_avg_surprise_pct,0.097326,
ridge_combined_regime_interactions,126d,regime_interaction,5,0.192916,0.0963,0.001685,return_63d_x_risk_off,0.068779,
ridge_combined_regime_interactions,126d,seasonality_calendar,3,0.078942,0.0394,0.024111,historical_same_month_avg_return_by_ticker,0.050279,
