model,regime,test_rows,ic_days,mean_daily_ic,median_daily_ic,ic_hit_rate,decile_spread,quintile_spread
ridge_technical_only,risk_on,149458,1175,0.062251,0.053853,0.6179,0.083565,0.063076
ridge_technical_only,risk_off,40809,321,0.154057,0.141832,0.8224,0.20592,0.144841
ridge_technical_only,high_vol,47665,375,0.123235,0.115122,0.7627,0.182785,0.119314
ridge_technical_only,low_vol,142602,1121,0.068139,0.05827,0.628,0.08541,0.067676
ridge_technical_only,spy_above_200d,149458,1175,0.062251,0.053853,0.6179,0.083565,0.063076
ridge_technical_only,spy_below_200d,40809,321,0.154057,0.141832,0.8224,0.20592,0.144841
ridge_technical_only,low_breadth,100505,790,0.082247,0.079509,0.6544,0.124117,0.091756
ridge_technical_only,high_dispersion,122019,959,0.09019,0.092674,0.6934,0.129569,0.09389
ridge_combined_no_macro,risk_on,149458,1175,0.008823,-0.029844,0.4332,0.063535,0.031678
ridge_combined_no_macro,risk_off,40809,321,0.178442,0.126453,0.8224,0.151749,0.132177
ridge_combined_no_macro,high_vol,47665,375,0.08514,0.050895,0.6,0.083983,0.073626
ridge_combined_no_macro,low_vol,142602,1121,0.031864,-0.009362,0.4888,0.081955,0.046423
ridge_combined_no_macro,spy_above_200d,149458,1175,0.008823,-0.029844,0.4332,0.063535,0.031678
ridge_combined_no_macro,spy_below_200d,40809,321,0.178442,0.126453,0.8224,0.151749,0.132177
ridge_combined_no_macro,low_breadth,100505,790,0.056942,0.009874,0.5291,0.106701,0.068064
ridge_combined_no_macro,high_dispersion,122019,959,0.037002,-0.020617,0.4599,0.082689,0.055282
ridge_combined_with_macro,risk_on,149458,1175,0.011604,-0.029387,0.4417,0.068975,0.033213
ridge_combined_with_macro,risk_off,40809,321,0.178222,0.139432,0.8006,0.156414,0.133841
ridge_combined_with_macro,high_vol,47665,375,0.083651,0.055559,0.5947,0.086391,0.075187
ridge_combined_with_macro,low_vol,142602,1121,0.035214,-0.004037,0.4933,0.088187,0.047987
ridge_combined_with_macro,spy_above_200d,149458,1175,0.011604,-0.029387,0.4417,0.068975,0.033213
ridge_combined_with_macro,spy_below_200d,40809,321,0.178222,0.139432,0.8006,0.156414,0.133841
ridge_combined_with_macro,low_breadth,100505,790,0.056577,0.013906,0.5241,0.11016,0.068601
ridge_combined_with_macro,high_dispersion,122019,959,0.038348,-0.02245,0.4619,0.087639,0.056235
ridge_macro_interactions,risk_on,149458,1175,0.01845,0.013219,0.5294,0.059128,0.035469
ridge_macro_interactions,risk_off,40809,321,0.131091,0.14165,0.7072,0.206546,0.13408
ridge_macro_interactions,high_vol,47665,375,0.109443,0.128164,0.6933,0.186903,0.113672
ridge_macro_interactions,low_vol,142602,1121,0.020265,0.010979,0.5254,0.058597,0.037546
ridge_macro_interactions,spy_above_200d,149458,1175,0.01845,0.013219,0.5294,0.059128,0.035469
ridge_macro_interactions,spy_below_200d,40809,321,0.131091,0.14165,0.7072,0.206546,0.13408
ridge_macro_interactions,low_breadth,100505,790,0.029839,0.009503,0.5215,0.099706,0.058094
ridge_macro_interactions,high_dispersion,122019,959,0.046265,0.048685,0.585,0.113135,0.070169
regime_gated_macro_model,risk_on,149458,1175,0.006126,-0.028221,0.4383,0.053629,0.030145
regime_gated_macro_model,risk_off,40809,321,0.150549,0.141504,0.8692,0.115191,0.111521
regime_gated_macro_model,high_vol,47665,375,0.115102,0.123146,0.736,0.1072,0.089689
regime_gated_macro_model,low_vol,142602,1121,0.011026,-0.020429,0.4621,0.053337,0.033528
regime_gated_macro_model,spy_above_200d,149458,1175,0.006126,-0.028221,0.4383,0.053629,0.030145
regime_gated_macro_model,spy_below_200d,40809,321,0.150549,0.141504,0.8692,0.115191,0.111521
regime_gated_macro_model,low_breadth,100505,790,0.052788,0.045147,0.5747,0.078584,0.059445
regime_gated_macro_model,high_dispersion,122019,959,0.037839,-0.001699,0.4964,0.077211,0.053585
