model,year,mean_daily_ic,test_rows
ridge_technical_only,2020,0.108506,32131
ridge_technical_only,2021,-0.108464,32004
ridge_technical_only,2022,0.069398,31877
ridge_technical_only,2023,0.216972,31750
ridge_technical_only,2024,-0.002658,32041
ridge_technical_only,2025,0.216324,30464
ridge_combined_no_macro,2020,0.008285,32131
ridge_combined_no_macro,2021,0.025333,32004
ridge_combined_no_macro,2022,0.112917,31877
ridge_combined_no_macro,2023,0.267946,31750
ridge_combined_no_macro,2024,-0.094708,32041
ridge_combined_no_macro,2025,-0.051661,30464
ridge_combined_with_macro,2020,0.008178,32131
ridge_combined_with_macro,2021,0.026649,32004
ridge_combined_with_macro,2022,0.103825,31877
ridge_combined_with_macro,2023,0.279252,31750
ridge_combined_with_macro,2024,-0.09483,32041
ridge_combined_with_macro,2025,-0.041666,30464
ridge_macro_interactions,2020,0.090966,32131
ridge_macro_interactions,2021,-0.088944,32004
ridge_macro_interactions,2022,0.030985,31877
ridge_macro_interactions,2023,0.022643,31750
ridge_macro_interactions,2024,-0.009511,32041
ridge_macro_interactions,2025,0.218978,30464
regime_gated_macro_model,2020,0.054431,32131
regime_gated_macro_model,2021,-0.00148,32004
regime_gated_macro_model,2022,0.089066,31877
regime_gated_macro_model,2023,0.238835,31750
regime_gated_macro_model,2024,-0.11844,32041
regime_gated_macro_model,2025,-0.042403,30464
