ticker,duplicate_date_count,missing_close_count,nonpositive_close_count,missing_volume_count,quality_status
SPY,0,0,0,0,NOT_DOWNLOADED
QQQ,0,0,0,0,NOT_DOWNLOADED
IWM,0,0,0,0,NOT_DOWNLOADED
EFA,0,0,0,0,NOT_DOWNLOADED
EEM,0,0,0,0,NOT_DOWNLOADED
VGK,0,0,0,0,NOT_DOWNLOADED
EWJ,0,0,0,0,NOT_DOWNLOADED
FXI,0,0,0,0,NOT_DOWNLOADED
SHY,0,0,0,0,NOT_DOWNLOADED
IEF,0,0,0,0,NOT_DOWNLOADED
TLT,0,0,0,0,NOT_DOWNLOADED
TIP,0,0,0,0,NOT_DOWNLOADED
LQD,0,0,0,0,NOT_DOWNLOADED
HYG,0,0,0,0,NOT_DOWNLOADED
GLD,0,0,0,0,NOT_DOWNLOADED
SLV,0,0,0,0,NOT_DOWNLOADED
DBC,0,0,0,0,NOT_DOWNLOADED
USO,0,0,0,0,NOT_DOWNLOADED
UUP,0,0,0,0,NOT_DOWNLOADED
FXE,0,0,0,0,NOT_DOWNLOADED
FXY,0,0,0,0,NOT_DOWNLOADED
VIXY,0,0,0,0,NOT_DOWNLOADED
