ticker,duplicate_date_count,missing_adjusted_close_count,nonpositive_adjusted_close_count,missing_volume_count,quality_status
SPY,0,0,0,0,NO_FILE
QQQ,0,0,0,0,NO_FILE
IWM,0,0,0,0,NO_FILE
EFA,0,0,0,0,NO_FILE
EEM,0,0,0,0,NO_FILE
VGK,0,0,0,0,NO_FILE
EWJ,0,0,0,0,NO_FILE
FXI,0,0,0,0,NO_FILE
SHY,0,0,0,0,NO_FILE
IEF,0,0,0,0,NO_FILE
TLT,0,0,0,0,NO_FILE
TIP,0,0,0,0,NO_FILE
LQD,0,0,0,0,NO_FILE
HYG,0,0,0,0,NO_FILE
GLD,0,0,0,0,NO_FILE
SLV,0,0,0,0,NO_FILE
DBC,0,0,0,0,NO_FILE
USO,0,0,0,0,NO_FILE
UUP,0,0,0,0,NO_FILE
FXE,0,0,0,0,NO_FILE
FXY,0,0,0,0,NO_FILE
VIXY,0,0,0,0,NO_FILE
