year,strategy_name,transaction_cost_bps,annual_return,annual_volatility,hit_rate,average_turnover
2020,top_10_equal_weight,0,0.15488267,0.17032299,0.583333,0.68333333
2021,top_10_equal_weight,0,0.10664752,0.14889992,0.75,0.81666667
2022,top_10_equal_weight,0,0.07227718,0.18426081,0.583333,1.21666667
2023,top_10_equal_weight,0,0.26451668,0.14376705,0.916667,0.9
2024,top_10_equal_weight,0,-0.02651193,0.12220488,0.25,0.8
2025,top_10_equal_weight,0,0.55914085,0.28170532,1.0,0.65
2020,top_10_equal_weight,10,0.153516,0.1700146,0.583333,0.68333333
2021,top_10_equal_weight,10,0.10501418,0.14917912,0.75,0.81666667
2022,top_10_equal_weight,10,0.06984385,0.18447572,0.583333,1.21666667
2023,top_10_equal_weight,10,0.26271668,0.14368528,0.916667,0.9
2024,top_10_equal_weight,10,-0.02811193,0.12217912,0.25,0.8
2025,top_10_equal_weight,10,0.55784085,0.28177549,1.0,0.65
2020,top_10_equal_weight,25,0.151466,0.16955667,0.583333,0.68333333
2021,top_10_equal_weight,25,0.10256418,0.14960759,0.75,0.81666667
2022,top_10_equal_weight,25,0.06619385,0.18480062,0.583333,1.21666667
2023,top_10_equal_weight,25,0.26001668,0.14356719,0.916667,0.9
2024,top_10_equal_weight,25,-0.03051193,0.1221416,0.25,0.8
2025,top_10_equal_weight,25,0.55589085,0.28188187,1.0,0.65
2020,top_10_equal_weight,50,0.14804933,0.16880598,0.583333,0.68333333
2021,top_10_equal_weight,50,0.09848085,0.15034728,0.666667,0.81666667
2022,top_10_equal_weight,50,0.06011052,0.1853489,0.583333,1.21666667
2023,top_10_equal_weight,50,0.25551668,0.14338259,0.916667,0.9
2024,top_10_equal_weight,50,-0.03451193,0.12208201,0.25,0.8
2025,top_10_equal_weight,50,0.55264085,0.28206222,1.0,0.65
2020,top_20_equal_weight,0,0.10325868,0.13230164,0.666667,0.75
2021,top_20_equal_weight,0,0.08570191,0.1030534,0.583333,0.60833333
2022,top_20_equal_weight,0,0.1051133,0.12520222,0.75,0.85
2023,top_20_equal_weight,0,0.18978203,0.09502215,0.916667,0.675
2024,top_20_equal_weight,0,-0.05118732,0.06453066,0.25,0.55833333
2025,top_20_equal_weight,0,0.26051982,0.17916042,0.916667,0.54166667
2020,top_20_equal_weight,10,0.10175868,0.13205716,0.666667,0.75
2021,top_20_equal_weight,10,0.08448524,0.10307544,0.583333,0.60833333
