strategy_name,transaction_cost_bps,max_drawdown,drawdown_start,drawdown_end,recovery_date,drawdown_duration_months
top_10_equal_weight,0,-0.32269858,2024-01-02,2024-12-02,2025-03-03,11
top_10_equal_weight,10,-0.32873949,2024-01-02,2024-12-02,2025-03-03,11
top_10_equal_weight,25,-0.33770963,2024-01-02,2024-12-02,2025-04-01,11
top_10_equal_weight,50,-0.35241957,2024-01-02,2024-12-02,2025-04-01,11
top_20_equal_weight,0,-0.31566144,2024-01-02,2024-12-02,2025-06-02,11
top_20_equal_weight,10,-0.31981285,2024-01-02,2024-12-02,2025-06-02,11
top_20_equal_weight,25,-0.32599731,2024-01-02,2024-12-02,2025-06-02,11
top_20_equal_weight,50,-0.33619189,2024-01-02,2024-12-02,2025-06-02,11
top_decile_equal_weight,0,-0.37758008,2024-01-02,2024-12-02,2025-05-01,11
top_decile_equal_weight,10,-0.38218664,2024-01-02,2024-12-02,2025-05-01,11
top_decile_equal_weight,25,-0.38903927,2024-01-02,2024-12-02,2025-05-01,11
top_decile_equal_weight,50,-0.40030925,2024-01-02,2024-12-02,2025-05-01,11
top_decile_score_weighted_capped,0,-0.29491569,2024-01-02,2024-12-02,2025-04-01,11
top_decile_score_weighted_capped,10,-0.30105486,2024-01-02,2024-12-02,2025-04-01,11
top_decile_score_weighted_capped,25,-0.31017303,2024-01-02,2024-12-02,2025-04-01,11
top_decile_score_weighted_capped,50,-0.32513114,2024-01-02,2024-12-02,2025-04-01,11
