rebalance_date,strategy_name,transaction_cost_bps,gross_return,turnover,cost_drag,net_return,holdings_count
2020-01-02,top_10_equal_weight,0,0.1312295,1.0,0.0,0.1312295,10
2020-02-03,top_10_equal_weight,0,0.2024886,0.4,0.0,0.2024886,10
2020-03-02,top_10_equal_weight,0,0.2008997,0.6,0.0,0.2008997,10
2020-04-01,top_10_equal_weight,0,0.3485886,1.4,0.0,0.3485886,10
2020-05-01,top_10_equal_weight,0,0.0920861,1.6,0.0,0.0920861,10
2020-06-01,top_10_equal_weight,0,-0.0262328,1.2,0.0,-0.0262328,10
2020-07-01,top_10_equal_weight,0,-0.0333275,0.2,0.0,-0.0333275,10
2020-08-03,top_10_equal_weight,0,-0.0110236,0.2,0.0,-0.0110236,10
2020-09-01,top_10_equal_weight,0,0.0268954,0.2,0.0,0.0268954,10
2020-10-01,top_10_equal_weight,0,0.0123657,0.2,0.0,0.0123657,10
2020-11-02,top_10_equal_weight,0,-0.0029335,0.4,0.0,-0.0029335,10
2020-12-01,top_10_equal_weight,0,-0.0117402,0.8,0.0,-0.0117402,10
2021-01-04,top_10_equal_weight,0,-0.095484,2.0,0.0,-0.095484,10
2021-02-01,top_10_equal_weight,0,-0.0397604,0.6,0.0,-0.0397604,10
2021-03-01,top_10_equal_weight,0,-0.0551045,1.0,0.0,-0.0551045,10
2021-04-01,top_10_equal_weight,0,0.024968,0.6,0.0,0.024968,10
2021-05-03,top_10_equal_weight,0,0.0980973,1.8,0.0,0.0980973,10
2021-06-01,top_10_equal_weight,0,0.0070525,1.6,0.0,0.0070525,10
2021-07-01,top_10_equal_weight,0,0.0014597,0.0,0.0,0.0014597,10
2021-08-02,top_10_equal_weight,0,0.0351553,0.4,0.0,0.0351553,10
2021-09-01,top_10_equal_weight,0,0.2227849,0.4,0.0,0.2227849,10
2021-10-01,top_10_equal_weight,0,0.082694,0.2,0.0,0.082694,10
2021-11-01,top_10_equal_weight,0,0.1074836,0.4,0.0,0.1074836,10
2021-12-01,top_10_equal_weight,0,0.2505387,0.8,0.0,0.2505387,10
2022-01-03,top_10_equal_weight,0,-0.1718431,1.8,0.0,-0.1718431,10
2022-02-01,top_10_equal_weight,0,-0.0039923,1.0,0.0,-0.0039923,10
2022-03-01,top_10_equal_weight,0,0.0548805,1.4,0.0,0.0548805,10
2022-04-01,top_10_equal_weight,0,-0.1085154,1.8,0.0,-0.1085154,10
2022-05-02,top_10_equal_weight,0,0.0453695,1.6,0.0,0.0453695,10
2022-06-01,top_10_equal_weight,0,0.0213691,1.2,0.0,0.0213691,10
2022-07-01,top_10_equal_weight,0,0.01048,1.0,0.0,0.01048,10
2022-08-01,top_10_equal_weight,0,-0.0008623,1.0,0.0,-0.0008623,10
2022-09-01,top_10_equal_weight,0,0.0632639,0.8,0.0,0.0632639,10
2022-10-03,top_10_equal_weight,0,0.1891655,0.6,0.0,0.1891655,10
2022-11-01,top_10_equal_weight,0,-0.0056976,1.0,0.0,-0.0056976,10
2022-12-01,top_10_equal_weight,0,0.3400453,1.4,0.0,0.3400453,10
2023-01-03,top_10_equal_weight,0,0.2011743,1.8,0.0,0.2011743,10
2023-02-01,top_10_equal_weight,0,0.2394962,1.4,0.0,0.2394962,10
2023-03-01,top_10_equal_weight,0,0.3225805,0.8,0.0,0.3225805,10
2023-04-03,top_10_equal_weight,0,0.218561,0.4,0.0,0.218561,10
2023-05-01,top_10_equal_weight,0,0.1678069,0.4,0.0,0.1678069,10
2023-06-01,top_10_equal_weight,0,0.0783615,0.6,0.0,0.0783615,10
2023-07-03,top_10_equal_weight,0,-0.0210375,1.0,0.0,-0.0210375,10
2023-08-01,top_10_equal_weight,0,0.0873229,0.6,0.0,0.0873229,10
2023-09-01,top_10_equal_weight,0,0.0508839,1.0,0.0,0.0508839,10
2023-10-02,top_10_equal_weight,0,0.0478864,0.6,0.0,0.0478864,10
2023-11-01,top_10_equal_weight,0,0.1596805,1.2,0.0,0.1596805,10
2023-12-01,top_10_equal_weight,0,0.0343835,1.0,0.0,0.0343835,10
2024-01-02,top_10_equal_weight,0,0.2096526,1.0,0.0,0.2096526,10
2024-02-01,top_10_equal_weight,0,-0.0768027,0.8,0.0,-0.0768027,10
2024-03-01,top_10_equal_weight,0,-0.0797983,0.6,0.0,-0.0797983,10
2024-04-01,top_10_equal_weight,0,-0.0215258,0.8,0.0,-0.0215258,10
2024-05-01,top_10_equal_weight,0,0.0698629,0.8,0.0,0.0698629,10
2024-06-03,top_10_equal_weight,0,0.0431876,0.6,0.0,0.0431876,10
2024-07-01,top_10_equal_weight,0,-0.022603,1.0,0.0,-0.022603,10
2024-08-01,top_10_equal_weight,0,-0.0409105,0.6,0.0,-0.0409105,10
2024-09-03,top_10_equal_weight,0,-0.0713211,0.8,0.0,-0.0713211,10
2024-10-01,top_10_equal_weight,0,-0.0719722,0.8,0.0,-0.0719722,10
2024-11-01,top_10_equal_weight,0,-0.0912894,1.2,0.0,-0.0912894,10
2024-12-02,top_10_equal_weight,0,-0.0055517,0.6,0.0,-0.0055517,10
2025-01-02,top_10_equal_weight,0,0.131501,0.4,0.0,0.131501,10
2025-02-03,top_10_equal_weight,0,0.1251754,0.6,0.0,0.1251754,10
2025-03-03,top_10_equal_weight,0,0.1769713,0.2,0.0,0.1769713,10
2025-04-01,top_10_equal_weight,0,0.1672963,0.8,0.0,0.1672963,10
2025-05-01,top_10_equal_weight,0,0.361949,1.2,0.0,0.361949,10
2025-06-02,top_10_equal_weight,0,0.3141482,1.0,0.0,0.3141482,10
2025-07-01,top_10_equal_weight,0,0.1569271,0.6,0.0,0.1569271,10
2025-08-01,top_10_equal_weight,0,0.2530667,0.8,0.0,0.2530667,10
2025-09-02,top_10_equal_weight,0,0.267955,0.8,0.0,0.267955,10
2025-10-01,top_10_equal_weight,0,0.118784,0.6,0.0,0.118784,10
2025-11-03,top_10_equal_weight,0,0.4713176,0.6,0.0,0.4713176,10
2025-12-01,top_10_equal_weight,0,0.8097535,0.2,0.0,0.8097535,10
2020-01-02,top_10_equal_weight,10,0.1312295,1.0,0.001,0.1302295,10
2020-02-03,top_10_equal_weight,10,0.2024886,0.4,0.0004,0.2020886,10
2020-03-02,top_10_equal_weight,10,0.2008997,0.6,0.0006,0.2002997,10
2020-04-01,top_10_equal_weight,10,0.3485886,1.4,0.0014,0.3471886,10
2020-05-01,top_10_equal_weight,10,0.0920861,1.6,0.0016,0.0904861,10
2020-06-01,top_10_equal_weight,10,-0.0262328,1.2,0.0012,-0.0274328,10
2020-07-01,top_10_equal_weight,10,-0.0333275,0.2,0.0002,-0.0335275,10
2020-08-03,top_10_equal_weight,10,-0.0110236,0.2,0.0002,-0.0112236,10
2020-09-01,top_10_equal_weight,10,0.0268954,0.2,0.0002,0.0266954,10
2020-10-01,top_10_equal_weight,10,0.0123657,0.2,0.0002,0.0121657,10
2020-11-02,top_10_equal_weight,10,-0.0029335,0.4,0.0004,-0.0033335,10
2020-12-01,top_10_equal_weight,10,-0.0117402,0.8,0.0008,-0.0125402,10
2021-01-04,top_10_equal_weight,10,-0.095484,2.0,0.002,-0.097484,10
2021-02-01,top_10_equal_weight,10,-0.0397604,0.6,0.0006,-0.0403604,10
2021-03-01,top_10_equal_weight,10,-0.0551045,1.0,0.001,-0.0561045,10
2021-04-01,top_10_equal_weight,10,0.024968,0.6,0.0006,0.024368,10
2021-05-03,top_10_equal_weight,10,0.0980973,1.8,0.0018,0.0962973,10
2021-06-01,top_10_equal_weight,10,0.0070525,1.6,0.0016,0.0054525,10
2021-07-01,top_10_equal_weight,10,0.0014597,0.0,0.0,0.0014597,10
2021-08-02,top_10_equal_weight,10,0.0351553,0.4,0.0004,0.0347553,10
2021-09-01,top_10_equal_weight,10,0.2227849,0.4,0.0004,0.2223849,10
2021-10-01,top_10_equal_weight,10,0.082694,0.2,0.0002,0.082494,10
2021-11-01,top_10_equal_weight,10,0.1074836,0.4,0.0004,0.1070836,10
2021-12-01,top_10_equal_weight,10,0.2505387,0.8,0.0008,0.2497387,10
2022-01-03,top_10_equal_weight,10,-0.1718431,1.8,0.0018,-0.1736431,10
2022-02-01,top_10_equal_weight,10,-0.0039923,1.0,0.001,-0.0049923,10
2022-03-01,top_10_equal_weight,10,0.0548805,1.4,0.0014,0.0534805,10
2022-04-01,top_10_equal_weight,10,-0.1085154,1.8,0.0018,-0.1103154,10
2022-05-02,top_10_equal_weight,10,0.0453695,1.6,0.0016,0.0437695,10
2022-06-01,top_10_equal_weight,10,0.0213691,1.2,0.0012,0.0201691,10
2022-07-01,top_10_equal_weight,10,0.01048,1.0,0.001,0.00948,10
2022-08-01,top_10_equal_weight,10,-0.0008623,1.0,0.001,-0.0018623,10
2022-09-01,top_10_equal_weight,10,0.0632639,0.8,0.0008,0.0624639,10
2022-10-03,top_10_equal_weight,10,0.1891655,0.6,0.0006,0.1885655,10
2022-11-01,top_10_equal_weight,10,-0.0056976,1.0,0.001,-0.0066976,10
2022-12-01,top_10_equal_weight,10,0.3400453,1.4,0.0014,0.3386453,10
2023-01-03,top_10_equal_weight,10,0.2011743,1.8,0.0018,0.1993743,10
2023-02-01,top_10_equal_weight,10,0.2394962,1.4,0.0014,0.2380962,10
2023-03-01,top_10_equal_weight,10,0.3225805,0.8,0.0008,0.3217805,10
2023-04-03,top_10_equal_weight,10,0.218561,0.4,0.0004,0.218161,10
2023-05-01,top_10_equal_weight,10,0.1678069,0.4,0.0004,0.1674069,10
2023-06-01,top_10_equal_weight,10,0.0783615,0.6,0.0006,0.0777615,10
2023-07-03,top_10_equal_weight,10,-0.0210375,1.0,0.001,-0.0220375,10
2023-08-01,top_10_equal_weight,10,0.0873229,0.6,0.0006,0.0867229,10
2023-09-01,top_10_equal_weight,10,0.0508839,1.0,0.001,0.0498839,10
2023-10-02,top_10_equal_weight,10,0.0478864,0.6,0.0006,0.0472864,10
2023-11-01,top_10_equal_weight,10,0.1596805,1.2,0.0012,0.1584805,10
2023-12-01,top_10_equal_weight,10,0.0343835,1.0,0.001,0.0333835,10
2024-01-02,top_10_equal_weight,10,0.2096526,1.0,0.001,0.2086526,10
2024-02-01,top_10_equal_weight,10,-0.0768027,0.8,0.0008,-0.0776027,10
2024-03-01,top_10_equal_weight,10,-0.0797983,0.6,0.0006,-0.0803983,10
2024-04-01,top_10_equal_weight,10,-0.0215258,0.8,0.0008,-0.0223258,10
2024-05-01,top_10_equal_weight,10,0.0698629,0.8,0.0008,0.0690629,10
2024-06-03,top_10_equal_weight,10,0.0431876,0.6,0.0006,0.0425876,10
2024-07-01,top_10_equal_weight,10,-0.022603,1.0,0.001,-0.023603,10
2024-08-01,top_10_equal_weight,10,-0.0409105,0.6,0.0006,-0.0415105,10
2024-09-03,top_10_equal_weight,10,-0.0713211,0.8,0.0008,-0.0721211,10
2024-10-01,top_10_equal_weight,10,-0.0719722,0.8,0.0008,-0.0727722,10
2024-11-01,top_10_equal_weight,10,-0.0912894,1.2,0.0012,-0.0924894,10
2024-12-02,top_10_equal_weight,10,-0.0055517,0.6,0.0006,-0.0061517,10
2025-01-02,top_10_equal_weight,10,0.131501,0.4,0.0004,0.131101,10
2025-02-03,top_10_equal_weight,10,0.1251754,0.6,0.0006,0.1245754,10
2025-03-03,top_10_equal_weight,10,0.1769713,0.2,0.0002,0.1767713,10
2025-04-01,top_10_equal_weight,10,0.1672963,0.8,0.0008,0.1664963,10
2025-05-01,top_10_equal_weight,10,0.361949,1.2,0.0012,0.360749,10
2025-06-02,top_10_equal_weight,10,0.3141482,1.0,0.001,0.3131482,10
2025-07-01,top_10_equal_weight,10,0.1569271,0.6,0.0006,0.1563271,10
2025-08-01,top_10_equal_weight,10,0.2530667,0.8,0.0008,0.2522667,10
2025-09-02,top_10_equal_weight,10,0.267955,0.8,0.0008,0.267155,10
2025-10-01,top_10_equal_weight,10,0.118784,0.6,0.0006,0.118184,10
2025-11-03,top_10_equal_weight,10,0.4713176,0.6,0.0006,0.4707176,10
2025-12-01,top_10_equal_weight,10,0.8097535,0.2,0.0002,0.8095535,10
2020-01-02,top_10_equal_weight,25,0.1312295,1.0,0.0025,0.1287295,10
2020-02-03,top_10_equal_weight,25,0.2024886,0.4,0.001,0.2014886,10
2020-03-02,top_10_equal_weight,25,0.2008997,0.6,0.0015,0.1993997,10
2020-04-01,top_10_equal_weight,25,0.3485886,1.4,0.0035,0.3450886,10
2020-05-01,top_10_equal_weight,25,0.0920861,1.6,0.004,0.0880861,10
2020-06-01,top_10_equal_weight,25,-0.0262328,1.2,0.003,-0.0292328,10
2020-07-01,top_10_equal_weight,25,-0.0333275,0.2,0.0005,-0.0338275,10
2020-08-03,top_10_equal_weight,25,-0.0110236,0.2,0.0005,-0.0115236,10
2020-09-01,top_10_equal_weight,25,0.0268954,0.2,0.0005,0.0263954,10
2020-10-01,top_10_equal_weight,25,0.0123657,0.2,0.0005,0.0118657,10
2020-11-02,top_10_equal_weight,25,-0.0029335,0.4,0.001,-0.0039335,10
2020-12-01,top_10_equal_weight,25,-0.0117402,0.8,0.002,-0.0137402,10
2021-01-04,top_10_equal_weight,25,-0.095484,2.0,0.005,-0.100484,10
2021-02-01,top_10_equal_weight,25,-0.0397604,0.6,0.0015,-0.0412604,10
2021-03-01,top_10_equal_weight,25,-0.0551045,1.0,0.0025,-0.0576045,10
2021-04-01,top_10_equal_weight,25,0.024968,0.6,0.0015,0.023468,10
2021-05-03,top_10_equal_weight,25,0.0980973,1.8,0.0045,0.0935973,10
2021-06-01,top_10_equal_weight,25,0.0070525,1.6,0.004,0.0030525,10
2021-07-01,top_10_equal_weight,25,0.0014597,0.0,0.0,0.0014597,10
2021-08-02,top_10_equal_weight,25,0.0351553,0.4,0.001,0.0341553,10
2021-09-01,top_10_equal_weight,25,0.2227849,0.4,0.001,0.2217849,10
2021-10-01,top_10_equal_weight,25,0.082694,0.2,0.0005,0.082194,10
2021-11-01,top_10_equal_weight,25,0.1074836,0.4,0.001,0.1064836,10
2021-12-01,top_10_equal_weight,25,0.2505387,0.8,0.002,0.2485387,10
2022-01-03,top_10_equal_weight,25,-0.1718431,1.8,0.0045,-0.1763431,10
2022-02-01,top_10_equal_weight,25,-0.0039923,1.0,0.0025,-0.0064923,10
2022-03-01,top_10_equal_weight,25,0.0548805,1.4,0.0035,0.0513805,10
2022-04-01,top_10_equal_weight,25,-0.1085154,1.8,0.0045,-0.1130154,10
2022-05-02,top_10_equal_weight,25,0.0453695,1.6,0.004,0.0413695,10
2022-06-01,top_10_equal_weight,25,0.0213691,1.2,0.003,0.0183691,10
2022-07-01,top_10_equal_weight,25,0.01048,1.0,0.0025,0.00798,10
2022-08-01,top_10_equal_weight,25,-0.0008623,1.0,0.0025,-0.0033623,10
2022-09-01,top_10_equal_weight,25,0.0632639,0.8,0.002,0.0612639,10
2022-10-03,top_10_equal_weight,25,0.1891655,0.6,0.0015,0.1876655,10
2022-11-01,top_10_equal_weight,25,-0.0056976,1.0,0.0025,-0.0081976,10
2022-12-01,top_10_equal_weight,25,0.3400453,1.4,0.0035,0.3365453,10
2023-01-03,top_10_equal_weight,25,0.2011743,1.8,0.0045,0.1966743,10
2023-02-01,top_10_equal_weight,25,0.2394962,1.4,0.0035,0.2359962,10
2023-03-01,top_10_equal_weight,25,0.3225805,0.8,0.002,0.3205805,10
2023-04-03,top_10_equal_weight,25,0.218561,0.4,0.001,0.217561,10
2023-05-01,top_10_equal_weight,25,0.1678069,0.4,0.001,0.1668069,10
2023-06-01,top_10_equal_weight,25,0.0783615,0.6,0.0015,0.0768615,10
2023-07-03,top_10_equal_weight,25,-0.0210375,1.0,0.0025,-0.0235375,10
2023-08-01,top_10_equal_weight,25,0.0873229,0.6,0.0015,0.0858229,10
2023-09-01,top_10_equal_weight,25,0.0508839,1.0,0.0025,0.0483839,10
2023-10-02,top_10_equal_weight,25,0.0478864,0.6,0.0015,0.0463864,10
2023-11-01,top_10_equal_weight,25,0.1596805,1.2,0.003,0.1566805,10
2023-12-01,top_10_equal_weight,25,0.0343835,1.0,0.0025,0.0318835,10
2024-01-02,top_10_equal_weight,25,0.2096526,1.0,0.0025,0.2071526,10
2024-02-01,top_10_equal_weight,25,-0.0768027,0.8,0.002,-0.0788027,10
2024-03-01,top_10_equal_weight,25,-0.0797983,0.6,0.0015,-0.0812983,10
2024-04-01,top_10_equal_weight,25,-0.0215258,0.8,0.002,-0.0235258,10
2024-05-01,top_10_equal_weight,25,0.0698629,0.8,0.002,0.0678629,10
2024-06-03,top_10_equal_weight,25,0.0431876,0.6,0.0015,0.0416876,10
2024-07-01,top_10_equal_weight,25,-0.022603,1.0,0.0025,-0.025103,10
2024-08-01,top_10_equal_weight,25,-0.0409105,0.6,0.0015,-0.0424105,10
2024-09-03,top_10_equal_weight,25,-0.0713211,0.8,0.002,-0.0733211,10
2024-10-01,top_10_equal_weight,25,-0.0719722,0.8,0.002,-0.0739722,10
2024-11-01,top_10_equal_weight,25,-0.0912894,1.2,0.003,-0.0942894,10
2024-12-02,top_10_equal_weight,25,-0.0055517,0.6,0.0015,-0.0070517,10
2025-01-02,top_10_equal_weight,25,0.131501,0.4,0.001,0.130501,10
2025-02-03,top_10_equal_weight,25,0.1251754,0.6,0.0015,0.1236754,10
2025-03-03,top_10_equal_weight,25,0.1769713,0.2,0.0005,0.1764713,10
2025-04-01,top_10_equal_weight,25,0.1672963,0.8,0.002,0.1652963,10
2025-05-01,top_10_equal_weight,25,0.361949,1.2,0.003,0.358949,10
2025-06-02,top_10_equal_weight,25,0.3141482,1.0,0.0025,0.3116482,10
2025-07-01,top_10_equal_weight,25,0.1569271,0.6,0.0015,0.1554271,10
2025-08-01,top_10_equal_weight,25,0.2530667,0.8,0.002,0.2510667,10
