date,ticker,regime,return_20d,return_63d,return_126d,mom_acceleration,price_vs_sma50,price_vs_sma200,sma50_vs_200,return_zscore_5d,dist_sma20,rs_20d_vs_spy,rs_63d_vs_spy,residual_alpha_20d,realized_vol_63d,downside_vol_63d,vol_adj_momentum,avg_dollar_volume_20d,forward_return_20d,forward_excess_return_20d_vs_spy,top_quintile_forward_excess_return
2026-04-30,AAPL,risk_on,0.061495,0.051587,0.010659,0.087741,0.040343,0.066006,0.024668,-0.276494,0.023391,-0.035294,0.013286,-0.029834,0.257748,0.174681,0.200146,11504101778.99704,0.151087,0.098461,1
2026-04-30,ABBV,risk_on,-0.00887,-0.033375,-0.056045,0.080931,-0.010334,-0.015198,-0.004915,1.452583,0.030358,-0.105659,-0.071676,-0.044284,0.267453,0.192603,-0.124788,1413732014.931641,0.030286,-0.02234,0
2026-04-30,ABT,risk_on,-0.107642,-0.138848,-0.274762,-0.012859,-0.127042,-0.239941,-0.129329,0.078108,-0.062516,-0.204431,-0.17715,-0.154168,0.246464,0.201565,-0.563362,1220847107.260857,-0.057165,-0.109791,0
2026-04-30,ACN,risk_on,-0.085428,-0.310062,-0.28863,-0.023809,-0.086114,-0.252509,-0.182074,1.615599,-0.051485,-0.182217,-0.348364,-0.138919,0.454223,0.367546,-0.682621,968745581.186295,0.04678,-0.005846,0
2026-04-30,ADBE,risk_on,0.019597,-0.15618,-0.316218,0.135846,-0.018301,-0.218229,-0.203656,1.376562,0.016214,-0.077192,-0.194482,-0.038343,0.417327,0.333113,-0.37424,1291579949.377594,0.053271,0.000645,0
2026-04-30,ADI,risk_on,0.254788,0.266142,0.691852,0.316075,0.176462,0.44137,0.225174,-1.124945,0.101897,0.157999,0.227841,0.12031,0.353606,0.201079,0.752652,1177771863.874207,0.028812,-0.023814,0
2026-04-30,ADP,risk_on,0.052961,-0.131231,-0.230868,0.118429,0.027104,-0.165957,-0.187966,1.106667,0.056741,-0.043828,-0.169532,0.034248,0.326805,0.233522,-0.401558,603350041.608505,0.046711,-0.005914,0
2026-04-30,AMAT,risk_on,0.115009,0.157151,0.738518,0.126077,0.068897,0.472477,0.377566,-0.414971,0.01355,0.01822,0.11885,-0.11303,0.54456,0.376694,0.288584,2168457584.94751,0.142284,0.089658,1
2026-04-30,AMD,risk_on,0.686361,0.405702,0.373939,0.646078,0.526438,0.684996,0.103874,-0.242329,0.276324,0.589572,0.367401,0.432524,0.718827,0.465023,0.564395,11488967539.459839,0.455894,0.403269,1
2026-04-30,AMGN,risk_on,-0.019899,0.016648,0.20215,0.048627,-0.034494,0.075743,0.114176,1.433463,-0.001982,-0.116688,-0.021653,-0.086159,0.28528,0.165702,0.058356,842525756.908722,-0.019976,-0.072602,0
2026-04-30,AMZN,risk_on,0.258774,0.096513,0.156205,0.2876,0.185777,0.166883,-0.015933,-0.368427,0.084352,0.161985,0.058211,0.130731,0.330329,0.218445,0.292171,12155036377.432785,0.021052,-0.031574,0
2026-04-30,AON,risk_on,-0.030155,-0.091267,-0.055492,0.027996,-0.042251,-0.097055,-0.057222,-0.672991,-0.04131,-0.126944,-0.129568,-0.027761,0.331883,0.271055,-0.274997,422955076.78772,0.016826,-0.0358,0
2026-04-30,APD,risk_on,0.036693,0.179327,0.195359,-0.025469,0.043906,0.105722,0.059216,-1.685584,0.007887,-0.060096,0.141026,0.050307,0.245486,0.12514,0.730498,319774560.322113,-0.071421,-0.124047,0
2026-04-30,APH,risk_on,0.15325,-0.013497,0.076886,0.18939,0.063496,0.127916,0.060575,0.104588,0.023284,0.056461,-0.051799,-0.029252,0.499352,0.376708,-0.02703,1077836797.544327,0.010117,-0.042508,0
2026-04-30,AVGO,risk_on,0.331558,0.264795,0.123699,0.34221,0.201484,0.233898,0.026978,-0.352078,0.082777,0.234769,0.226494,0.146941,0.427484,0.235361,0.619427,8450206483.936005,0.070287,0.017661,0
2026-04-30,AXP,risk_on,0.075041,-0.096035,-0.100376,0.106403,0.035364,-0.033818,-0.066819,1.713075,0.010088,-0.021747,-0.134337,-0.030828,0.320765,0.269374,-0.299395,991826655.391083,-0.020368,-0.072994,0
2026-04-30,BA,risk_on,0.104717,-0.021407,0.025523,0.192659,0.052567,0.042678,-0.009396,-0.940029,0.028098,0.007928,-0.059708,-0.013239,0.341201,0.226193,-0.062739,1360908219.437027,0.009256,-0.043369,0
2026-04-30,BAC,risk_on,0.085042,0.012853,0.02216,0.099981,0.061752,0.048561,-0.012424,1.504977,0.016359,-0.011747,-0.025449,-0.013518,0.250113,0.186668,0.051387,1721722646.447906,-0.034792,-0.087418,0
2026-04-30,BKNG,risk_on,0.005841,-0.174978,-0.17457,0.019823,-0.029759,-0.158481,-0.13267,0.575986,-0.059859,-0.090948,-0.213279,-0.113875,0.474579,0.357851,-0.368702,1284151967.509689,-0.005524,-0.05815,0
2026-04-30,BLK,risk_on,0.113014,-0.049875,-0.042848,0.195456,0.0562,-0.007298,-0.060119,0.87015,0.036849,0.016225,-0.088176,-0.029368,0.30605,0.23227,-0.162963,722803179.822693,-0.017568,-0.070193,0
2026-04-30,BMY,risk_on,-0.008347,0.127759,0.446477,0.001279,0.023484,0.188488,0.161219,1.781106,0.030162,-0.105136,0.089457,-0.058401,0.262452,0.149879,0.486788,570318253.331699,-0.05628,-0.108906,0
2026-04-30,BSX,risk_on,-0.070806,-0.376042,-0.429434,0.070587,-0.144308,-0.361519,-0.253843,-1.123816,-0.069651,-0.167595,-0.414344,-0.115861,0.516939,0.468888,-0.727441,1099049941.083488,-0.16143,-0.214056,0
2026-04-30,C,risk_on,0.109974,0.116728,0.276399,0.074221,0.093457,0.200649,0.09803,1.517107,0.009378,0.013185,0.078427,-0.055048,0.364165,0.244253,0.320536,1404258240.592346,-0.011599,-0.064225,0
2026-04-30,CAT,risk_on,0.221115,0.340576,0.70437,0.223369,0.192187,0.517967,0.273262,1.2557,0.123861,0.124326,0.302274,0.046558,0.42714,0.207348,0.797341,1817773094.818115,-0.015998,-0.068624,0
2026-04-30,CB,risk_on,-0.000489,0.071187,0.190091,0.01751,-0.005308,0.092849,0.098681,-0.880392,-0.00453,-0.097278,0.032886,0.005618,0.195443,0.115063,0.364234,532459994.414673,-0.046697,-0.099323,0
2026-04-30,CDNS,risk_on,0.176309,0.088942,-0.03431,0.258946,0.110393,0.02504,-0.076867,0.425287,0.076919,0.07952,0.05064,0.007335,0.485526,0.319816,0.183186,787437202.882385,0.137565,0.084939,1
2026-04-30,CI,risk_on,0.087012,0.077085,-0.047301,0.143018,0.058987,0.037921,-0.019892,0.439292,0.04607,-0.009777,0.038783,0.049756,0.27203,0.17927,0.283368,404981047.664185,-0.045358,-0.097983,0
2026-04-30,CL,risk_on,0.005626,0.007631,0.120255,0.109215,-0.026723,0.030068,0.05835,0.048123,0.016313,-0.091163,-0.03067,-0.021012,0.254026,0.166926,0.030042,442510720.250626,0.055881,0.003255,0
2026-04-30,CME,risk_on,-0.030713,0.016805,0.111625,0.019166,-0.044231,0.044862,0.093217,0.980353,-0.019242,-0.127502,-0.021496,-0.006324,0.217678,0.154974,0.077201,699143640.941162,-0.049614,-0.10224,0
2026-04-30,CMG,risk_on,0.041679,-0.13069,-0.155738,0.152821,-0.014251,-0.106806,-0.093893,1.585896,-0.009182,-0.055109,-0.168992,-0.087112,0.350257,0.273255,-0.373127,534654969.086285,-0.062666,-0.115291,0
2026-04-30,COP,risk_on,-0.020252,0.233063,0.474075,-0.130326,0.032749,0.254561,0.214777,-1.656957,0.018635,-0.117041,0.194761,0.059981,0.319384,0.211517,0.729725,1070922811.251678,-0.08708,-0.139706,0
2026-04-30,COST,risk_on,0.018032,0.066142,0.100841,0.028144,0.018197,0.069281,0.050171,0.140236,0.010836,-0.078757,0.027841,0.019248,0.191611,0.12781,0.345188,1781888616.314392,-0.056009,-0.108634,0
2026-04-30,CRM,risk_on,-0.049766,-0.173339,-0.302851,-0.014341,-0.05266,-0.226088,-0.183069,1.681634,-0.015038,-0.146555,-0.211641,-0.088743,0.439651,0.353315,-0.394266,2459137446.194839,0.082536,0.02991,1
2026-04-30,CSCO,risk_on,0.180493,0.172967,0.27359,0.216847,0.126865,0.23246,0.093707,0.949323,0.07124,0.083704,0.134666,0.078156,0.368364,0.290201,0.469555,1478989213.518524,0.316066,0.26344,1
2026-04-30,CVS,risk_on,0.159071,0.128708,0.030564,0.259357,0.098374,0.121604,0.021149,0.070053,0.073969,0.062282,0.090407,0.148351,0.304235,0.178197,0.423055,595710157.791138,0.092328,0.039702,1
2026-04-30,CVX,risk_on,-0.020769,0.14026,0.280615,-0.081942,0.0025,0.176842,0.173907,1.025243,0.019017,-0.117558,0.101958,0.04474,0.250865,0.171788,0.559105,2016603589.797668,-0.047482,-0.100108,0
2026-04-30,DE,risk_on,0.03359,0.11607,0.26795,0.101454,-0.002037,0.149704,0.152051,1.718564,0.007693,-0.063199,0.077769,-0.025796,0.391434,0.207135,0.296525,648480801.881104,-0.080848,-0.133474,0
2026-04-30,DIS,risk_on,0.074462,-0.070174,-0.06447,0.13735,0.026813,-0.051078,-0.075857,1.737257,0.019987,-0.022327,-0.108475,-0.01093,0.291326,0.222389,-0.240877,761760956.723671,-0.018506,-0.071132,0
2026-04-30,DUK,risk_on,-0.010313,0.080762,0.048858,-0.002882,-0.00107,0.058344,0.059478,0.602402,0.003602,-0.107102,0.042461,0.012326,0.164004,0.104063,0.492441,374741682.832146,-0.044457,-0.097083,0
2026-04-30,ELV,risk_on,0.261039,0.091534,0.121663,0.230536,0.209661,0.168862,-0.033728,-0.577522,0.144148,0.16425,0.053232,0.217014,0.344138,0.241385,0.26598,594940394.098358,0.044551,-0.008074,0
2026-04-30,EMR,risk_on,0.060966,-0.064625,0.052568,0.149389,0.008631,0.024669,0.015901,1.667076,-0.004427,-0.035823,-0.102927,-0.105891,0.389693,0.274197,-0.165836,374057774.913406,0.028206,-0.02442,0
2026-04-30,EOG,risk_on,0.008841,0.263931,0.350442,-0.089735,0.051235,0.213347,0.154211,1.197095,0.038229,-0.087948,0.22563,0.08355,0.300394,0.1895,0.878617,540714353.324432,-0.051149,-0.103775,0
2026-04-30,EQIX,risk_on,0.087201,0.317997,0.342096,0.0594,0.0797,0.290802,0.195519,-1.069593,0.01709,-0.009588,0.279696,0.063599,0.289942,0.110587,1.096763,567614884.80957,-0.00878,-0.061406,0
2026-04-30,ETN,risk_on,0.184511,0.225725,0.158372,0.14998,0.146184,0.199519,0.046533,0.1408,0.077769,0.087723,0.187424,0.050546,0.365727,0.220942,0.617196,899823024.341583,-0.072291,-0.124917,0
2026-04-30,FDX,risk_on,0.122457,0.26573,0.631019,0.18318,0.0867,0.391283,0.280282,1.569397,0.060343,0.025668,0.227429,0.049368,0.289933,0.148518,0.916524,556597432.496127,0.020927,-0.031699,0
