ticker,resolved_template,required_statement_codes,present_statement_codes,present_codes,coverage_status
AAPL,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
ABBV,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
ABT,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
ACN,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
ADBE,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
ADI,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
ADP,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
AMAT,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
AMD,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
AMGN,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
AMZN,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
AON,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
APD,uncovered,3,0,,no_access
APH,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
AVGO,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
AXP,banks,3,3,"bs,cf,pl",quarterly_fundamentals_verified
BA,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
BAC,banks,3,3,"bs,cf,pl",quarterly_fundamentals_verified
BKNG,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
BLK,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
BMY,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
BSX,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
C,uncovered,3,0,,no_access
CAT,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
CB,uncovered,3,0,,no_access
CDNS,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
CI,uncovered,3,0,,no_access
CL,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
CME,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
CMG,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
COP,uncovered,3,0,,no_access
COST,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
CRM,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
CSCO,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
CVS,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
CVX,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
DE,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
DIS,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
DUK,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
ELV,uncovered,3,0,,no_access
EMR,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
EOG,uncovered,3,0,,no_access
EQIX,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
ETN,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
FDX,uncovered,3,0,,no_access
GD,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
GE,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
GILD,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
GOOG,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
GOOGL,uncovered,3,0,,no_access
GS,banks,3,3,"bs,cf,pl",quarterly_fundamentals_verified
HCA,uncovered,3,0,,no_access
HD,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
HON,uncovered,3,0,,no_access
IBM,uncovered,3,0,,no_access
ICE,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
INTC,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
INTU,uncovered,3,0,,no_access
ISRG,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
ITW,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
JNJ,uncovered,3,0,,no_access
JPM,banks,3,3,"bs,cf,pl",quarterly_fundamentals_verified
KLAC,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
KO,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
LIN,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
LLY,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
LMT,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
LOW,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
MA,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
MAR,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
MCD,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
MCO,uncovered,3,0,,no_access
MDLZ,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
MDT,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
META,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
MO,uncovered,3,0,,no_access
MRK,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
MS,uncovered,3,0,,no_access
MSFT,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
MU,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
NEE,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
NFLX,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
NKE,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
NOC,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
NOW,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
NVDA,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
ORCL,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
ORLY,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
PANW,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
PEP,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
PFE,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
PG,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
PH,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
PLD,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
PM,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
PNC,uncovered,3,0,,no_access
PYPL,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
QCOM,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
REGN,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
ROP,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
RTX,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
SBUX,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
SCHW,banks,3,3,"bs,cf,pl",quarterly_fundamentals_verified
SHW,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
SLB,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
SNPS,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
SO,uncovered,3,0,,no_access
SPGI,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
SYK,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
T,uncovered,3,0,,no_access
TDG,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
TJX,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
TMO,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
TSLA,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
TXN,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
UBER,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
UNH,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
UNP,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
UPS,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
USB,uncovered,3,0,,no_access
V,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
VRTX,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
VZ,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
WFC,uncovered,3,0,,no_access
WM,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
WMT,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
XOM,uncovered,3,0,,no_access
ZTS,standard,3,3,"bs,cf,pl",quarterly_fundamentals_verified
