model,year,mean_rank_ic
price_only_full_panel_reference,2017,0.050359
price_only_full_panel_reference,2018,-0.017784
price_only_full_panel_reference,2019,0.079427
price_only_full_panel_reference,2020,0.054251
price_only_full_panel_reference,2021,0.022018
price_only_full_panel_reference,2022,-0.03642
price_only_full_panel_reference,2023,0.028838
price_only_full_panel_reference,2024,0.011444
price_only_full_panel_reference,2025,0.105654
price_only_full_panel_reference,2026,0.087966
price_only_baseline,2022,-0.032801
price_only_baseline,2023,-0.008772
price_only_baseline,2024,-0.033841
price_only_baseline,2025,0.101091
price_only_baseline,2026,0.069853
fundamentals_only,2022,-0.080962
fundamentals_only,2023,-0.03411
fundamentals_only,2024,-0.004854
fundamentals_only,2025,0.011287
fundamentals_only,2026,0.013972
price_plus_fundamentals,2022,-0.045502
price_plus_fundamentals,2023,-0.013079
price_plus_fundamentals,2024,-0.027354
price_plus_fundamentals,2025,0.084354
price_plus_fundamentals,2026,0.061528
price_plus_fundamentals_quality,2022,-0.042267
price_plus_fundamentals_quality,2023,-0.010408
price_plus_fundamentals_quality,2024,-0.025163
price_plus_fundamentals_quality,2025,0.081517
price_plus_fundamentals_quality,2026,0.058327
