date,ticker,regime,return_5d,return_10d,return_20d,return_63d,return_126d,return_252d,mom_acceleration,trend_persistence,reversal_1d,reversal_5d,dist_sma20,dist_sma50,return_zscore_5d,return_zscore_20d,rs_5d_vs_spy,rs_20d_vs_spy,rs_63d_vs_spy,rs_126d_vs_spy,residual_alpha_20d,residual_alpha_63d,realized_vol_20d,realized_vol_63d,downside_vol_63d,vol_compression,vol_adj_momentum,beta_63d,log_dollar_volume_20d,volume_shock,price_volume_breakout,dist_from_63d_high,dist_from_126d_high,max_drawdown_126d,recovery_from_low_63d,breakout_after_consolidation,mom_x_riskon,rev_x_highvol,volshock_x_breakout,avg_dollar_volume_20d,forward_excess_return_5d_vs_spy,forward_excess_return_10d_vs_spy,forward_excess_return_20d_vs_spy,top_quintile_label,downside_risk_label
2026-04-30,AAPL,risk_on,-0.007607,0.030182,0.061495,0.051587,0.010659,0.29034,0.090508,0.0,0.004368,-0.007607,0.023391,0.040343,-0.276494,0.393671,-0.022019,-0.035294,0.013286,-0.04129,-0.029834,0.015447,0.241089,0.257748,0.174681,0.935367,0.200146,0.943587,23.165969,1.083421,-0.008242,-0.023429,-0.050966,-0.137985,0.100231,0.0,0.051587,0.0,0.0,11504101778.99704,0.041318,0.058936,0.098461,1,0
2026-04-30,ABBV,risk_on,0.051605,0.011149,-0.00887,-0.033375,-0.056045,0.127613,-0.009922,-0.007937,0.036441,0.051605,0.030358,-0.010334,1.452583,0.94788,0.037193,-0.105659,-0.071676,-0.107994,-0.044284,-0.047389,0.281309,0.267453,0.192603,1.051804,-0.124788,0.365888,21.069499,1.102118,0.056875,-0.097874,-0.097874,-0.157384,0.070625,0.0,-0.033375,-0.0,0.0,1413732014.931641,-0.058722,-0.043665,-0.02234,0,0
2026-04-30,ABT,risk_on,-0.018274,-0.049021,-0.107642,-0.138848,-0.274762,-0.290079,0.01898,-0.063492,-0.005913,-0.018274,-0.062516,-0.127042,0.078108,-0.899596,-0.032686,-0.204431,-0.17715,-0.326711,-0.154168,-0.157259,0.309056,0.246464,0.201565,1.253962,-0.563362,0.480689,20.922811,1.02699,-0.018767,-0.214787,-0.296865,-0.296865,0.0,0.0,-0.138848,0.0,0.0,1220847107.260857,-0.059612,-0.105938,-0.109791,0,0
2026-04-30,ACN,risk_on,0.002412,-0.078814,-0.085428,-0.310062,-0.28863,-0.393149,-0.341126,-0.047619,-0.008599,0.002412,-0.051485,-0.086114,1.615599,-1.168693,-0.012,-0.182217,-0.348364,-0.340579,-0.138919,-0.33123,0.421067,0.454223,0.367546,0.927005,-0.682621,0.552651,20.691513,0.627588,0.001514,-0.324467,-0.375388,-0.38147,0.009832,0.0,-0.310062,-0.0,0.0,968745581.186295,-0.009696,-0.123431,-0.005846,0,0
2026-04-30,ADBE,risk_on,0.029793,-0.008301,0.019597,-0.15618,-0.316218,-0.336622,0.033478,-0.015873,0.010387,0.029793,0.016214,-0.018301,1.376562,0.845672,0.015382,-0.077192,-0.194482,-0.368167,-0.038343,-0.179108,0.467424,0.417327,0.333113,1.120042,-0.37424,0.598621,20.979132,0.7664,0.022834,-0.161156,-0.311666,-0.369703,0.092079,0.0,-0.15618,-0.0,0.0,1291579949.377594,0.024322,-0.077999,0.000645,0,0
2026-04-30,ADI,risk_on,-0.004011,0.13697,0.254788,0.266142,0.691852,1.119672,-0.070083,0.063492,0.033264,-0.004011,0.101897,0.176462,-1.124945,1.032412,-0.018423,0.157999,0.227841,0.639903,0.12031,0.212927,0.389077,0.353606,0.201079,1.100313,0.752652,1.389396,20.88689,1.052934,-0.004223,-0.004011,-0.004011,-0.157292,0.327153,0.0,0.266142,0.0,0.0,1177771863.874207,-0.002416,0.019918,-0.023814,0,0
2026-04-30,ADP,risk_on,0.067546,0.057638,0.052961,-0.131231,-0.230868,-0.26541,-0.016544,0.0,-0.014508,0.067546,0.056741,0.027104,1.106667,2.333797,0.053135,-0.043828,-0.169532,-0.282817,0.034248,-0.138636,0.38085,0.326805,0.233522,1.165376,-0.401558,0.193334,20.218008,0.940821,0.063549,-0.136811,-0.196952,-0.284668,0.122623,0.0,-0.131231,-0.0,0.0,603350041.608505,-0.007834,-0.057907,-0.005914,0,0
2026-04-30,AMAT,risk_on,-0.023322,0.011772,0.115009,0.157151,0.738518,1.661445,-0.345261,0.103175,0.031104,-0.023322,0.01355,0.068897,-0.414971,-0.115961,-0.037734,0.01822,0.11885,0.686569,-0.11303,0.066912,0.463743,0.54456,0.376694,0.851593,0.288584,2.356043,21.497282,1.070583,-0.024968,-0.054072,-0.054072,-0.181871,0.327224,0.0,0.157151,0.0,0.0,2168457584.94751,0.022961,0.075721,0.089658,1,0
2026-04-30,AMD,risk_on,0.161006,0.273952,0.686361,0.405702,0.373939,2.690298,0.428298,0.047619,0.051556,0.161006,0.276324,0.526438,-0.242329,1.511917,0.146594,0.589572,0.367401,0.32199,0.432524,0.305254,0.632442,0.718827,0.465023,0.879825,0.564395,2.622586,23.164653,1.969473,0.317097,0.0,0.0,-0.277608,0.856455,0.0,0.405702,-0.0,0.0,11488967539.459839,0.134269,0.227521,0.403269,1,0
2026-04-30,AMGN,risk_on,-0.006798,-0.008987,-0.019899,0.016648,0.20215,0.237569,-0.165816,0.031746,0.024348,-0.006798,-0.001982,-0.034494,1.433463,0.49324,-0.02121,-0.116688,-0.021653,0.150201,-0.086159,-0.009573,0.217945,0.28528,0.165702,0.76397,0.058356,0.684584,20.551915,0.931923,-0.006335,-0.107971,-0.107971,-0.129174,0.029709,0.0,0.016648,0.0,0.0,842525756.908722,-0.067538,-0.070001,-0.072602,0,0
