candidate,cadence,basket_size,weighting,held_dates,gross_mean_period_return,gross_total_return,gross_approx_cagr,gross_max_drawdown,net_50bps_total_return
baseline_phase5c_reference,monthly,10,equal,112,0.031249,19.461285,0.381838,-0.367156,12.79128
baseline_phase5c_reference,monthly,10,vol_adj,112,0.031249,19.461285,0.381838,-0.367156,12.79128
baseline_phase5c_reference,monthly,20,equal,112,0.024351,10.006573,0.293021,-0.315017,6.635831
baseline_phase5c_reference,monthly,20,vol_adj,112,0.024351,10.006573,0.293021,-0.315017,6.635831
alpha_v3_ensemble,monthly,10,equal,112,0.025831,12.32044,0.319727,-0.292352,5.942958
alpha_v3_ensemble,monthly,10,vol_adj,112,0.023796,10.145776,0.294763,-0.241367,4.466251
alpha_v3_ensemble,monthly,20,equal,112,0.023245,9.429041,0.285576,-0.247699,4.890372
alpha_v3_ensemble,monthly,20,vol_adj,112,0.021732,8.119563,0.267227,-0.229642,3.802963
ensemble_high_confidence_only,monthly,10,equal,112,0.026251,12.961061,0.326386,-0.292352,6.138481
ensemble_high_confidence_only,monthly,10,vol_adj,112,0.02414,10.553096,0.299752,-0.241367,4.582045
ensemble_high_confidence_only,monthly,20,equal,112,0.022897,9.446368,0.285804,-0.222477,4.635166
ensemble_high_confidence_only,monthly,20,vol_adj,112,0.02122,7.954096,0.264743,-0.183234,3.553483
ensemble_risk_on_only,monthly,10,equal,44,0.022119,1.459868,0.27824,-0.167277,0.883745
ensemble_risk_on_only,monthly,10,vol_adj,44,0.020199,1.282195,0.25237,-0.136227,0.699691
ensemble_risk_on_only,monthly,20,equal,44,0.02037,1.31218,0.256836,-0.137995,0.838141
ensemble_risk_on_only,monthly,20,vol_adj,44,0.020216,1.310591,0.2566,-0.112346,0.787083
ensemble_top10_weekly_rebalance,weekly,10,equal,489,0.024371,34167.427348,2.034613,-0.841745,8557.954045
ensemble_top10_weekly_rebalance,weekly,10,vol_adj,489,0.021767,11584.045935,1.704909,-0.815047,2329.451024
ensemble_top10_weekly_rebalance,weekly,20,equal,489,0.021761,13073.881305,1.739932,-0.767289,3979.282206
ensemble_top10_weekly_rebalance,weekly,20,vol_adj,489,0.019863,5955.277888,1.520164,-0.765278,1486.72439
ensemble_top10_entry_exit_band,monthly,10,equal,112,0.026051,12.438874,0.320979,-0.246583,7.45519
ensemble_top10_entry_exit_band,monthly,10,vol_adj,112,0.023796,10.145776,0.294763,-0.241367,4.466251
ensemble_top10_entry_exit_band,monthly,20,equal,112,0.023245,9.429041,0.285576,-0.247699,4.890372
ensemble_top10_entry_exit_band,monthly,20,vol_adj,112,0.021732,8.119563,0.267227,-0.229642,3.802963
ensemble_industry_capped_top10,monthly,10,equal,112,0.020804,7.253112,0.253745,-0.261724,3.094587
ensemble_industry_capped_top10,monthly,10,vol_adj,112,0.023796,10.145776,0.294763,-0.241367,4.466251
ensemble_industry_capped_top10,monthly,20,equal,112,0.023245,9.429041,0.285576,-0.247699,4.890372
ensemble_industry_capped_top10,monthly,20,vol_adj,112,0.021732,8.119563,0.267227,-0.229642,3.802963
blended_horizon_signal,monthly,10,equal,112,0.022111,7.702545,0.260888,-0.2863,3.168829
blended_horizon_signal,monthly,10,vol_adj,112,0.020236,6.315537,0.23765,-0.257387,2.295965
blended_horizon_signal,monthly,20,equal,112,0.020375,6.587058,0.242492,-0.279694,2.913991
blended_horizon_signal,monthly,20,vol_adj,112,0.018921,5.649755,0.225061,-0.24928,2.203852
