candidate,cadence,basket_size,weighting,avg_turnover,gross_total_return,net_25bps_total_return,net_50bps_total_return
baseline_phase5c_reference,monthly,10,equal,0.358929,19.461285,15.801799,12.79128
baseline_phase5c_reference,monthly,10,vol_adj,0.358929,19.461285,15.801799,12.79128
baseline_phase5c_reference,monthly,20,equal,0.332589,10.006573,8.169094,6.635831
baseline_phase5c_reference,monthly,20,vol_adj,0.332589,10.006573,8.169094,6.635831
alpha_v3_ensemble,monthly,10,equal,0.590179,12.32044,8.621809,5.942958
alpha_v3_ensemble,monthly,10,vol_adj,0.64514,10.145776,6.810239,4.466251
alpha_v3_ensemble,monthly,20,equal,0.517857,9.429041,6.840818,4.890372
alpha_v3_ensemble,monthly,20,vol_adj,0.580782,8.119563,5.621415,3.802963
ensemble_high_confidence_only,monthly,10,equal,0.608036,12.961061,8.988517,6.138481
ensemble_high_confidence_only,monthly,10,vol_adj,0.659088,10.553096,7.03566,4.582045
ensemble_high_confidence_only,monthly,20,equal,0.559821,9.446368,6.67592,4.635166
ensemble_high_confidence_only,monthly,20,vol_adj,0.612516,7.954096,5.388722,3.553483
ensemble_risk_on_only,monthly,10,equal,0.618182,1.459868,1.15309,0.883745
ensemble_risk_on_only,monthly,10,vol_adj,0.68124,1.282195,0.97004,0.699691
ensemble_risk_on_only,monthly,20,equal,0.530682,1.31218,1.06191,0.838141
ensemble_risk_on_only,monthly,20,vol_adj,0.593585,1.310591,1.032451,0.787083
ensemble_top10_weekly_rebalance,weekly,10,equal,0.287117,34167.427348,17110.134988,8557.954045
ensemble_top10_weekly_rebalance,weekly,10,vol_adj,0.331991,11584.045935,5199.034286,2329.451024
ensemble_top10_weekly_rebalance,weekly,20,equal,0.246626,13073.881305,7215.964806,3979.282206
ensemble_top10_weekly_rebalance,weekly,20,vol_adj,0.287202,5955.277888,2977.437596,1486.72439
ensemble_top10_entry_exit_band,monthly,10,equal,0.419643,12.438874,9.662605,7.45519
ensemble_top10_entry_exit_band,monthly,10,vol_adj,0.64514,10.145776,6.810239,4.466251
ensemble_top10_entry_exit_band,monthly,20,equal,0.517857,9.429041,6.840818,4.890372
ensemble_top10_entry_exit_band,monthly,20,vol_adj,0.580782,8.119563,5.621415,3.802963
ensemble_industry_capped_top10,monthly,10,equal,0.633929,7.253112,4.816517,3.094587
ensemble_industry_capped_top10,monthly,10,vol_adj,0.64514,10.145776,6.810239,4.466251
ensemble_industry_capped_top10,monthly,20,equal,0.517857,9.429041,6.840818,4.890372
ensemble_industry_capped_top10,monthly,20,vol_adj,0.580782,8.119563,5.621415,3.802963
blended_horizon_signal,monthly,10,equal,0.664286,7.702545,5.027175,3.168829
blended_horizon_signal,monthly,10,vol_adj,0.718695,6.315537,3.914068,2.295965
blended_horizon_signal,monthly,20,equal,0.598214,6.587058,4.45219,2.913991
blended_horizon_signal,monthly,20,vol_adj,0.659293,5.649755,3.618575,2.203852
