strategy,regime,avg_exposure,signal_mean_ic,n_dates
high_confidence_top5_monthly,risk_on,1.0,0.057188,44
high_confidence_top5_monthly,neutral,1.0,0.049017,49
high_confidence_top5_monthly,risk_off,1.0,0.052518,19
high_confidence_top10_monthly,risk_on,1.0,0.057188,44
high_confidence_top10_monthly,neutral,1.0,0.049017,49
high_confidence_top10_monthly,risk_off,1.0,0.052518,19
high_confidence_top10_entry_exit_band,risk_on,1.0,0.057188,44
high_confidence_top10_entry_exit_band,neutral,1.0,0.049017,49
high_confidence_top10_entry_exit_band,risk_off,1.0,0.052518,19
high_confidence_top5_entry_exit_band,risk_on,1.0,0.057188,44
high_confidence_top5_entry_exit_band,neutral,1.0,0.049017,49
high_confidence_top5_entry_exit_band,risk_off,1.0,0.052518,19
high_confidence_top10_industry_capped,risk_on,1.0,0.057188,44
high_confidence_top10_industry_capped,neutral,1.0,0.049017,49
high_confidence_top10_industry_capped,risk_off,1.0,0.052518,19
high_confidence_top10_regime_scaled,risk_on,1.0,0.057188,44
high_confidence_top10_regime_scaled,neutral,0.6,0.049017,49
high_confidence_top10_regime_scaled,risk_off,0.3,0.052518,19
high_confidence_top10_entry_exit_industry_capped,risk_on,1.0,0.057188,44
high_confidence_top10_entry_exit_industry_capped,neutral,1.0,0.049017,49
high_confidence_top10_entry_exit_industry_capped,risk_off,1.0,0.052518,19
high_confidence_top10_entry_exit_regime_scaled,risk_on,1.0,0.057188,44
high_confidence_top10_entry_exit_regime_scaled,neutral,0.6,0.049017,49
high_confidence_top10_entry_exit_regime_scaled,risk_off,0.3,0.052518,19
