priority_order,ticker,provider,needed_for_75,needed_for_128,in_next_collection_batch,currently_cached,requires_api_key,uses_provider_call_when_live,safe_in_dry_run,note
1,MO,alpha_vantage,False,True,True,False,True,True,True,needed only for full 128-ticker coverage
2,MRK,alpha_vantage,False,True,True,False,True,True,True,needed only for full 128-ticker coverage
3,MS,alpha_vantage,False,True,True,False,True,True,True,needed only for full 128-ticker coverage
4,MSFT,alpha_vantage,False,True,True,False,True,True,True,needed only for full 128-ticker coverage
5,MU,alpha_vantage,False,True,True,False,True,True,True,needed only for full 128-ticker coverage
6,NEE,alpha_vantage,False,True,True,False,True,True,True,needed only for full 128-ticker coverage
7,NFLX,alpha_vantage,False,True,True,False,True,True,True,needed only for full 128-ticker coverage
8,NKE,alpha_vantage,False,True,True,False,True,True,True,needed only for full 128-ticker coverage
9,NOC,alpha_vantage,False,True,True,False,True,True,True,needed only for full 128-ticker coverage
10,NOW,alpha_vantage,False,True,True,False,True,True,True,needed only for full 128-ticker coverage
11,NVDA,alpha_vantage,False,True,True,False,True,True,True,needed only for full 128-ticker coverage
12,ORCL,alpha_vantage,False,True,True,False,True,True,True,needed only for full 128-ticker coverage
13,ORLY,alpha_vantage,False,True,True,False,True,True,True,needed only for full 128-ticker coverage
14,PANW,alpha_vantage,False,True,True,False,True,True,True,needed only for full 128-ticker coverage
15,PEP,alpha_vantage,False,True,True,False,True,True,True,needed only for full 128-ticker coverage
16,PFE,alpha_vantage,False,True,True,False,True,True,True,needed only for full 128-ticker coverage
17,PG,alpha_vantage,False,True,True,False,True,True,True,needed only for full 128-ticker coverage
18,PH,alpha_vantage,False,True,True,False,True,True,True,needed only for full 128-ticker coverage
19,PLD,alpha_vantage,False,True,True,False,True,True,True,needed only for full 128-ticker coverage
20,PM,alpha_vantage,False,True,True,False,True,True,True,needed only for full 128-ticker coverage
21,PNC,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
22,PYPL,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
23,QCOM,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
24,REGN,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
25,ROP,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
26,RTX,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
27,SBUX,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
28,SCHW,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
29,SHW,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
30,SLB,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
31,SNPS,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
32,SO,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
33,SPGI,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
34,SYK,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
35,T,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
36,TDG,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
37,TJX,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
38,TMO,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
39,TSLA,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
40,TXN,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
41,UBER,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
42,UNH,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
43,UNP,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
44,UPS,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
45,USB,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
46,V,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
47,VRTX,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
48,VZ,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
49,WFC,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
50,WM,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
51,WMT,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
52,XOM,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
53,ZTS,alpha_vantage,False,True,False,False,True,True,True,needed only for full 128-ticker coverage
