ticker,raw_file_exists,quarterly_earnings_count,has_quarterly_earnings,provider_note_or_error_flag,point_in_time_usable,newly_collected,integrated,note
AAPL,True,121,True,,True,False,True,
ABBV,True,54,True,,True,False,True,
ABT,True,121,True,,True,False,True,
ACN,True,100,True,,True,False,True,
ADBE,True,120,True,,True,False,True,
ADI,True,121,True,,True,False,True,
ADP,True,121,True,,True,False,True,
AMAT,True,121,True,,True,False,True,
AMD,True,121,True,,True,False,True,
AMGN,True,121,True,,True,False,True,
AMZN,True,116,True,,True,False,True,
AON,True,121,True,,True,False,True,
APD,True,121,True,,True,False,True,
APH,True,121,True,,True,False,True,
AVGO,True,68,True,,True,False,True,
AXP,True,121,True,,True,False,True,
BA,True,121,True,,True,False,True,
BAC,True,121,True,,True,False,True,
BKNG,True,109,True,,True,False,True,
BLK,True,106,True,,True,False,True,
BMY,True,121,True,,True,False,True,
BSX,True,121,True,,True,False,True,
C,True,121,True,,True,False,True,
CAT,True,121,True,,True,False,True,
CB,True,121,True,,True,False,True,
CDNS,True,121,True,,True,False,True,
CI,True,121,True,,True,False,True,
CL,True,121,True,,True,False,True,
CME,True,94,True,,True,False,True,
CMG,True,82,True,,True,False,True,
COP,True,121,True,,True,False,True,
COST,True,101,True,,True,False,True,
CRM,True,88,True,,True,False,True,
CSCO,True,122,True,,True,False,True,
CVS,True,121,True,,True,False,True,
CVX,True,121,True,,True,False,True,
DE,True,121,True,,True,False,True,
DIS,True,121,True,,True,False,True,
DUK,True,121,True,,True,False,True,
ELV,True,99,True,,True,False,True,
EMR,True,121,True,,True,False,True,
EOG,True,121,True,,True,False,True,
EQIX,True,103,True,,True,False,True,
ETN,True,121,True,,True,False,True,
FDX,True,120,True,,True,False,True,
GD,True,121,True,,True,False,True,
GE,True,121,True,,True,False,True,
GILD,True,121,True,,True,False,True,
GOOG,True,63,True,,True,False,True,
GOOGL,True,87,True,,True,False,True,
GS,True,108,True,,True,False,True,
HCA,True,61,True,,True,False,True,
HD,True,121,True,,True,False,True,
HON,True,121,True,,True,False,True,
IBM,True,121,True,,True,False,True,
ICE,True,83,True,,True,False,True,
INTC,True,121,True,,True,False,True,
INTU,True,122,True,,True,False,True,
ISRG,True,104,True,,True,False,True,
ITW,True,121,True,,True,False,True,
JNJ,True,121,True,,True,False,True,
JPM,True,121,True,,True,False,True,
KLAC,True,121,True,,True,False,True,
KO,True,121,True,,True,False,True,
LIN,True,121,True,,True,False,True,
LLY,True,121,True,,True,False,True,
LMT,True,121,True,,True,False,True,
LOW,True,122,True,,True,False,True,
MA,True,81,True,,True,False,True,
MAR,True,120,True,,True,False,True,
MCD,True,121,True,,True,True,True,
MCO,True,113,True,,True,True,True,
MDLZ,True,100,True,,True,True,True,
MDT,True,121,True,,True,True,True,
META,True,57,True,,True,True,True,
