check,value,detail
cache_only_mode,True,provider keys stripped from env
network_used,False,no provider network reachable in no-key branch
api_key_required,False,rebuild reads only local raw cache
api_key_used,False,selected_provider is None in cache-only rebuild
raw_cache_count_before,75,*.json under raw/
raw_cache_count_after,75,*.json under raw/
raw_files_deleted,False,no raw file deleted
raw_files_untracked,False,no git rm performed
raw_files_staged,False,none staged
new_raw_payload_gitignored,True,research/output/phase3m_earnings_estimates_signal_gate/raw/alpha_vantage_MCD.json
coverage_count_before,70,distinct tickers in features csv
coverage_count_after,75,distinct tickers in features csv
new_cached_tickers_detected,5,"MCD,MCO,MDLZ,MDT,META"
new_tickers_integrated,5,"MCD,MCO,MDLZ,MDT,META"
failed_tickers,0,none
committed_safe_artifacts_modified,6,"collection_progress.csv,collection_progress.json,decision_table.csv,earnings_events_universe.csv,earnings_feature_coverage_by_ticker.csv,earnings_features_universe.csv"
no_paper_trader_change,True,research-only; no api/ touched
no_gcp_change,True,no deployment surface touched
no_deployment,True,no model/service deployed
no_orders,True,orders disabled
no_broker_execution,True,no broker execution
no_automation,True,automation off
no_binary_artifacts,True,text artifacts only
preview_only,True,manual review
recommendation,CACHE_INTEGRATION_SUCCESS_READY_FOR_G2,Run Event-Alpha Rerun on Expanded Earnings Coverage
