model,year,mean_rank_ic
phase5c_reference,2017,0.04824
phase5c_reference,2018,0.022607
phase5c_reference,2019,0.063301
phase5c_reference,2020,0.043867
phase5c_reference,2021,0.014497
phase5c_reference,2022,-0.042161
phase5c_reference,2023,0.082386
phase5c_reference,2024,0.011011
phase5c_reference,2025,0.141976
phase5c_reference,2026,0.109235
price_only,2017,0.050359
price_only,2018,-0.017784
price_only,2019,0.079427
price_only,2020,0.054251
price_only,2021,0.022018
price_only,2022,-0.03642
price_only,2023,0.028838
price_only,2024,0.011444
price_only,2025,0.105654
price_only,2026,0.087966
macro_only,2017,0.03814
macro_only,2018,-0.013976
macro_only,2019,-0.016562
macro_only,2020,-0.020586
macro_only,2021,-0.094414
macro_only,2022,-0.076938
macro_only,2023,0.014399
macro_only,2024,0.004117
macro_only,2025,-0.059779
macro_only,2026,0.120947
price_plus_macro,2017,0.026023
price_plus_macro,2018,-0.000556
price_plus_macro,2019,0.001157
price_plus_macro,2020,0.009896
price_plus_macro,2021,-0.032405
price_plus_macro,2022,-0.041177
price_plus_macro,2023,0.010742
price_plus_macro,2024,-0.005401
price_plus_macro,2025,-0.065841
price_plus_macro,2026,0.134898
price_plus_macro_regime_interaction,2017,0.044207
price_plus_macro_regime_interaction,2018,-0.028663
price_plus_macro_regime_interaction,2019,-0.071092
price_plus_macro_regime_interaction,2020,0.012416
price_plus_macro_regime_interaction,2021,-0.036475
price_plus_macro_regime_interaction,2022,-0.050549
price_plus_macro_regime_interaction,2023,0.000535
price_plus_macro_regime_interaction,2024,-0.004894
price_plus_macro_regime_interaction,2025,-0.049999
price_plus_macro_regime_interaction,2026,0.107268
