ticker,asset_class,rows,date_min,date_max,years_span,has_five_year_history,adjusted_close_available,volume_available,usable,quality_status,blocker
QQQ,equity_structure,0,,,0.0,False,False,False,False,NOT_COLLECTED,
IWM,equity_structure,0,,,0.0,False,False,False,False,NOT_COLLECTED,
DIA,equity_structure,0,,,0.0,False,False,False,False,NOT_COLLECTED,
EFA,global_regional,0,,,0.0,False,False,False,False,NOT_COLLECTED,
EEM,global_regional,0,,,0.0,False,False,False,False,NOT_COLLECTED,
ACWI,global_regional,0,,,0.0,False,False,False,False,NOT_COLLECTED,
VT,global_regional,0,,,0.0,False,False,False,False,NOT_COLLECTED,
EWJ,global_regional,0,,,0.0,False,False,False,False,NOT_COLLECTED,
EWU,global_regional,0,,,0.0,False,False,False,False,NOT_COLLECTED,
FXI,global_regional,0,,,0.0,False,False,False,False,NOT_COLLECTED,
EWZ,global_regional,0,,,0.0,False,False,False,False,NOT_COLLECTED,
INDA,global_regional,0,,,0.0,False,False,False,False,NOT_COLLECTED,
TLT,rates_duration,0,,,0.0,False,False,False,False,NOT_COLLECTED,
IEF,rates_duration,0,,,0.0,False,False,False,False,NOT_COLLECTED,
SHY,rates_duration,0,,,0.0,False,False,False,False,NOT_COLLECTED,
TIP,rates_duration,0,,,0.0,False,False,False,False,NOT_COLLECTED,
HYG,credit,0,,,0.0,False,False,False,False,NOT_COLLECTED,
LQD,credit,0,,,0.0,False,False,False,False,NOT_COLLECTED,
UUP,dollar_fx,0,,,0.0,False,False,False,False,NOT_COLLECTED,
FXE,dollar_fx,0,,,0.0,False,False,False,False,NOT_COLLECTED,
FXY,dollar_fx,0,,,0.0,False,False,False,False,NOT_COLLECTED,
FXB,dollar_fx,0,,,0.0,False,False,False,False,NOT_COLLECTED,
FXA,dollar_fx,0,,,0.0,False,False,False,False,NOT_COLLECTED,
FXC,dollar_fx,0,,,0.0,False,False,False,False,NOT_COLLECTED,
GLD,commodity,0,,,0.0,False,False,False,False,NOT_COLLECTED,
SLV,commodity,0,,,0.0,False,False,False,False,NOT_COLLECTED,
DBC,commodity,0,,,0.0,False,False,False,False,NOT_COLLECTED,
GSG,commodity,0,,,0.0,False,False,False,False,NOT_COLLECTED,
USO,commodity,0,,,0.0,False,False,False,False,NOT_COLLECTED,
BNO,commodity,0,,,0.0,False,False,False,False,NOT_COLLECTED,
UNG,commodity,0,,,0.0,False,False,False,False,NOT_COLLECTED,
CPER,commodity,0,,,0.0,False,False,False,False,NOT_COLLECTED,
VIXY,volatility,0,,,0.0,False,False,False,False,NOT_COLLECTED,
XLE,sector_rotation,0,,,0.0,False,False,False,False,NOT_COLLECTED,
XLK,sector_rotation,0,,,0.0,False,False,False,False,NOT_COLLECTED,
XLF,sector_rotation,0,,,0.0,False,False,False,False,NOT_COLLECTED,
XLI,sector_rotation,0,,,0.0,False,False,False,False,NOT_COLLECTED,
XLV,sector_rotation,0,,,0.0,False,False,False,False,NOT_COLLECTED,
XLY,sector_rotation,0,,,0.0,False,False,False,False,NOT_COLLECTED,
XLP,sector_rotation,0,,,0.0,False,False,False,False,NOT_COLLECTED,
XLU,sector_rotation,0,,,0.0,False,False,False,False,NOT_COLLECTED,
XLRE,sector_rotation,0,,,0.0,False,False,False,False,NOT_COLLECTED,
XLB,sector_rotation,0,,,0.0,False,False,False,False,NOT_COLLECTED,
XLC,sector_rotation,0,,,0.0,False,False,False,False,NOT_COLLECTED,
SMH,sector_rotation,0,,,0.0,False,False,False,False,NOT_COLLECTED,
KRE,sector_rotation,0,,,0.0,False,False,False,False,NOT_COLLECTED,
