ticker,weight,notional_usd,avg_dollar_volume,participation_rate,days_to_liquidate,liquidity_bucket
AAPL,0.125,1250000.0,13209935033.5,0.1,0.000946,deep
AMGN,0.116667,1166666.67,937393168.61,0.1,0.012446,deep
BKNG,0.108333,1083333.33,1282827408.99,0.1,0.008445,deep
CL,0.1,1000000.0,486627699.79,0.1,0.02055,deep
DE,0.091667,916666.67,736377327.68,0.1,0.012448,deep
GD,0.083333,833333.33,454787160.26,0.1,0.018324,deep
IBM,0.075,750000.0,2055427608.78,0.1,0.003649,deep
LIN,0.066667,666666.67,1140310694.58,0.1,0.005846,deep
MDT,0.058333,583333.33,795065545.6,0.1,0.007337,deep
NKE,0.05,500000.0,1029975829.85,0.1,0.004854,deep
PG,0.041667,416666.67,1370072384.1,0.1,0.003041,deep
RTX,0.033333,333333.33,975264547.9,0.1,0.003418,deep
T,0.025,250000.0,1064320111.39,0.1,0.002349,deep
UPS,0.016667,166666.67,610077424.64,0.1,0.002732,deep
ZTS,0.008333,83333.33,569544680.57,0.1,0.001463,deep
