regime_axis,from_label,to_label,count,transition_prob
risk_regime,risk_off,risk_off,12,0.8
risk_regime,risk_off,risk_on,3,0.2
risk_regime,risk_on,risk_off,3,0.028
risk_regime,risk_on,risk_on,104,0.972
vol_regime,high_vol,high_vol,50,0.7143
vol_regime,high_vol,low_vol,20,0.2857
vol_regime,low_vol,high_vol,21,0.4884
vol_regime,low_vol,low_vol,22,0.5116
trend_regime,above_trend,above_trend,86,0.8958
trend_regime,above_trend,below_trend,10,0.1042
trend_regime,below_trend,above_trend,10,0.5
trend_regime,below_trend,below_trend,10,0.5
inflation_regime,disinflation,disinflation,40,0.7407
inflation_regime,disinflation,inflation_up,14,0.2593
inflation_regime,inflation_up,disinflation,14,0.1972
inflation_regime,inflation_up,inflation_up,57,0.8028
rates_regime,rates_down,rates_down,37,0.6852
rates_regime,rates_down,rates_up,17,0.3148
rates_regime,rates_up,rates_down,17,0.2394
rates_regime,rates_up,rates_up,54,0.7606
dollar_regime,dollar_down,dollar_down,39,0.6842
dollar_regime,dollar_down,dollar_up,18,0.3158
dollar_regime,dollar_up,dollar_down,18,0.2647
dollar_regime,dollar_up,dollar_up,50,0.7353
