series,regime_axis,regime_label,n_months,mean_rank_ic,ic_t_stat,full_sample_mean_ic,ic_delta_vs_full
upgraded_composite,risk_regime,risk_off,15,-0.024126,-0.892768,0.017726,-0.041852
upgraded_composite,risk_regime,risk_on,103,0.023821,1.509845,0.017726,0.006095
upgraded_composite,vol_regime,high_vol,70,-0.001482,-0.083549,0.017726,-0.019208
upgraded_composite,vol_regime,low_vol,43,0.056203,2.235336,0.017726,0.038477
upgraded_composite,trend_regime,above_trend,96,0.021657,1.31024,0.017726,0.003931
upgraded_composite,trend_regime,below_trend,20,0.008056,0.295991,0.017726,-0.00967
upgraded_composite,inflation_regime,disinflation,53,0.010888,0.472214,0.017726,-0.006838
upgraded_composite,inflation_regime,inflation_up,65,0.023301,1.303727,0.017726,0.005576
upgraded_composite,rates_regime,rates_down,49,0.028586,1.10321,0.017726,0.01086
upgraded_composite,rates_regime,rates_up,69,0.010013,0.623681,0.017726,-0.007712
upgraded_composite,dollar_regime,dollar_down,54,0.033599,1.740277,0.017726,0.015874
upgraded_composite,dollar_regime,dollar_up,64,0.004332,0.210578,0.017726,-0.013393
phase7c_baseline,risk_regime,risk_off,15,-0.042202,-1.06193,-0.007396,-0.034806
phase7c_baseline,risk_regime,risk_on,106,-0.00247,-0.155101,-0.007396,0.004925
phase7c_baseline,vol_regime,high_vol,70,-0.019515,-1.080551,-0.007396,-0.012119
phase7c_baseline,vol_regime,low_vol,43,0.026101,1.005328,-0.007396,0.033497
phase7c_baseline,trend_regime,above_trend,96,0.002272,0.139876,-0.007396,0.009668
phase7c_baseline,trend_regime,below_trend,20,-0.044106,-1.24816,-0.007396,-0.03671
phase7c_baseline,inflation_regime,disinflation,54,-0.025582,-0.987122,-0.007396,-0.018186
phase7c_baseline,inflation_regime,inflation_up,67,0.007262,0.436916,-0.007396,0.014658
phase7c_baseline,rates_regime,rates_down,51,-0.008329,-0.309191,-0.007396,-0.000933
phase7c_baseline,rates_regime,rates_up,70,-0.006716,-0.405411,-0.007396,0.00068
phase7c_baseline,dollar_regime,dollar_down,56,-0.006083,-0.262711,-0.007396,0.001313
phase7c_baseline,dollar_regime,dollar_up,65,-0.008527,-0.44543,-0.007396,-0.001131
bucket_momentum,risk_regime,risk_off,15,-0.023131,-0.471051,0.007916,-0.031047
bucket_momentum,risk_regime,risk_on,103,0.012437,0.69231,0.007916,0.004521
bucket_momentum,vol_regime,high_vol,70,-0.017847,-0.822088,0.007916,-0.025763
bucket_momentum,vol_regime,low_vol,43,0.055415,1.952739,0.007916,0.047499
bucket_momentum,trend_regime,above_trend,96,0.008747,0.464127,0.007916,0.000831
bucket_momentum,trend_regime,below_trend,20,0.011503,0.276867,0.007916,0.003587
bucket_momentum,inflation_regime,disinflation,53,-0.001497,-0.053832,0.007916,-0.009413
bucket_momentum,inflation_regime,inflation_up,65,0.015591,0.754919,0.007916,0.007675
bucket_momentum,rates_regime,rates_down,49,0.02145,0.738723,0.007916,0.013534
bucket_momentum,rates_regime,rates_up,69,-0.001695,-0.083908,0.007916,-0.009611
bucket_momentum,dollar_regime,dollar_down,54,0.008982,0.376406,0.007916,0.001066
bucket_momentum,dollar_regime,dollar_up,64,0.007016,0.294804,0.007916,-0.0009
bucket_value,risk_regime,risk_off,11,-0.00836,-0.240696,0.025013,-0.033373
bucket_value,risk_regime,risk_on,55,0.031688,1.630016,0.025013,0.006675
bucket_value,vol_regime,high_vol,42,0.03549,1.576246,0.025013,0.010477
bucket_value,vol_regime,low_vol,24,0.006678,0.253143,0.025013,-0.018335
bucket_value,trend_regime,above_trend,53,0.035535,1.799037,0.025013,0.010522
bucket_value,trend_regime,below_trend,13,-0.017882,-0.550173,0.025013,-0.042895
bucket_value,inflation_regime,disinflation,30,0.030173,1.047144,0.025013,0.00516
bucket_value,inflation_regime,inflation_up,36,0.020713,0.995007,0.025013,-0.0043
bucket_value,rates_regime,rates_down,22,0.02546,0.946608,0.025013,0.000447
bucket_value,rates_regime,rates_up,44,0.02479,1.114761,0.025013,-0.000223
bucket_value,dollar_regime,dollar_down,29,0.055766,1.925469,0.025013,0.030753
bucket_value,dollar_regime,dollar_up,37,0.00091,0.045183,0.025013,-0.024103
bucket_quality,risk_regime,risk_off,15,0.029312,0.829262,-0.009122,0.038434
bucket_quality,risk_regime,risk_on,79,-0.016419,-0.919035,-0.009122,-0.007298
bucket_quality,vol_regime,high_vol,62,0.006489,0.334671,-0.009122,0.015611
bucket_quality,vol_regime,low_vol,32,-0.039367,-1.395498,-0.009122,-0.030245
bucket_quality,trend_regime,above_trend,74,-0.01506,-0.839598,-0.009122,-0.005938
bucket_quality,trend_regime,below_trend,20,0.01285,0.352399,-0.009122,0.021971
bucket_quality,inflation_regime,disinflation,46,-0.011136,-0.41902,-0.009122,-0.002014
bucket_quality,inflation_regime,inflation_up,48,-0.007192,-0.383533,-0.009122,0.00193
bucket_quality,rates_regime,rates_down,40,-0.012283,-0.452714,-0.009122,-0.003161
bucket_quality,rates_regime,rates_up,54,-0.00678,-0.344824,-0.009122,0.002342
bucket_quality,dollar_regime,dollar_down,41,-0.042524,-1.691128,-0.009122,-0.033402
bucket_quality,dollar_regime,dollar_up,53,0.016718,0.822905,-0.009122,0.02584
bucket_growth,risk_regime,risk_off,15,0.00336,0.129594,-0.004765,0.008125
bucket_growth,risk_regime,risk_on,87,-0.006165,-0.476634,-0.004765,-0.001401
