ticker,has_local_price,has_annual_fundamentals,has_sector,in_current_engine_universe,locally_expandable
AAPL,true,true,true,true,false
ABBV,true,true,true,true,false
ABT,true,true,true,true,false
ACN,true,true,true,true,false
ADBE,true,true,true,true,false
ADI,true,true,true,true,false
ADP,true,true,true,true,false
AMAT,true,true,true,true,false
AMD,true,true,true,true,false
AMGN,true,true,true,true,false
AMZN,true,true,true,true,false
AON,true,true,true,true,false
APD,true,true,true,true,false
APH,true,true,true,true,false
AVGO,true,true,true,true,false
AXP,true,true,true,true,false
BA,true,true,true,true,false
BAC,true,true,true,true,false
BKNG,true,true,true,true,false
BLK,true,true,true,true,false
BMY,true,true,true,true,false
BSX,true,true,true,true,false
C,true,true,true,true,false
CAT,true,true,true,true,false
CB,true,true,true,true,false
CDNS,true,true,true,true,false
CI,true,true,true,true,false
CL,true,true,true,true,false
CME,true,true,true,true,false
CMG,true,true,true,true,false
COP,true,true,true,true,false
COST,true,true,true,true,false
CRM,true,true,true,true,false
CSCO,true,true,true,true,false
CVS,true,true,true,true,false
CVX,true,true,true,true,false
DE,true,true,true,true,false
DIS,true,true,true,true,false
DUK,true,true,true,true,false
ELV,true,true,true,true,false
EMR,true,true,true,true,false
EOG,true,true,true,true,false
EQIX,true,true,true,true,false
ETN,true,true,true,true,false
FDX,true,true,true,true,false
GD,true,true,true,true,false
GE,true,true,true,true,false
GILD,true,true,true,true,false
GOOG,true,true,true,true,false
GOOGL,true,true,true,true,false
GS,true,true,true,true,false
HCA,true,true,true,true,false
HD,true,true,true,true,false
HON,true,true,true,true,false
IBM,true,true,true,true,false
ICE,true,true,true,true,false
INTC,true,true,true,true,false
INTU,true,true,true,true,false
ISRG,true,true,true,true,false
ITW,true,true,true,true,false
JNJ,true,true,true,true,false
JPM,true,true,true,true,false
KLAC,true,true,true,true,false
KO,true,true,true,true,false
LIN,true,true,true,true,false
LLY,true,true,true,true,false
LMT,true,true,true,true,false
LOW,true,true,true,true,false
MA,true,true,true,true,false
MAR,true,true,true,true,false
MCD,true,true,true,true,false
MCO,true,true,true,true,false
MDLZ,true,true,true,true,false
MDT,true,true,true,true,false
META,true,true,true,true,false
MO,true,true,true,true,false
MRK,true,true,true,true,false
MS,true,true,true,true,false
MSFT,true,true,true,true,false
MU,true,true,true,true,false
NEE,true,true,true,true,false
NFLX,true,true,true,true,false
NKE,true,true,true,true,false
NOC,true,true,true,true,false
NOW,true,true,true,true,false
NVDA,true,true,true,true,false
ORCL,true,true,true,true,false
ORLY,true,true,true,true,false
PANW,true,true,true,true,false
PEP,true,true,true,true,false
PFE,true,true,true,true,false
PG,true,true,true,true,false
PH,true,true,true,true,false
PLD,true,true,true,true,false
PM,true,true,true,true,false
PNC,true,true,true,true,false
PYPL,true,true,true,true,false
QCOM,true,true,true,true,false
REGN,true,true,true,true,false
ROP,true,true,true,true,false
RTX,true,true,true,true,false
SBUX,true,true,true,true,false
SCHW,true,true,true,true,false
SHW,true,true,true,true,false
SLB,true,true,true,true,false
SNPS,true,true,true,true,false
SO,true,true,true,true,false
SPGI,true,true,true,true,false
SYK,true,true,true,true,false
T,true,true,true,true,false
TDG,true,true,true,true,false
TJX,true,true,true,true,false
TMO,true,true,true,true,false
TSLA,true,true,true,true,false
TXN,true,true,true,true,false
UBER,true,true,true,true,false
UNH,true,true,true,true,false
UNP,true,true,true,true,false
UPS,true,true,true,true,false
USB,true,true,true,true,false
V,true,true,true,true,false
VRTX,true,true,true,true,false
VZ,true,true,true,true,false
WFC,true,true,true,true,false
WM,true,true,true,true,false
WMT,true,true,true,true,false
XOM,true,true,true,true,false
ZTS,true,true,true,true,false
