ticker,status,rows,usable,source
NVDA,PLANNED,0,false,not_run
GOOGL,PLANNED,0,false,not_run
AAPL,PLANNED,0,false,not_run
MSFT,PLANNED,0,false,not_run
AMZN,PLANNED,0,false,not_run
AVGO,PLANNED,0,false,not_run
TSLA,PLANNED,0,false,not_run
META,PLANNED,0,false,not_run
MU,PLANNED,0,false,not_run
LLY,PLANNED,0,false,not_run
WMT,PLANNED,0,false,not_run
JPM,PLANNED,0,false,not_run
AMD,PLANNED,0,false,not_run
ASML,PLANNED,0,false,not_run
INTC,PLANNED,0,false,not_run
V,PLANNED,0,false,not_run
XOM,PLANNED,0,false,not_run
JNJ,PLANNED,0,false,not_run
ORCL,PLANNED,0,false,not_run
CSCO,PLANNED,0,false,not_run
LRCX,PLANNED,0,false,not_run
AMAT,PLANNED,0,false,not_run
COST,PLANNED,0,false,not_run
MA,PLANNED,0,false,not_run
CAT,PLANNED,0,false,not_run
ARM,PLANNED,0,false,not_run
ABBV,PLANNED,0,false,not_run
CYATY,PLANNED,0,false,not_run
BAC,PLANNED,0,false,not_run
CVX,PLANNED,0,false,not_run
UNH,PLANNED,0,false,not_run
KO,PLANNED,0,false,not_run
GE,PLANNED,0,false,not_run
PG,PLANNED,0,false,not_run
NFLX,PLANNED,0,false,not_run
MS,PLANNED,0,false,not_run
KLAC,PLANNED,0,false,not_run
HD,PLANNED,0,false,not_run
HSBC,PLANNED,0,false,not_run
GS,PLANNED,0,false,not_run
PLTR,PLANNED,0,false,not_run
MRK,PLANNED,0,false,not_run
SNDK,PLANNED,0,false,not_run
NVS,PLANNED,0,false,not_run
KXIAY,PLANNED,0,false,not_run
PM,PLANNED,0,false,not_run
AZN,PLANNED,0,false,not_run
RY,PLANNED,0,false,not_run
TXN,PLANNED,0,false,not_run
BABA,PLANNED,0,false,not_run
WFC,PLANNED,0,false,not_run
DELL,PLANNED,0,false,not_run
IBM,PLANNED,0,false,not_run
GEV,PLANNED,0,false,not_run
RTX,PLANNED,0,false,not_run
MRVL,PLANNED,0,false,not_run
LIN,PLANNED,0,false,not_run
C,PLANNED,0,false,not_run
SHEL,PLANNED,0,false,not_run
BHP,PLANNED,0,false,not_run
TM,PLANNED,0,false,not_run
PANW,PLANNED,0,false,not_run
MUFG,PLANNED,0,false,not_run
QCOM,PLANNED,0,false,not_run
AXP,PLANNED,0,false,not_run
STX,PLANNED,0,false,not_run
RTNTF,PLANNED,0,false,not_run
ANET,PLANNED,0,false,not_run
TMUS,PLANNED,0,false,not_run
ADI,PLANNED,0,false,not_run
MCD,PLANNED,0,false,not_run
VZ,PLANNED,0,false,not_run
PEP,PLANNED,0,false,not_run
TTE,PLANNED,0,false,not_run
NVO,PLANNED,0,false,not_run
WDC,PLANNED,0,false,not_run
TD,PLANNED,0,false,not_run
SAP,PLANNED,0,false,not_run
AMGN,PLANNED,0,false,not_run
APH,PLANNED,0,false,not_run
TJX,PLANNED,0,false,not_run
SAN,PLANNED,0,false,not_run
NEE,PLANNED,0,false,not_run
TMO,PLANNED,0,false,not_run
CRWD,PLANNED,0,false,not_run
DIS,PLANNED,0,false,not_run
BA,PLANNED,0,false,not_run
RIO,PLANNED,0,false,not_run
BLK,PLANNED,0,false,not_run
APP,PLANNED,0,false,not_run
T,PLANNED,0,false,not_run
UNP,PLANNED,0,false,not_run
DTEGY,PLANNED,0,false,not_run
UBS,PLANNED,0,false,not_run
BUD,PLANNED,0,false,not_run
SCHW,PLANNED,0,false,not_run
SCCO,PLANNED,0,false,not_run
GILD,PLANNED,0,false,not_run
DE,PLANNED,0,false,not_run
SMFG,PLANNED,0,false,not_run
GLW,PLANNED,0,false,not_run
IBKR,PLANNED,0,false,not_run
ABT,PLANNED,0,false,not_run
ETN,PLANNED,0,false,not_run
WELL,PLANNED,0,false,not_run
SMERY,PLANNED,0,false,not_run
BX,PLANNED,0,false,not_run
PFE,PLANNED,0,false,not_run
ISRG,PLANNED,0,false,not_run
COP,PLANNED,0,false,not_run
SHOP,PLANNED,0,false,not_run
UBER,PLANNED,0,false,not_run
HON,PLANNED,0,false,not_run
PLD,PLANNED,0,false,not_run
CRM,PLANNED,0,false,not_run
BTI,PLANNED,0,false,not_run
HTHIY,PLANNED,0,false,not_run
CVS,PLANNED,0,false,not_run
BBVA,PLANNED,0,false,not_run
BKNG,PLANNED,0,false,not_run
UL,PLANNED,0,false,not_run
CB,PLANNED,0,false,not_run
DHR,PLANNED,0,false,not_run
ATEYY,PLANNED,0,false,not_run
LMT,PLANNED,0,false,not_run
HDB,PLANNED,0,false,not_run
SPGI,PLANNED,0,false,not_run
LOW,PLANNED,0,false,not_run
ENB,PLANNED,0,false,not_run
SONY,PLANNED,0,false,not_run
MO,PLANNED,0,false,not_run
IFNNY,PLANNED,0,false,not_run
SYK,PLANNED,0,false,not_run
PGR,PLANNED,0,false,not_run
PBR,PLANNED,0,false,not_run
BMO,PLANNED,0,false,not_run
MFG,PLANNED,0,false,not_run
SBUX,PLANNED,0,false,not_run
BMY,PLANNED,0,false,not_run
VRT,PLANNED,0,false,not_run
PDD,PLANNED,0,false,not_run
COF,PLANNED,0,false,not_run
PH,PLANNED,0,false,not_run
VRTX,PLANNED,0,false,not_run
BP,PLANNED,0,false,not_run
FTNT,PLANNED,0,false,not_run
NEM,PLANNED,0,false,not_run
GSK,PLANNED,0,false,not_run
CDNS,PLANNED,0,false,not_run
PWR,PLANNED,0,false,not_run
MAR,PLANNED,0,false,not_run
SO,PLANNED,0,false,not_run
SNY,PLANNED,0,false,not_run
HWM,PLANNED,0,false,not_run
NOW,PLANNED,0,false,not_run
ACN,PLANNED,0,false,not_run
EQIX,PLANNED,0,false,not_run
CM,PLANNED,0,false,not_run
SNHIY,PLANNED,0,false,not_run
BNS,PLANNED,0,false,not_run
MDT,PLANNED,0,false,not_run
TT,PLANNED,0,false,not_run
BN,PLANNED,0,false,not_run
IBN,PLANNED,0,false,not_run
SPOT,PLANNED,0,false,not_run
BNY,PLANNED,0,false,not_run
FCX,PLANNED,0,false,not_run
GD,PLANNED,0,false,not_run
DUK,PLANNED,0,false,not_run
CME,PLANNED,0,false,not_run
PNC,PLANNED,0,false,not_run
CNQ,PLANNED,0,false,not_run
MCK,PLANNED,0,false,not_run
