regime,metric,value,note
2016,composite_mean_rank_ic,0.016068,diagnostic only; not used for factor selection or weighting
2017,composite_mean_rank_ic,0.000608,diagnostic only; not used for factor selection or weighting
2018,composite_mean_rank_ic,0.003271,diagnostic only; not used for factor selection or weighting
2019,composite_mean_rank_ic,0.015421,diagnostic only; not used for factor selection or weighting
2020,composite_mean_rank_ic,0.057564,diagnostic only; not used for factor selection or weighting
2021,composite_mean_rank_ic,-0.04354,diagnostic only; not used for factor selection or weighting
2022,composite_mean_rank_ic,-0.004454,diagnostic only; not used for factor selection or weighting
2023,composite_mean_rank_ic,0.017671,diagnostic only; not used for factor selection or weighting
2024,composite_mean_rank_ic,0.030789,diagnostic only; not used for factor selection or weighting
2025,composite_mean_rank_ic,-0.003252,diagnostic only; not used for factor selection or weighting
2026,composite_mean_rank_ic,0.06984,diagnostic only; not used for factor selection or weighting
