config,gross_max_drawdown,net_25bps_max_drawdown,ann_return_net_25bps,ann_vol
u128:mom_12_1:top_decile,-0.197415,-0.201316,0.243421,0.23053
u128:mom_12_1:top_quintile,-0.174081,-0.176031,0.200822,0.179667
u128:mom_6_1:top_decile,-0.156547,-0.173875,0.269013,0.198765
u128:mom_6_1:top_quintile,-0.224692,-0.236323,0.215717,0.163679
u128:mom_riskadj:top_decile,-0.208263,-0.225517,0.180304,0.185319
u128:mom_riskadj:top_quintile,-0.165738,-0.167929,0.176112,0.158363
u128:momentum_bucket:top_decile,-0.19153,-0.205846,0.235901,0.202926
u128:momentum_bucket:top_quintile,-0.163309,-0.176271,0.199216,0.168725
u296:mom_12_1:top_decile,-0.219038,-0.223179,0.357039,0.257371
u296:mom_12_1:top_quintile,-0.194556,-0.196698,0.283249,0.208757
u296:mom_6_1:top_decile,-0.192429,-0.197578,0.382598,0.248677
u296:mom_6_1:top_quintile,-0.224521,-0.239224,0.274197,0.201695
u296:mom_riskadj:top_decile,-0.197074,-0.200174,0.272676,0.216244
u296:mom_riskadj:top_quintile,-0.192956,-0.194838,0.237449,0.183588
u296:momentum_bucket:top_decile,-0.190842,-0.205873,0.368883,0.245787
u296:momentum_bucket:top_quintile,-0.196902,-0.210255,0.262517,0.19527
SPY,-0.239272,-0.239272,0.152282,0.157328
equal_weight_universe,-0.235055,-0.235055,0.219391,0.171112
