config,regime_axis,regime_label,n_months,mean_monthly_return,ann_vol,sharpe,note
u128:mom_12_1:top_decile,risk_regime,risk_off,15,0.018067,0.292459,0.741302,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_decile,risk_regime,risk_on,97,0.022367,0.221234,1.213189,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_decile,vol_regime,high_vol,70,0.025501,0.249407,1.226971,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_decile,vol_regime,low_vol,42,0.015606,0.196063,0.955178,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_decile,trend_regime,above_trend,92,0.014134,0.189337,0.895782,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_decile,trend_regime,below_trend,20,0.057012,0.345977,1.977441,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_decile,inflation_regime,disinflation,51,0.029717,0.253205,1.408359,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_decile,inflation_regime,inflation_up,61,0.015164,0.209076,0.870331,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_decile,rates_regime,rates_down,47,0.031347,0.246587,1.525497,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_decile,rates_regime,rates_up,65,0.01488,0.216982,0.82295,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_decile,dollar_regime,dollar_down,53,0.016976,0.236379,0.861784,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_decile,dollar_regime,dollar_up,59,0.026116,0.226117,1.385969,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_quintile,risk_regime,risk_off,15,0.019022,0.254164,0.898079,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_quintile,risk_regime,risk_on,97,0.017578,0.167033,1.262851,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_quintile,vol_regime,high_vol,70,0.019754,0.194157,1.220891,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_quintile,vol_regime,low_vol,42,0.014468,0.154068,1.126851,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_quintile,trend_regime,above_trend,92,0.011705,0.153991,0.912117,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_quintile,trend_regime,below_trend,20,0.045678,0.251069,2.183212,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_quintile,inflation_regime,disinflation,51,0.021738,0.180404,1.445952,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_quintile,inflation_regime,inflation_up,61,0.014455,0.17973,0.965133,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_quintile,rates_regime,rates_down,47,0.026331,0.179075,1.764481,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_quintile,rates_regime,rates_up,65,0.011582,0.178395,0.779087,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_quintile,dollar_regime,dollar_down,53,0.011859,0.165065,0.86213,diagnostic only; not used for selection or weighting
u128:mom_12_1:top_quintile,dollar_regime,dollar_up,59,0.023083,0.191369,1.447421,diagnostic only; not used for selection or weighting
u128:mom_6_1:top_decile,risk_regime,risk_off,15,0.020348,0.21336,1.14445,diagnostic only; not used for selection or weighting
u128:mom_6_1:top_decile,risk_regime,risk_on,103,0.023979,0.197608,1.456185,diagnostic only; not used for selection or weighting
u128:mom_6_1:top_decile,vol_regime,high_vol,70,0.023977,0.219869,1.30862,diagnostic only; not used for selection or weighting
u128:mom_6_1:top_decile,vol_regime,low_vol,43,0.022633,0.170972,1.588545,diagnostic only; not used for selection or weighting
u128:mom_6_1:top_decile,trend_regime,above_trend,96,0.018326,0.181353,1.212604,diagnostic only; not used for selection or weighting
u128:mom_6_1:top_decile,trend_regime,below_trend,20,0.050409,0.258786,2.33748,diagnostic only; not used for selection or weighting
u128:mom_6_1:top_decile,inflation_regime,disinflation,53,0.029276,0.205241,1.711691,diagnostic only; not used for selection or weighting
u128:mom_6_1:top_decile,inflation_regime,inflation_up,65,0.018823,0.193394,1.167965,diagnostic only; not used for selection or weighting
u128:mom_6_1:top_decile,rates_regime,rates_down,49,0.035846,0.205468,2.093521,diagnostic only; not used for selection or weighting
