config,universe,variant,selection,n_periods,ann_return,ann_vol,gross_sharpe,net_sharpe_25bps,max_drawdown,mean_one_sided_turnover,avg_names,hit_rate
u296:mom_6_1:top_decile,u296,mom_6_1,top_decile,113,0.412068,0.248677,1.524473,1.437302,-0.197578,0.360743,27.769912,0.681416
u296:momentum_bucket:top_decile,u296,momentum_bucket,top_decile,113,0.392285,0.245787,1.481135,1.410047,-0.205873,0.289326,27.769912,0.707965
u296:mom_12_1:top_decile,u296,mom_12_1,top_decile,107,0.377954,0.257371,1.384194,1.323078,-0.223179,0.260877,27.700935,0.682243
u296:mom_6_1:top_quintile,u296,mom_6_1,top_quintile,113,0.297728,0.201695,1.404075,1.311942,-0.239224,0.31113,56.141593,0.690265
u296:mom_12_1:top_quintile,u296,mom_12_1,top_quintile,107,0.300091,0.208757,1.371569,1.307215,-0.196698,0.221229,55.981308,0.672897
u128:mom_6_1:top_decile,u128,mom_6_1,top_decile,118,0.297462,0.198765,1.419842,1.305302,-0.173875,0.376412,12.0,0.677966
u296:momentum_bucket:top_quintile,u296,momentum_bucket,top_quintile,113,0.281174,0.19527,1.376592,1.29957,-0.210255,0.248847,56.141593,0.690265
u128:mom_6_1:top_quintile,u128,mom_6_1,top_quintile,118,0.238727,0.163679,1.399755,1.282282,-0.236323,0.317119,25.0,0.694915
u296:mom_riskadj:top_quintile,u296,mom_riskadj,top_quintile,107,0.254921,0.183588,1.337959,1.259946,-0.194838,0.237521,55.981308,0.700935
u296:mom_riskadj:top_decile,u296,mom_riskadj,top_decile,107,0.295477,0.216244,1.313473,1.230076,-0.200174,0.301876,27.700935,0.700935
u128:momentum_bucket:top_quintile,u128,momentum_bucket,top_quintile,118,0.216758,0.168725,1.254323,1.166063,-0.176271,0.245254,25.0,0.652542
u128:momentum_bucket:top_decile,u128,momentum_bucket,top_decile,118,0.25787,0.202926,1.238582,1.149252,-0.205846,0.298023,12.0,0.686441
u128:mom_12_1:top_quintile,u128,mom_12_1,top_quintile,112,0.216521,0.179667,1.186958,1.113146,-0.176031,0.219464,25.0,0.642857
u128:mom_riskadj:top_quintile,u128,mom_riskadj,top_quintile,112,0.192688,0.158363,1.19805,1.107419,-0.167929,0.235893,25.0,0.660714
u128:mom_12_1:top_decile,u128,mom_12_1,top_decile,112,0.263986,0.23053,1.13429,1.062059,-0.201316,0.278274,12.0,0.642857
u128:mom_riskadj:top_decile,u128,mom_riskadj,top_decile,112,0.202905,0.185319,1.094218,0.989805,-0.225517,0.31994,12.0,0.598214
SPY,benchmark,SPY,buy_and_hold,113,0.152282,0.157328,0.984471,0.984471,-0.239272,,,0.699115
equal_weight_universe,benchmark,equal_weight_universe,buy_and_hold,113,0.219391,0.171112,1.253429,1.253429,-0.235055,0.000844,283.375,0.725664
