config,mean_one_sided_turnover,mean_traded_fraction,max_one_sided_turnover,annual_turnover_proxy,avg_names,n_periods
u128:mom_12_1:top_decile,0.278274,0.556548,0.666667,3.339286,12.0,112
u128:mom_12_1:top_quintile,0.219464,0.438929,0.5,2.633571,25.0,112
u128:mom_6_1:top_decile,0.376412,0.752825,0.666667,4.516949,12.0,118
u128:mom_6_1:top_quintile,0.317119,0.634237,0.64,3.805424,25.0,118
u128:mom_riskadj:top_decile,0.31994,0.639881,0.833333,3.839286,12.0,112
u128:mom_riskadj:top_quintile,0.235893,0.471786,0.5,2.830714,25.0,112
u128:momentum_bucket:top_decile,0.298023,0.596045,0.75,3.576271,12.0,118
u128:momentum_bucket:top_quintile,0.245254,0.490508,0.64,2.943051,25.0,118
u296:mom_12_1:top_decile,0.260877,0.521754,0.571429,3.130521,27.700935,107
u296:mom_12_1:top_quintile,0.221229,0.442458,0.5,2.654749,55.981308,107
u296:mom_6_1:top_decile,0.360743,0.721486,0.785714,4.328915,27.769912,113
u296:mom_6_1:top_quintile,0.31113,0.62226,0.631579,3.733558,56.141593,113
u296:mom_riskadj:top_decile,0.301876,0.603753,0.642857,3.622517,27.700935,107
u296:mom_riskadj:top_quintile,0.237521,0.475041,0.5,2.850249,55.981308,107
u296:momentum_bucket:top_decile,0.289326,0.578653,0.607143,3.471916,27.769912,113
u296:momentum_bucket:top_quintile,0.248847,0.497693,0.54386,2.98616,56.141593,113
