config,year,gross_return,net_return_25bps
u128:mom_12_1:top_decile,2017,0.408749,0.384952
u128:mom_12_1:top_decile,2018,0.030281,0.016278
u128:mom_12_1:top_decile,2019,0.261349,0.239395
u128:mom_12_1:top_decile,2020,0.444174,0.421942
u128:mom_12_1:top_decile,2021,0.082832,0.067203
u128:mom_12_1:top_decile,2022,0.001215,-0.016942
u128:mom_12_1:top_decile,2023,0.266717,0.244165
u128:mom_12_1:top_decile,2024,0.384098,0.361787
u128:mom_12_1:top_decile,2025,0.158392,0.138133
u128:mom_12_1:top_decile,2026,0.529542,0.522504
u128:mom_12_1:top_quintile,2017,0.411752,0.393338
u128:mom_12_1:top_quintile,2018,0.006214,-0.004391
u128:mom_12_1:top_quintile,2019,0.224782,0.207562
u128:mom_12_1:top_quintile,2020,0.337346,0.32222
u128:mom_12_1:top_quintile,2021,0.115479,0.100502
u128:mom_12_1:top_quintile,2022,0.035636,0.021181
u128:mom_12_1:top_quintile,2023,0.232832,0.217238
u128:mom_12_1:top_quintile,2024,0.304658,0.286624
u128:mom_12_1:top_quintile,2025,0.155804,0.140132
u128:mom_12_1:top_quintile,2026,0.24665,0.241556
u128:mom_6_1:top_decile,2016,0.127138,0.116113
u128:mom_6_1:top_decile,2017,0.52356,0.495101
u128:mom_6_1:top_decile,2018,0.103034,0.081788
u128:mom_6_1:top_decile,2019,0.302267,0.269292
u128:mom_6_1:top_decile,2020,0.551239,0.525757
u128:mom_6_1:top_decile,2021,0.180206,0.152977
u128:mom_6_1:top_decile,2022,0.159032,0.132552
u128:mom_6_1:top_decile,2023,0.323509,0.290452
u128:mom_6_1:top_decile,2024,0.199132,0.171245
u128:mom_6_1:top_decile,2025,0.198353,0.16968
u128:mom_6_1:top_decile,2026,0.300348,0.289776
u128:mom_6_1:top_quintile,2016,0.126414,0.114634
u128:mom_6_1:top_quintile,2017,0.436316,0.411229
u128:mom_6_1:top_quintile,2018,0.076273,0.057362
u128:mom_6_1:top_quintile,2019,0.195634,0.170197
u128:mom_6_1:top_quintile,2020,0.37106,0.347933
u128:mom_6_1:top_quintile,2021,0.179714,0.15942
u128:mom_6_1:top_quintile,2022,0.026825,0.007704
u128:mom_6_1:top_quintile,2023,0.311708,0.288157
u128:mom_6_1:top_quintile,2024,0.262779,0.236868
u128:mom_6_1:top_quintile,2025,0.208842,0.185626
u128:mom_6_1:top_quintile,2026,0.185574,0.178945
u128:mom_riskadj:top_decile,2017,0.51327,0.484895
u128:mom_riskadj:top_decile,2018,0.001602,-0.017582
u128:mom_riskadj:top_decile,2019,0.21517,0.19344
