ticker,status,n_daily,n_monthly,n_nonpos_close,first,last
A,OK,6687,320,0,1999-11-18 00:00:00,2026-06-23 00:00:00
A-197701,NO_PRICE,0,0,,,
AABA-201910,OK,5909,283,0,1996-04-12 00:00:00,2019-10-02 00:00:00
AAF-197809,NO_PRICE,0,0,,,
AAL,OK,3152,151,0,2013-12-09 00:00:00,2026-06-23 00:00:00
AAL-199702,OK,1806,86,0,1990-01-02 00:00:00,1997-02-21 00:00:00
AAMRQ-201312,OK,6032,288,0,1990-01-02 00:00:00,2013-12-06 00:00:00
AAP,OK,6179,296,0,2001-11-29 00:00:00,2026-06-23 00:00:00
AAPL,OK,9185,438,0,1990-01-02 00:00:00,2026-06-23 00:00:00
AAV-199901,OK,2292,109,0,1990-01-02 00:00:00,1999-01-29 00:00:00
ABA-198612,NO_PRICE,0,0,,,
ABBV,OK,3403,163,0,2012-12-10 00:00:00,2026-06-23 00:00:00
ABC-198601,NO_PRICE,0,0,,,
ABG-199311,OK,956,47,0,1990-01-02 00:00:00,1993-11-05 00:00:00
ABI-200811,OK,4765,227,0,1990-01-02 00:00:00,2008-11-21 00:00:00
ABK-196812,NO_PRICE,0,0,,,
ABKFQ-201304,OK,5494,262,0,1991-07-11 00:00:00,2013-04-30 00:00:00
ABMD-202212,OK,8259,396,0,1990-01-02 00:00:00,2022-12-21 00:00:00
ABNB,OK,1388,67,0,2020-12-10 00:00:00,2026-06-23 00:00:00
ABS-200606,OK,4140,198,0,1990-01-02 00:00:00,2006-06-01 00:00:00
ABT,OK,9185,438,0,1990-01-02 00:00:00,2026-06-23 00:00:00
ACAS-201701,OK,4866,234,0,1997-08-29 00:00:00,2017-01-03 00:00:00
ACF-198406,NO_PRICE,0,0,,,
ACGL,OK,7702,370,0,1995-09-14 00:00:00,2026-06-23 00:00:00
ACJ-196210,NO_PRICE,0,0,,,
ACKH-200712,OK,4522,216,0,1990-01-02 00:00:00,2007-12-12 00:00:00
ACN,OK,6268,300,0,2001-07-19 00:00:00,2026-06-23 00:00:00
ACN-197601,NO_PRICE,0,0,,,
ACR-197006,NO_PRICE,0,0,,,
ACS-197302,NO_PRICE,0,0,,,
ACS-201002,OK,3862,186,0,1994-09-27 00:00:00,2010-02-05 00:00:00
ACV-201105,OK,5384,257,0,1990-01-02 00:00:00,2011-05-10 00:00:00
ACY-199411,OK,1239,59,0,1990-01-02 00:00:00,1994-11-22 00:00:00
AD-198606,NO_PRICE,0,0,,,
ADBE,OK,9185,438,0,1990-01-02 00:00:00,2026-06-23 00:00:00
ADCT-201012,OK,5280,252,0,1990-01-02 00:00:00,2010-12-09 00:00:00
ADI,OK,9185,438,0,1990-01-02 00:00:00,2026-06-23 00:00:00
ADL-197404,NO_PRICE,0,0,,,
ADM,OK,9185,438,0,1990-01-02 00:00:00,2026-06-23 00:00:00
ADP,OK,9185,438,0,1990-01-02 00:00:00,2026-06-23 00:00:00
ADSK,OK,9185,438,0,1990-01-02 00:00:00,2026-06-23 00:00:00
ADT-201604,OK,910,44,0,2012-09-17 00:00:00,2016-04-29 00:00:00
AEE,OK,9185,438,0,1990-01-02 00:00:00,2026-06-23 00:00:00
AEP,OK,9185,438,0,1990-01-02 00:00:00,2026-06-23 00:00:00
AES,OK,8810,421,0,1991-06-26 00:00:00,2026-06-23 00:00:00
AET-201811,OK,7286,347,0,1990-01-02 00:00:00,2018-11-28 00:00:00
AEX-196502,NO_PRICE,0,0,,,
AFL,OK,9185,438,0,1990-01-02 00:00:00,2026-06-23 00:00:00
AFN-198410,NO_PRICE,0,0,,,
