experiment_id,owning_agent,family,score_key,quantile,gate,status,n_periods,avg_names,one_sided_turnover,gross_sharpe,gross_ann_return,net_sharpe_25bps,net_ann_return_25bps,net_max_drawdown_25bps,net_hit_rate_25bps,spy_sharpe,ew_universe_sharpe,placebo_net_sharpe_25bps,net_sharpe_minus_spy,net_sharpe_minus_ew,net_sharpe_minus_placebo,leakage_check,reason
EXP01,momentum-signal-agent,momentum,mom_12_1,top_decile,,REJECTED,425,50.24,0.2957,0.829855,0.149364,0.736625,0.129336,-0.567202,0.607059,0.769587,0.775004,0.419051,-0.032962,-0.038379,0.317574,PASS_NO_LOOKAHEAD,underperforms SPY (net Sharpe 0.736625 <= SPY 0.769587)
EXP03,momentum-signal-agent,momentum,mom_6_1,top_decile,,REJECTED,431,50.3,0.432,0.740136,0.12767,0.601101,0.099019,-0.594917,0.596288,0.769587,0.753211,0.469511,-0.168486,-0.15211,0.13159,PASS_NO_LOOKAHEAD,underperforms SPY (net Sharpe 0.601101 <= SPY 0.769587)
EXP04,momentum-signal-agent,momentum,mom_6_1,top_quintile,,REJECTED,431,100.29,0.3627,0.740491,0.114193,0.608758,0.090369,-0.554753,0.61949,0.769587,0.753211,0.503726,-0.160829,-0.144453,0.105032,PASS_NO_LOOKAHEAD,underperforms SPY (net Sharpe 0.608758 <= SPY 0.769587)
EXP05,momentum-signal-agent,momentum,mom_3,top_decile,,REJECTED,434,50.32,0.5434,0.75907,0.125357,0.574512,0.089509,-0.57644,0.587558,0.769587,0.756629,0.501816,-0.195075,-0.182117,0.072696,PASS_NO_LOOKAHEAD,underperforms SPY (net Sharpe 0.574512 <= SPY 0.769587)
EXP06,momentum-signal-agent,momentum,mom_3,top_quintile,,REJECTED,434,100.32,0.4617,0.808434,0.120811,0.631898,0.090407,-0.530461,0.601382,0.769587,0.756629,0.485148,-0.137689,-0.124731,0.14675,PASS_NO_LOOKAHEAD,underperforms SPY (net Sharpe 0.631898 <= SPY 0.769587)
EXP07,reversal-signal-agent,reversal,rev_losers,top_decile,,REJECTED,436,50.33,0.8517,0.439298,0.083033,0.244346,0.029185,-0.814988,0.568807,0.769587,0.752178,0.404429,-0.525241,-0.507832,-0.160083,PASS_NO_LOOKAHEAD,underperforms SPY (net Sharpe 0.244346 <= SPY 0.769587)
EXP08,reversal-signal-agent,reversal,rev_losers,top_quintile,,REJECTED,436,100.33,0.7745,0.55874,0.104843,0.352563,0.054891,-0.754439,0.584862,0.769587,0.752178,0.461135,-0.417024,-0.399615,-0.108572,PASS_NO_LOOKAHEAD,underperforms SPY (net Sharpe 0.352563 <= SPY 0.769587)
EXP09,reversal-signal-agent,reversal,rev_winners,top_decile,,REJECTED,436,50.33,0.8794,0.637383,0.106597,0.354494,0.049982,-0.638444,0.56422,0.769587,0.752178,0.401598,-0.415093,-0.397684,-0.047104,PASS_NO_LOOKAHEAD,underperforms SPY (net Sharpe 0.354494 <= SPY 0.769587)
EXP10,volatility-liquidity-agent,volatility_liquidity,vol_adj_mom,top_decile,,REJECTED,425,50.24,0.3097,0.831561,0.131388,0.719588,0.11074,-0.54357,0.630588,0.769587,0.775004,0.430107,-0.049999,-0.055416,0.289481,PASS_NO_LOOKAHEAD,underperforms SPY (net Sharpe 0.719588 <= SPY 0.769587)
EXP12,volatility-liquidity-agent,volatility_liquidity,mom_12_1,top_decile,liq_gate,REJECTED,425,35.0,0.3266,0.837574,0.164503,0.743238,0.142111,-0.566796,0.595294,0.769587,0.775004,0.400879,-0.026349,-0.031766,0.342359,PASS_NO_LOOKAHEAD,underperforms SPY (net Sharpe 0.743238 <= SPY 0.769587)
