setup_id,cycle,family,owning_agent,driver,cohort,is_challenge,horizon,status,n_events,n_recent_events,n_matched_control,base_rate,triggered_mean,control_mean,lift_vs_control,lift_vs_base_rate,hit_rate,control_hit_rate,hit_rate_lift_pp,payoff_ratio,ev_after_25bps,worst_decile_mean,recent_lift_vs_control,max_year_fraction,max_sector_fraction,max_ticker_fraction,reason
S8E-001,1,macro_shock_x_sensitivity,macro-cross-asset-agent,oil,cohort_oil_pos,False,20,REJECTED,10490,6210,3688,0.00042,-0.00645,0.000389,-0.002909,-0.00687,0.448141,0.49325,-0.045109,1.020913,-0.01145,-0.167452,-0.004967,0.095901,0.33041,0.011249,non-positive EV after 25bps (-0.01145)
S8E-002,1,macro_shock_x_sensitivity,macro-cross-asset-agent,oil,cohort_oil_neg,False,20,REJECTED,11120,6248,5616,0.00042,-0.006135,-0.010353,0.003551,-0.006555,0.48723,0.495195,-0.007965,0.843958,-0.011135,-0.15363,-0.002003,0.132734,0.192086,0.010072,non-positive EV after 25bps (-0.011135)
S8E-010,1,macro_shock_x_sensitivity,macro-cross-asset-agent,rates,cohort_rates_pos,False,20,REJECTED,12570,6922,4391,0.00042,-0.00399,0.000982,-0.002223,-0.004409,0.455529,0.492864,-0.037335,1.010908,-0.00899,-0.114988,-0.001179,0.081941,0.248051,0.011058,non-positive EV after 25bps (-0.00899)
S8E-020,1,macro_shock_x_sensitivity,macro-cross-asset-agent,credit,cohort_low_beta,False,10,REJECTED,9688,5917,2852,0.000236,0.000661,0.001856,-0.002868,0.000424,0.514967,0.493866,0.021101,0.980098,-0.004339,-0.083456,-0.004142,0.154108,0.269509,0.012283,non-positive EV after 25bps (-0.004339)
S8E-030,1,macro_shock_x_sensitivity,macro-cross-asset-agent,vix,cohort_low_beta,False,10,REJECTED,14877,4406,5060,0.000236,0.001435,0.000696,-0.000198,0.001198,0.499899,0.493866,0.006033,1.08655,-0.003565,-0.083093,-0.0019,0.051959,0.234994,0.010957,non-positive EV after 25bps (-0.003565)
S8E-031,1,macro_shock_x_sensitivity,macro-cross-asset-agent,vix,cohort_vol_spike_sens,False,20,REJECTED,16469,5192,7643,0.00042,-0.00375,-0.004964,0.000359,-0.004169,0.48904,0.492001,-0.002961,0.957116,-0.00875,-0.235824,0.003455,0.049791,0.290728,0.007529,non-positive EV after 25bps (-0.00875)
S8E-040,1,macro_shock_x_sensitivity,macro-cross-asset-agent,market,cohort_high_beta,False,10,REJECTED,9926,2997,4354,0.000236,0.00192,0.002514,-0.000151,0.001684,0.505642,0.492338,0.013304,1.029682,-0.00308,-0.198976,-0.002759,0.061153,0.322386,0.010175,non-positive EV after 25bps (-0.00308)
S8E-050,1,macro_shock_x_sensitivity,macro-cross-asset-agent,usd,cohort_usd_pos,False,20,REJECTED,9730,5440,4737,0.00042,-0.001095,-0.0035,0.003419,-0.001514,0.505858,0.492938,0.012921,0.938656,-0.006095,-0.149398,0.007391,0.139568,0.20483,0.006886,non-positive EV after 25bps (-0.006095)
S8E-051,1,macro_shock_x_sensitivity,macro-cross-asset-agent,usd,cohort_usd_neg,False,20,REJECTED,7492,4794,3416,0.00042,-0.007052,-0.006265,-0.002046,-0.007471,0.457021,0.494331,-0.03731,0.952832,-0.012052,-0.159893,-0.00765,0.091164,0.149226,0.010545,non-positive EV after 25bps (-0.012052)
S8E-060,1,macro_shock_x_sensitivity,macro-cross-asset-agent,commodity,cohort_oil_pos,False,20,REJECTED,13146,7965,4555,0.00042,-0.005555,-0.000491,-0.000184,-0.005975,0.458695,0.49325,-0.034555,1.005294,-0.010555,-0.167716,-0.004439,0.098813,0.339723,0.012171,non-positive EV after 25bps (-0.010555)
