family,path,exists,size_bytes,n_data_rows,populated,header_sample,note
macro_cross_asset,C:/Users/binis/Stock_Prediction_app_push/research/input/macro_cpi_us.csv,True,17687,953,True,"observation_date,CPIAUCSL",FRED CPI (CPIAUCSL) monthly
macro_cross_asset,C:/Users/binis/Stock_Prediction_app_push/research/input/macro_oil_wti.csv,True,178143,10553,True,"observation_date,DCOILWTICO",FRED WTI crude (DCOILWTICO) daily
macro_cross_asset,C:/Users/binis/Stock_Prediction_app_push/research/input/macro_dollar_index.csv,True,102961,5335,True,"observation_date,DTWEXBGS",FRED broad USD index (DTWEXBGS) daily
macro_cross_asset,C:/Users/binis/Stock_Prediction_app_push/research/input/macro_fed_funds.csv,True,13895,863,True,"observation_date,FEDFUNDS",FRED fed funds (FEDFUNDS) monthly
macro_cross_asset,C:/Users/binis/Stock_Prediction_app_push/research/input/macro_treasury_yields.csv,True,335719,16817,True,"observation_date,DGS10,DGS2",FRED DGS10/DGS2 daily yields
sector_industry,C:/Users/binis/Stock_Prediction_app_push/research/input/phase2k_p_sector_map_current.csv,True,23307,128,True,"ticker,sector,industry,source,as_of_date,point_in_time,notes",current-as-of sector map (NOT PIT)
fundamentals_pit,C:/Users/binis/Stock_Prediction_app_push/research/data/simfin/us-income-quarterly.csv,True,10323076,47630,True,"Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Adm",SimFin quarterly income statement
fundamentals_pit,C:/Users/binis/Stock_Prediction_app_push/research/data/simfin/us-balance-quarterly.csv,True,11814717,47634,True,"Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Cash, Cash Equivalents & Short Term Investments;Accounts & Notes Receivable;In",SimFin quarterly balance sheet
fundamentals_pit,D:/Stock_Prediction_app_data/phase7j_broad_universe_signal_retest/broad_fundamentals.csv,True,63976605,>1e6 (large),True,,"SEC EDGAR normalized fundamentals (PIT, filing-dated)"
global_etf_intake,C:/Users/binis/Stock_Prediction_app_push/research/input/global_assets/manual/manual_global_etf_price_template.csv,True,167,2,True,"ticker,date,open,high,low,close,adjusted_close,volume",manual global-ETF intake template (superseded by Norgate proxies)
