exp_id,cycle,family,agent,kind,is_challenge,needs_provider,external_driver,cohort,status,n_events,n_recent_events,lift_vs_control,ev_after_25bps,worst_decile_mean,recent_lift_vs_control,hit_rate,reason
S8E-001,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,signal_test,False,False,oil,cohort_oil_pos,REJECTED,10490,6210,-0.002909,-0.01145,-0.167452,-0.004967,0.448141,non-positive EV after 25bps (-0.01145)
S8E-002,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,signal_test,False,False,oil,cohort_oil_neg,REJECTED,11120,6248,0.003551,-0.011135,-0.15363,-0.002003,0.48723,non-positive EV after 25bps (-0.011135)
S8E-010,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,signal_test,False,False,rates,cohort_rates_pos,REJECTED,12570,6922,-0.002223,-0.00899,-0.114988,-0.001179,0.455529,non-positive EV after 25bps (-0.00899)
S8E-011,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,signal_test,False,False,rates,cohort_rates_neg,PROMISING_BUT_UNCONFIRMED,11881,6320,0.004035,0.001276,-0.157763,0.003413,0.523272,"positive but misses: portfolio_beats_spy_and_cash_active, worst_decile_not_catastrophic"
S8E-020,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,signal_test,False,False,credit,cohort_low_beta,REJECTED,9688,5917,-0.002868,-0.004339,-0.083456,-0.004142,0.514967,non-positive EV after 25bps (-0.004339)
S8E-030,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,signal_test,False,False,vix,cohort_low_beta,REJECTED,14877,4406,-0.000198,-0.003565,-0.083093,-0.0019,0.499899,non-positive EV after 25bps (-0.003565)
S8E-031,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,signal_test,False,False,vix,cohort_vol_spike_sens,REJECTED,16469,5192,0.000359,-0.00875,-0.235824,0.003455,0.48904,non-positive EV after 25bps (-0.00875)
S8E-040,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,signal_test,False,False,market,cohort_high_beta,REJECTED,9926,2997,-0.000151,-0.00308,-0.198976,-0.002759,0.505642,non-positive EV after 25bps (-0.00308)
S8E-050,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,signal_test,False,False,usd,cohort_usd_pos,REJECTED,9730,5440,0.003419,-0.006095,-0.149398,0.007391,0.505858,non-positive EV after 25bps (-0.006095)
S8E-051,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,signal_test,False,False,usd,cohort_usd_neg,REJECTED,7492,4794,-0.002046,-0.012052,-0.159893,-0.00765,0.457021,non-positive EV after 25bps (-0.012052)
S8E-060,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,signal_test,False,False,commodity,cohort_oil_pos,REJECTED,13146,7965,-0.000184,-0.010555,-0.167716,-0.004439,0.458695,non-positive EV after 25bps (-0.010555)
S8E-070,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,signal_test,False,False,sector,cohort_sector_lead,REJECTED,33723,15351,0.002532,-0.000937,-0.159853,0.003629,0.500341,non-positive EV after 25bps (-0.000937)
S8E-901,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,validation,True,False,oil,cohort_oil_neg,REJECTED,9125,5278,-0.00137,-0.007696,-0.123005,0.002625,0.473425,challenge/placebo control (diagnostic; never promoted)
S8E-902,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,validation,True,False,rates,cohort_rates_neg,REJECTED,7480,3714,-0.00194,-0.004817,-0.150574,-0.006052,0.488904,challenge/placebo control (diagnostic; never promoted)
S8E-903,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,validation,True,False,vix,cohort_high_beta,REJECTED,12044,3506,0.000938,-0.003046,-0.118356,0.004223,0.51179,challenge/placebo control (diagnostic; never promoted)
S8E-910,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,validation,True,False,oil,,REJECTED,48400,28163,-0.004258,-0.007528,-0.137237,-0.004467,0.474029,challenge/placebo control (diagnostic; never promoted)
