event_timestamp,point_in_time_available_at,ticker,fiscal_period,estimate_type,old_value,new_value,revision_direction,revision_magnitude,analyst_count,consensus_change,provider_id,raw_payload_path
1996-07-17,1996-07-17,AAPL,1996-06-30,eps_surprise_acceleration_proxy,,,up,90.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1996-10-16,1996-10-16,AAPL,1996-09-30,eps_surprise_acceleration_proxy,,,up,68.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1997-01-15,1997-01-15,AAPL,1996-12-31,eps_surprise_acceleration_proxy,,,down,-168.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1997-04-16,1997-04-16,AAPL,1997-03-31,eps_surprise_acceleration_proxy,,,up,25.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1997-07-16,1997-07-16,AAPL,1997-06-30,eps_surprise_acceleration_proxy,,,up,25.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1998-01-14,1998-01-14,AAPL,1997-12-31,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1998-04-15,1998-04-15,AAPL,1998-03-31,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1998-07-15,1998-07-15,AAPL,1998-06-30,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1998-10-14,1998-10-14,AAPL,1998-09-30,eps_surprise_acceleration_proxy,,,down,-50.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1999-01-13,1999-01-13,AAPL,1998-12-31,eps_surprise_acceleration_proxy,,,up,50.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1999-04-14,1999-04-14,AAPL,1999-03-31,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1999-07-14,1999-07-14,AAPL,1999-06-30,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1999-10-13,1999-10-13,AAPL,1999-09-30,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2000-01-19,2000-01-19,AAPL,1999-12-31,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2000-04-19,2000-04-19,AAPL,2000-03-31,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2000-07-18,2000-07-18,AAPL,2000-06-30,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2000-10-18,2000-10-18,AAPL,2000-09-30,eps_surprise_acceleration_proxy,,,down,-50.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2001-01-17,2001-01-17,AAPL,2000-12-31,eps_surprise_acceleration_proxy,,,up,50.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2002-01-16,2002-01-16,AAPL,2001-12-31,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2002-07-16,2002-07-16,AAPL,2002-06-30,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2004-01-14,2004-01-14,AAPL,2003-12-31,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2004-04-14,2004-04-14,AAPL,2004-03-31,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2004-07-14,2004-07-14,AAPL,2004-06-30,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2004-10-13,2004-10-13,AAPL,2004-09-30,eps_surprise_acceleration_proxy,,,up,100.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2005-01-12,2005-01-12,AAPL,2004-12-31,eps_surprise_acceleration_proxy,,,down,-100.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2005-04-13,2005-04-13,AAPL,2005-03-31,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2005-07-13,2005-07-13,AAPL,2005-06-30,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2005-10-11,2005-10-11,AAPL,2005-09-30,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2006-01-18,2006-01-18,AAPL,2005-12-31,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2006-04-19,2006-04-19,AAPL,2006-03-31,eps_surprise_acceleration_proxy,,,up,100.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2006-07-19,2006-07-19,AAPL,2006-06-30,eps_surprise_acceleration_proxy,,,down,-100.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2006-10-18,2006-10-18,AAPL,2006-09-30,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2007-01-17,2007-01-17,AAPL,2006-12-31,eps_surprise_acceleration_proxy,,,up,33.3333,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2007-04-25,2007-04-25,AAPL,2007-03-31,eps_surprise_acceleration_proxy,,,up,16.6667,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2007-07-25,2007-07-25,AAPL,2007-06-30,eps_surprise_acceleration_proxy,,,down,-50.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2007-10-22,2007-10-22,AAPL,2007-09-30,eps_surprise_acceleration_proxy,,,up,33.3333,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2008-01-22,2008-01-22,AAPL,2007-12-31,eps_surprise_acceleration_proxy,,,down,-33.3333,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2008-04-23,2008-04-23,AAPL,2008-03-31,eps_surprise_acceleration_proxy,,,up,13.3333,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2008-07-21,2008-07-21,AAPL,2008-06-30,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
