candidate_id,family,agent,driver,cohort,is_challenge,real_external_data,needs_provider,signal_status,ext_promotion,alpha_promotion,provider_limited,n_events,n_recent_events,lift_vs_control,ev_after_25bps,worst_decile_mean,recent_lift_vs_control,prior_known_lead,reason
S8G-C20,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_surprise_sensitive,False,True,False,REJECTED,REJECTED,REJECTED,False,2127,812,-0.001178,-0.00592,-0.136367,-0.004109,False,non-positive EV after 25bps (-0.00592)
S8G-C05,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_surprise_sensitive,False,True,False,REJECTED,REJECTED,REJECTED,False,723,269,0.003655,-0.00418,-0.069394,0.001663,False,"insufficient events (total=723, recent=269)"
S8G-C60,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_surprise_sensitive,False,True,False,REJECTED,REJECTED,REJECTED,False,2104,796,-5.3e-05,-0.00223,-0.225899,-0.003192,False,non-positive EV after 25bps (-0.00223)
S8G-B20,B_analyst_revision_x_sensitivity,analyst-revision-agent,analyst_revision_proxy,cohort_surprise_sensitive,False,True,False,REJECTED,REJECTED,REJECTED,False,1345,487,0.001575,-0.003787,-0.132703,-0.001846,False,non-positive EV after 25bps (-0.003787)
S8G-F20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,rates,cohort_rates_neg,False,True,False,REJECTED,PROMISING_EXTERNAL_SIGNAL,PROMISING_ALPHA_SIGNAL,True,692,394,0.005328,0.003779,-0.155446,0.004877,True,"insufficient events (total=692, recent=394)"
S8G-H20,H_sec_filings_x_sensitivity,earnings-event-agent,sec_filing,cohort_filing_active,False,True,False,REJECTED,REJECTED,REJECTED,False,2728,1125,-0.001277,-0.006409,-0.149648,-0.000667,False,non-positive EV after 25bps (-0.006409)
S8G-901,C_earnings_surprise_x_sensitivity,validation-skeptic-agent,earnings_surprise,,True,True,False,REJECTED,REJECTED,REJECTED,False,6051,1952,0.001933,-0.003273,-0.141688,-2.2e-05,False,challenge/placebo control (diagnostic; never promoted)
S8G-902,C_earnings_surprise_x_sensitivity,validation-skeptic-agent,earnings_surprise,cohort_surprise_sensitive,True,True,False,REJECTED,REJECTED,REJECTED,False,440,178,0.003752,-3.2e-05,-0.158847,0.003656,False,challenge/placebo control (diagnostic; never promoted)
S8G-903,F_s8e011_plus_external_confirmation,validation-skeptic-agent,rates,,True,True,False,REJECTED,REJECTED,REJECTED,False,2974,1557,-0.000275,-0.003945,-0.131049,0.00144,False,challenge/placebo control (diagnostic; never promoted)
S8G-A01,A_news_sentiment_x_sensitivity,news-sentiment-agent,news_sentiment,sentiment_sensitive,False,False,True,NEEDS_PROVIDER_DATA,NEEDS_PROVIDER_DATA,PROVIDER_REQUIRED,False,,,,,,,False,no local data and no provider key; executable adapter + schema + command ready
S8G-D01,D_options_iv_x_sensitivity,options-signal-agent,options_iv,options_informative,False,False,True,NEEDS_PROVIDER_DATA,NEEDS_PROVIDER_DATA,PROVIDER_REQUIRED,False,,,,,,,False,no local data and no provider key; executable adapter + schema + command ready
S8G-E01,E_short_interest_x_sensitivity,short-interest-agent,short_interest,squeeze_sensitive,False,False,True,NEEDS_PROVIDER_DATA,NEEDS_PROVIDER_DATA,PROVIDER_REQUIRED,False,,,,,,,False,no local data and no provider key; executable adapter + schema + command ready
S8E-001,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,oil,cohort_oil_pos,False,True,False,REJECTED,REJECTED,REJECTED,False,10490,6210,-0.002909,-0.01145,-0.167452,-0.004967,False,non-positive EV after 25bps (-0.01145)
S8E-002,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,oil,cohort_oil_neg,False,True,False,REJECTED,REJECTED,REJECTED,False,11120,6248,0.003551,-0.011135,-0.15363,-0.002003,False,non-positive EV after 25bps (-0.011135)
S8E-010,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,rates,cohort_rates_pos,False,True,False,REJECTED,REJECTED,REJECTED,False,12570,6922,-0.002223,-0.00899,-0.114988,-0.001179,False,non-positive EV after 25bps (-0.00899)
S8E-011,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,rates,cohort_rates_neg,False,True,False,PROMISING_BUT_UNCONFIRMED,PROMISING_EXTERNAL_SIGNAL,PROMISING_ALPHA_SIGNAL,False,11881,6320,0.004035,0.001276,-0.157763,0.003413,False,"positive but misses: portfolio_beats_spy_and_cash_active, worst_decile_not_catastrophic"
S8E-020,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,credit,cohort_low_beta,False,True,False,REJECTED,REJECTED,REJECTED,False,9688,5917,-0.002868,-0.004339,-0.083456,-0.004142,False,non-positive EV after 25bps (-0.004339)
S8E-030,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,vix,cohort_low_beta,False,True,False,REJECTED,REJECTED,REJECTED,False,14877,4406,-0.000198,-0.003565,-0.083093,-0.0019,False,non-positive EV after 25bps (-0.003565)
