exp_id,cycle,family,agent,driver,cohort,is_challenge,real_external_data,needs_provider,status,promotion,n_events,n_recent_events,lift_vs_control,ev_after_25bps,worst_decile_mean,recent_lift_vs_control,hit_rate,reason,alpha_promotion,provider_limited
S8G-C20,1,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_surprise_sensitive,False,True,False,REJECTED,REJECTED,2127,812,-0.001178,-0.00592,-0.136367,-0.004109,0.496004,non-positive EV after 25bps (-0.00592),REJECTED,False
S8G-C05,1,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_surprise_sensitive,False,True,False,REJECTED,REJECTED,723,269,0.003655,-0.00418,-0.069394,0.001663,0.500692,"insufficient events (total=723, recent=269)",REJECTED,False
S8G-C60,1,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_surprise_sensitive,False,True,False,REJECTED,REJECTED,2104,796,-5.3e-05,-0.00223,-0.225899,-0.003192,0.492871,non-positive EV after 25bps (-0.00223),REJECTED,False
S8G-B20,1,B_analyst_revision_x_sensitivity,analyst-revision-agent,analyst_revision_proxy,cohort_surprise_sensitive,False,True,False,REJECTED,REJECTED,1345,487,0.001575,-0.003787,-0.132703,-0.001846,0.510037,non-positive EV after 25bps (-0.003787),REJECTED,False
S8G-H20,1,H_sec_filings_x_sensitivity,earnings-event-agent,sec_filing,cohort_filing_active,False,True,False,REJECTED,REJECTED,2728,1125,-0.001277,-0.006409,-0.149648,-0.000667,0.491202,non-positive EV after 25bps (-0.006409),REJECTED,False
S8E-001,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,oil,cohort_oil_pos,False,True,False,REJECTED,REJECTED,10490,6210,-0.002909,-0.01145,-0.167452,-0.004967,0.448141,non-positive EV after 25bps (-0.01145),REJECTED,False
S8E-002,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,oil,cohort_oil_neg,False,True,False,REJECTED,REJECTED,11120,6248,0.003551,-0.011135,-0.15363,-0.002003,0.48723,non-positive EV after 25bps (-0.011135),REJECTED,False
S8E-010,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,rates,cohort_rates_pos,False,True,False,REJECTED,REJECTED,12570,6922,-0.002223,-0.00899,-0.114988,-0.001179,0.455529,non-positive EV after 25bps (-0.00899),REJECTED,False
S8E-020,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,credit,cohort_low_beta,False,True,False,REJECTED,REJECTED,9688,5917,-0.002868,-0.004339,-0.083456,-0.004142,0.514967,non-positive EV after 25bps (-0.004339),REJECTED,False
S8E-030,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,vix,cohort_low_beta,False,True,False,REJECTED,REJECTED,14877,4406,-0.000198,-0.003565,-0.083093,-0.0019,0.499899,non-positive EV after 25bps (-0.003565),REJECTED,False
S8E-031,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,vix,cohort_vol_spike_sens,False,True,False,REJECTED,REJECTED,16469,5192,0.000359,-0.00875,-0.235824,0.003455,0.48904,non-positive EV after 25bps (-0.00875),REJECTED,False
S8E-040,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,market,cohort_high_beta,False,True,False,REJECTED,REJECTED,9926,2997,-0.000151,-0.00308,-0.198976,-0.002759,0.505642,non-positive EV after 25bps (-0.00308),REJECTED,False
S8E-050,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,usd,cohort_usd_pos,False,True,False,REJECTED,REJECTED,9730,5440,0.003419,-0.006095,-0.149398,0.007391,0.505858,non-positive EV after 25bps (-0.006095),REJECTED,False
S8E-051,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,usd,cohort_usd_neg,False,True,False,REJECTED,REJECTED,7492,4794,-0.002046,-0.012052,-0.159893,-0.00765,0.457021,non-positive EV after 25bps (-0.012052),REJECTED,False
