exp_id,family,owning_agent,owning_role,is_challenge,state,cycle_assigned
S8J-RATES-MACRO-20,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,macro-sensitivity-agent,False,SCORED,1
S8J-RATES-EARNCONF-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,macro-sensitivity-agent,False,SCORED,1
S8J-CH-EARN-NOCOHORT-20,C_earnings_surprise_x_sensitivity,validation-skeptic-agent,earnings-catalyst-agent,True,SCORED,1
S8J-RATES-EARNPOS-20,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings-catalyst-agent,False,SCORED,1
S8J-RATES-SECLEAD-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,macro-sensitivity-agent,False,SCORED,1
S8J-CH-EARN-NEG-20,C_earnings_surprise_x_sensitivity,validation-skeptic-agent,earnings-catalyst-agent,True,SCORED,1
S8J-OIL-POS-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,macro-sensitivity-agent,False,SCORED,1
S8J-OIL-SECLEAD-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,macro-sensitivity-agent,False,SCORED,1
S8J-CH-EARN-SECLEAD-NEG-20,C_earnings_surprise_x_sensitivity,validation-skeptic-agent,earnings-catalyst-agent,True,SCORED,1
S8J-USD-NEG-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,macro-sensitivity-agent,False,SCORED,1
S8J-USD-SECLEAD-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,macro-sensitivity-agent,False,SCORED,1
S8J-CH-RATES-NOCOHORT-20,F_s8e011_plus_external_confirmation,validation-skeptic-agent,macro-sensitivity-agent,True,SCORED,1
S8J-CREDIT-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,macro-sensitivity-agent,False,QUEUED,
S8J-CREDIT-DEF-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,macro-sensitivity-agent,False,QUEUED,
S8J-CH-OIL-WRONGCOH-20,F_s8e011_plus_external_confirmation,validation-skeptic-agent,macro-sensitivity-agent,True,QUEUED,
S8J-VIX-VOLSENS-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,macro-sensitivity-agent,False,QUEUED,
S8J-VIX-HIGHBETA-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,macro-sensitivity-agent,False,QUEUED,
S8J-CH-USD-NOCOHORT-20,F_s8e011_plus_external_confirmation,validation-skeptic-agent,macro-sensitivity-agent,True,QUEUED,
S8J-EARN-SECLEAD-20,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings-catalyst-agent,False,QUEUED,
S8J-EARN-SECLEAD-10,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings-catalyst-agent,False,QUEUED,
S8J-CH-VIX-NOCOHORT-20,F_s8e011_plus_external_confirmation,validation-skeptic-agent,macro-sensitivity-agent,True,QUEUED,
S8J-EARN-HIGHBETA-20,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings-catalyst-agent,False,QUEUED,
S8J-EARN-LOWBETA-20,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings-catalyst-agent,False,QUEUED,
S8J-CH-CREDIT-NOCOHORT-20,F_s8e011_plus_external_confirmation,validation-skeptic-agent,macro-sensitivity-agent,True,QUEUED,
S8J-EARN-VOLSENS-20,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings-catalyst-agent,False,QUEUED,
S8J-EARN-RATESUP-20,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings-catalyst-agent,False,QUEUED,
S8J-CH-REV-NOCOHORT-20,B_analyst_revision_x_sensitivity,validation-skeptic-agent,analyst-revision-agent,True,QUEUED,
S8J-EARN-LARGE-SENS-10,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings-catalyst-agent,False,QUEUED,
S8J-FILING-SECLEAD-20,H_sec_filings_x_sensitivity,earnings-event-agent,earnings-catalyst-agent,False,QUEUED,
S8J-CH-FILING-NOCOHORT-20,H_sec_filings_x_sensitivity,validation-skeptic-agent,earnings-catalyst-agent,True,QUEUED,
S8J-FILING-HIGHBETA-20,H_sec_filings_x_sensitivity,earnings-event-agent,earnings-catalyst-agent,False,QUEUED,
S8J-REV-RATES-20,B_analyst_revision_x_sensitivity,analyst-revision-agent,analyst-revision-agent,False,QUEUED,
S8J-REV-SECLEAD-20,B_analyst_revision_x_sensitivity,analyst-revision-agent,analyst-revision-agent,False,QUEUED,
