rank,endpoint_family,mandatory_family,critical,in_bounded_queue,catalog_endpoint,mapping_status,ticker,attempted_url_redacted
0,earnings_surprises,broad_earnings_surprise,True,True,earnings_surprises,mapped_in_client,AAPL,https://financialmodelingprep.com/stable/earnings?symbol=AAPL&<API_KEY_REDACTED>
0,earnings_surprises,broad_earnings_surprise,True,True,earnings_surprises,mapped_in_client,MSFT,https://financialmodelingprep.com/stable/earnings?symbol=MSFT&<API_KEY_REDACTED>
0,earnings_surprises,broad_earnings_surprise,True,True,earnings_surprises,mapped_in_client,NVDA,https://financialmodelingprep.com/stable/earnings?symbol=NVDA&<API_KEY_REDACTED>
1,earnings_calendar,earnings_calendar,True,True,earnings_calendar,mapped_in_client,AAPL,https://financialmodelingprep.com/stable/earnings?symbol=AAPL&<API_KEY_REDACTED>
1,earnings_calendar,earnings_calendar,True,True,earnings_calendar,mapped_in_client,MSFT,https://financialmodelingprep.com/stable/earnings?symbol=MSFT&<API_KEY_REDACTED>
1,earnings_calendar,earnings_calendar,True,True,earnings_calendar,mapped_in_client,NVDA,https://financialmodelingprep.com/stable/earnings?symbol=NVDA&<API_KEY_REDACTED>
2,analyst_estimates,analyst_estimates,True,True,analyst_estimates,mapped_in_client,AAPL,https://financialmodelingprep.com/stable/analyst-estimates?symbol=AAPL&period=annual&<API_KEY_REDACTED>
2,analyst_estimates,analyst_estimates,True,True,analyst_estimates,mapped_in_client,MSFT,https://financialmodelingprep.com/stable/analyst-estimates?symbol=MSFT&period=annual&<API_KEY_REDACTED>
2,analyst_estimates,analyst_estimates,True,True,analyst_estimates,mapped_in_client,NVDA,https://financialmodelingprep.com/stable/analyst-estimates?symbol=NVDA&period=annual&<API_KEY_REDACTED>
3,analyst_recommendations,analyst_recommendations,True,True,analyst_recommendations,mapped_in_client,AAPL,https://financialmodelingprep.com/stable/grades?symbol=AAPL&<API_KEY_REDACTED>
3,analyst_recommendations,analyst_recommendations,True,True,analyst_recommendations,mapped_in_client,MSFT,https://financialmodelingprep.com/stable/grades?symbol=MSFT&<API_KEY_REDACTED>
3,analyst_recommendations,analyst_recommendations,True,True,analyst_recommendations,mapped_in_client,NVDA,https://financialmodelingprep.com/stable/grades?symbol=NVDA&<API_KEY_REDACTED>
4,analyst_price_targets,analyst_price_targets,True,True,analyst_price_targets,mapped_in_client,AAPL,https://financialmodelingprep.com/stable/price-target-summary?symbol=AAPL&<API_KEY_REDACTED>
4,analyst_price_targets,analyst_price_targets,True,True,analyst_price_targets,mapped_in_client,MSFT,https://financialmodelingprep.com/stable/price-target-summary?symbol=MSFT&<API_KEY_REDACTED>
4,analyst_price_targets,analyst_price_targets,True,True,analyst_price_targets,mapped_in_client,NVDA,https://financialmodelingprep.com/stable/price-target-summary?symbol=NVDA&<API_KEY_REDACTED>
5,ratings_grades_consensus,ratings_or_grades,True,True,(probe_adapter),probe_adapter_added,AAPL,https://financialmodelingprep.com/stable/grades-consensus?symbol=AAPL&<API_KEY_REDACTED>
5,ratings_grades_consensus,ratings_or_grades,True,True,(probe_adapter),probe_adapter_added,MSFT,https://financialmodelingprep.com/stable/grades-consensus?symbol=MSFT&<API_KEY_REDACTED>
5,ratings_grades_consensus,ratings_or_grades,True,True,(probe_adapter),probe_adapter_added,NVDA,https://financialmodelingprep.com/stable/grades-consensus?symbol=NVDA&<API_KEY_REDACTED>
10,key_metrics_quarterly,key_metrics,False,True,key_metrics_quarterly,mapped_in_client,AAPL,https://financialmodelingprep.com/stable/key-metrics?symbol=AAPL&period=quarter&<API_KEY_REDACTED>
10,key_metrics_quarterly,key_metrics,False,True,key_metrics_quarterly,mapped_in_client,MSFT,https://financialmodelingprep.com/stable/key-metrics?symbol=MSFT&period=quarter&<API_KEY_REDACTED>
10,key_metrics_quarterly,key_metrics,False,True,key_metrics_quarterly,mapped_in_client,NVDA,https://financialmodelingprep.com/stable/key-metrics?symbol=NVDA&period=quarter&<API_KEY_REDACTED>
11,ratios_quarterly,ratios,False,True,ratios_quarterly,mapped_in_client,AAPL,https://financialmodelingprep.com/stable/ratios?symbol=AAPL&period=quarter&<API_KEY_REDACTED>
11,ratios_quarterly,ratios,False,True,ratios_quarterly,mapped_in_client,MSFT,https://financialmodelingprep.com/stable/ratios?symbol=MSFT&period=quarter&<API_KEY_REDACTED>
11,ratios_quarterly,ratios,False,True,ratios_quarterly,mapped_in_client,NVDA,https://financialmodelingprep.com/stable/ratios?symbol=NVDA&period=quarter&<API_KEY_REDACTED>
12,income_statement_quarterly,fundamentals_statements,False,True,income_statement_quarterly,mapped_in_client,AAPL,https://financialmodelingprep.com/stable/income-statement?symbol=AAPL&period=quarter&<API_KEY_REDACTED>
12,income_statement_quarterly,fundamentals_statements,False,True,income_statement_quarterly,mapped_in_client,MSFT,https://financialmodelingprep.com/stable/income-statement?symbol=MSFT&period=quarter&<API_KEY_REDACTED>
12,income_statement_quarterly,fundamentals_statements,False,True,income_statement_quarterly,mapped_in_client,NVDA,https://financialmodelingprep.com/stable/income-statement?symbol=NVDA&period=quarter&<API_KEY_REDACTED>
