endpoint_family,critical,ticker,status,http_status,row_count,request_spent,attempted_url_redacted
earnings_surprises,True,AAPL,CACHED,200,164,False,https://financialmodelingprep.com/stable/earnings?symbol=AAPL&<API_KEY_REDACTED>
earnings_surprises,True,MSFT,CACHED,200,164,False,https://financialmodelingprep.com/stable/earnings?symbol=MSFT&<API_KEY_REDACTED>
earnings_surprises,True,NVDA,CACHED,200,109,False,https://financialmodelingprep.com/stable/earnings?symbol=NVDA&<API_KEY_REDACTED>
earnings_surprises,True,ABBV,CACHED,200,62,False,https://financialmodelingprep.com/stable/earnings?symbol=ABBV&<API_KEY_REDACTED>
earnings_surprises,True,ABT,SUBSCRIPTION_BLOCKED,402,0,True,https://financialmodelingprep.com/stable/earnings?symbol=ABT&<API_KEY_REDACTED>
earnings_surprises,True,ACN,SUBSCRIPTION_BLOCKED,402,0,True,https://financialmodelingprep.com/stable/earnings?symbol=ACN&<API_KEY_REDACTED>
earnings_surprises,True,ADBE,CACHED,200,163,False,https://financialmodelingprep.com/stable/earnings?symbol=ADBE&<API_KEY_REDACTED>
earnings_surprises,True,ADI,SUBSCRIPTION_BLOCKED,402,0,True,https://financialmodelingprep.com/stable/earnings?symbol=ADI&<API_KEY_REDACTED>
earnings_surprises,True,ADP,SUBSCRIPTION_BLOCKED,402,0,True,https://financialmodelingprep.com/stable/earnings?symbol=ADP&<API_KEY_REDACTED>
earnings_surprises,True,AMAT,SUBSCRIPTION_BLOCKED,402,0,True,https://financialmodelingprep.com/stable/earnings?symbol=AMAT&<API_KEY_REDACTED>
earnings_surprises,True,AMD,COLLECTED,200,164,True,https://financialmodelingprep.com/stable/earnings?symbol=AMD&<API_KEY_REDACTED>
earnings_surprises,True,AMGN,SUBSCRIPTION_BLOCKED,402,0,True,https://financialmodelingprep.com/stable/earnings?symbol=AMGN&<API_KEY_REDACTED>
earnings_surprises,True,AMZN,COLLECTED,200,122,True,https://financialmodelingprep.com/stable/earnings?symbol=AMZN&<API_KEY_REDACTED>
earnings_surprises,True,AON,SUBSCRIPTION_BLOCKED,402,0,True,https://financialmodelingprep.com/stable/earnings?symbol=AON&<API_KEY_REDACTED>
earnings_surprises,True,APD,SUBSCRIPTION_BLOCKED,402,0,True,https://financialmodelingprep.com/stable/earnings?symbol=APD&<API_KEY_REDACTED>
earnings_surprises,True,APH,SUBSCRIPTION_BLOCKED,402,0,True,https://financialmodelingprep.com/stable/earnings?symbol=APH&<API_KEY_REDACTED>
earnings_surprises,True,JPM,COLLECTED,200,164,True,https://financialmodelingprep.com/stable/earnings?symbol=JPM&<API_KEY_REDACTED>
earnings_calendar,True,AAPL,CACHED,200,164,False,https://financialmodelingprep.com/stable/earnings?symbol=AAPL&<API_KEY_REDACTED>
earnings_calendar,True,MSFT,CACHED,200,164,False,https://financialmodelingprep.com/stable/earnings?symbol=MSFT&<API_KEY_REDACTED>
