rank,endpoint_family,critical,ticker,cache_state,attempted_url_redacted
0,earnings_surprises,True,AAPL,cached,https://financialmodelingprep.com/stable/earnings?symbol=AAPL&<API_KEY_REDACTED>
0,earnings_surprises,True,MSFT,cached,https://financialmodelingprep.com/stable/earnings?symbol=MSFT&<API_KEY_REDACTED>
0,earnings_surprises,True,NVDA,cached,https://financialmodelingprep.com/stable/earnings?symbol=NVDA&<API_KEY_REDACTED>
0,earnings_surprises,True,ABBV,cached,https://financialmodelingprep.com/stable/earnings?symbol=ABBV&<API_KEY_REDACTED>
0,earnings_surprises,True,ABT,to_fetch,https://financialmodelingprep.com/stable/earnings?symbol=ABT&<API_KEY_REDACTED>
0,earnings_surprises,True,ACN,to_fetch,https://financialmodelingprep.com/stable/earnings?symbol=ACN&<API_KEY_REDACTED>
0,earnings_surprises,True,ADBE,cached,https://financialmodelingprep.com/stable/earnings?symbol=ADBE&<API_KEY_REDACTED>
0,earnings_surprises,True,ADI,to_fetch,https://financialmodelingprep.com/stable/earnings?symbol=ADI&<API_KEY_REDACTED>
0,earnings_surprises,True,ADP,to_fetch,https://financialmodelingprep.com/stable/earnings?symbol=ADP&<API_KEY_REDACTED>
0,earnings_surprises,True,AMAT,to_fetch,https://financialmodelingprep.com/stable/earnings?symbol=AMAT&<API_KEY_REDACTED>
0,earnings_surprises,True,AMD,to_fetch,https://financialmodelingprep.com/stable/earnings?symbol=AMD&<API_KEY_REDACTED>
0,earnings_surprises,True,AMGN,to_fetch,https://financialmodelingprep.com/stable/earnings?symbol=AMGN&<API_KEY_REDACTED>
0,earnings_surprises,True,AMZN,to_fetch,https://financialmodelingprep.com/stable/earnings?symbol=AMZN&<API_KEY_REDACTED>
0,earnings_surprises,True,AON,to_fetch,https://financialmodelingprep.com/stable/earnings?symbol=AON&<API_KEY_REDACTED>
0,earnings_surprises,True,APD,to_fetch,https://financialmodelingprep.com/stable/earnings?symbol=APD&<API_KEY_REDACTED>
0,earnings_surprises,True,APH,to_fetch,https://financialmodelingprep.com/stable/earnings?symbol=APH&<API_KEY_REDACTED>
0,earnings_surprises,True,JPM,to_fetch,https://financialmodelingprep.com/stable/earnings?symbol=JPM&<API_KEY_REDACTED>
1,earnings_calendar,True,AAPL,cached,https://financialmodelingprep.com/stable/earnings?symbol=AAPL&<API_KEY_REDACTED>
1,earnings_calendar,True,MSFT,cached,https://financialmodelingprep.com/stable/earnings?symbol=MSFT&<API_KEY_REDACTED>
1,earnings_calendar,True,NVDA,cached,https://financialmodelingprep.com/stable/earnings?symbol=NVDA&<API_KEY_REDACTED>
1,earnings_calendar,True,ABBV,to_fetch,https://financialmodelingprep.com/stable/earnings?symbol=ABBV&<API_KEY_REDACTED>
1,earnings_calendar,True,ABT,to_fetch,https://financialmodelingprep.com/stable/earnings?symbol=ABT&<API_KEY_REDACTED>
1,earnings_calendar,True,ACN,to_fetch,https://financialmodelingprep.com/stable/earnings?symbol=ACN&<API_KEY_REDACTED>
1,earnings_calendar,True,ADBE,to_fetch,https://financialmodelingprep.com/stable/earnings?symbol=ADBE&<API_KEY_REDACTED>
1,earnings_calendar,True,ADI,to_fetch,https://financialmodelingprep.com/stable/earnings?symbol=ADI&<API_KEY_REDACTED>
1,earnings_calendar,True,ADP,to_fetch,https://financialmodelingprep.com/stable/earnings?symbol=ADP&<API_KEY_REDACTED>
1,earnings_calendar,True,AMAT,to_fetch,https://financialmodelingprep.com/stable/earnings?symbol=AMAT&<API_KEY_REDACTED>
