ticker,priority,fmp_covered,fmp_blocked,skip_existing,will_request,request_url_redacted
ABT,1_fmp_blocked,False,True,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=ABT&<API_KEY_REDACTED>
ACN,1_fmp_blocked,False,True,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=ACN&<API_KEY_REDACTED>
ADI,1_fmp_blocked,False,True,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=ADI&<API_KEY_REDACTED>
ADP,1_fmp_blocked,False,True,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=ADP&<API_KEY_REDACTED>
AMAT,1_fmp_blocked,False,True,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=AMAT&<API_KEY_REDACTED>
AMGN,1_fmp_blocked,False,True,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=AMGN&<API_KEY_REDACTED>
AON,1_fmp_blocked,False,True,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=AON&<API_KEY_REDACTED>
APD,1_fmp_blocked,False,True,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=APD&<API_KEY_REDACTED>
APH,1_fmp_blocked,False,True,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=APH&<API_KEY_REDACTED>
AAPL,3_fmp_collected_crosscheck,True,False,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=AAPL&<API_KEY_REDACTED>
MSFT,3_fmp_collected_crosscheck,True,False,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=MSFT&<API_KEY_REDACTED>
NVDA,3_fmp_collected_crosscheck,True,False,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=NVDA&<API_KEY_REDACTED>
ABBV,3_fmp_collected_crosscheck,True,False,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=ABBV&<API_KEY_REDACTED>
ADBE,3_fmp_collected_crosscheck,True,False,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=ADBE&<API_KEY_REDACTED>
AMD,3_fmp_collected_crosscheck,True,False,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=AMD&<API_KEY_REDACTED>
AMZN,3_fmp_collected_crosscheck,True,False,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=AMZN&<API_KEY_REDACTED>
JPM,3_fmp_collected_crosscheck,True,False,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=JPM&<API_KEY_REDACTED>
GOOGL,4_phase5c_fallback,False,False,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=GOOGL&<API_KEY_REDACTED>
META,4_phase5c_fallback,False,False,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=META&<API_KEY_REDACTED>
TSLA,4_phase5c_fallback,False,False,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=TSLA&<API_KEY_REDACTED>
AVGO,4_phase5c_fallback,False,False,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=AVGO&<API_KEY_REDACTED>
COST,4_phase5c_fallback,False,False,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=COST&<API_KEY_REDACTED>
PEP,4_phase5c_fallback,False,False,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=PEP&<API_KEY_REDACTED>
KO,4_phase5c_fallback,False,False,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=KO&<API_KEY_REDACTED>
CSCO,4_phase5c_fallback,False,False,False,True,https://www.alphavantage.co/query?function=EARNINGS&symbol=CSCO&<API_KEY_REDACTED>
INTC,4_phase5c_fallback,False,False,False,False,https://www.alphavantage.co/query?function=EARNINGS&symbol=INTC&<API_KEY_REDACTED>
QCOM,4_phase5c_fallback,False,False,False,False,https://www.alphavantage.co/query?function=EARNINGS&symbol=QCOM&<API_KEY_REDACTED>
TXN,4_phase5c_fallback,False,False,False,False,https://www.alphavantage.co/query?function=EARNINGS&symbol=TXN&<API_KEY_REDACTED>
ORCL,4_phase5c_fallback,False,False,False,False,https://www.alphavantage.co/query?function=EARNINGS&symbol=ORCL&<API_KEY_REDACTED>
CRM,4_phase5c_fallback,False,False,False,False,https://www.alphavantage.co/query?function=EARNINGS&symbol=CRM&<API_KEY_REDACTED>
NFLX,4_phase5c_fallback,False,False,False,False,https://www.alphavantage.co/query?function=EARNINGS&symbol=NFLX&<API_KEY_REDACTED>
MU,4_phase5c_fallback,False,False,False,False,https://www.alphavantage.co/query?function=EARNINGS&symbol=MU&<API_KEY_REDACTED>
