endpoint_family,ticker,endpoint,priority,attempted,status,http_status,rows,first_date,last_date,has_point_in_time_dates,historical_depth_sufficient,usable_for_backtest,note,endpoint_redacted
earnings_history,ABT,fundamentals,1_fmp_blocked,True,OK,,133,1993-03-31,2026-07-16,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/ABT.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,ABT,fundamentals,1_fmp_blocked,True,OK,,163,1985-09-30,2026-04-29,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/ABT.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,ABT,fundamentals,1_fmp_blocked,True,OK,,40,2017-06-30,2027-12-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/ABT.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,ABT,fundamentals,1_fmp_blocked,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/ABT.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,ABT,earnings_calendar,1_fmp_blocked,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=ABT.US&<API_KEY_REDACTED>
earnings_history,ACN,fundamentals,1_fmp_blocked,True,OK,,101,2001-10-11,2026-09-24,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/ACN.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,ACN,fundamentals,1_fmp_blocked,True,OK,,106,2000-02-29,2026-06-18,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/ACN.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,ACN,fundamentals,1_fmp_blocked,True,OK,,40,2017-05-31,2027-08-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/ACN.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,ACN,fundamentals,1_fmp_blocked,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/ACN.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,ACN,earnings_calendar,1_fmp_blocked,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=ACN.US&<API_KEY_REDACTED>
earnings_history,ADI,fundamentals,1_fmp_blocked,True,OK,,122,1996-05-22,2026-08-19,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/ADI.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,ADI,fundamentals,1_fmp_blocked,True,OK,,163,1985-10-31,2026-05-20,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/ADI.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,ADI,fundamentals,1_fmp_blocked,True,OK,,40,2017-04-30,2027-10-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/ADI.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,ADI,fundamentals,1_fmp_blocked,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/ADI.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,ADI,earnings_calendar,1_fmp_blocked,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=ADI.US&<API_KEY_REDACTED>
earnings_history,ADP,fundamentals,1_fmp_blocked,True,OK,,128,1994-09-30,2026-07-29,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/ADP.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,ADP,fundamentals,1_fmp_blocked,True,OK,,163,1985-09-30,2026-04-30,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/ADP.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,ADP,fundamentals,1_fmp_blocked,True,OK,,39,2017-06-30,2027-06-30,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/ADP.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,ADP,fundamentals,1_fmp_blocked,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/ADP.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,ADP,earnings_calendar,1_fmp_blocked,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=ADP.US&<API_KEY_REDACTED>
earnings_history,AMAT,fundamentals,1_fmp_blocked,True,OK,,122,1996-05-14,2026-08-13,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/AMAT.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,AMAT,fundamentals,1_fmp_blocked,True,OK,,163,1985-10-31,2026-05-21,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/AMAT.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,AMAT,fundamentals,1_fmp_blocked,True,OK,,40,2017-04-30,2027-10-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/AMAT.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,AMAT,fundamentals,1_fmp_blocked,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/AMAT.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,AMAT,earnings_calendar,1_fmp_blocked,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=AMAT.US&<API_KEY_REDACTED>
earnings_history,AMGN,fundamentals,1_fmp_blocked,True,OK,,122,1996-04-17,2026-08-04,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/AMGN.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,AMGN,fundamentals,1_fmp_blocked,True,OK,,163,1985-09-30,2026-04-30,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/AMGN.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,AMGN,fundamentals,1_fmp_blocked,True,OK,,40,2017-06-30,2027-12-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/AMGN.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,AMGN,fundamentals,1_fmp_blocked,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/AMGN.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,AMGN,earnings_calendar,1_fmp_blocked,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=AMGN.US&<API_KEY_REDACTED>
earnings_history,AON,fundamentals,1_fmp_blocked,True,OK,,126,1995-03-31,2026-07-24,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/AON.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,AON,fundamentals,1_fmp_blocked,True,OK,,163,1985-09-30,2026-05-01,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/AON.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,AON,fundamentals,1_fmp_blocked,True,OK,,40,2017-06-30,2027-12-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/AON.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,AON,fundamentals,1_fmp_blocked,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/AON.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,AON,earnings_calendar,1_fmp_blocked,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=AON.US&<API_KEY_REDACTED>
earnings_history,APD,fundamentals,1_fmp_blocked,True,OK,,130,1992-12-31,2026-07-30,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/APD.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,APD,fundamentals,1_fmp_blocked,True,OK,,163,1985-09-30,2026-04-30,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/APD.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,APD,fundamentals,1_fmp_blocked,True,OK,,39,2017-06-30,2027-09-30,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/APD.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,APD,fundamentals,1_fmp_blocked,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/APD.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,APD,earnings_calendar,1_fmp_blocked,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=APD.US&<API_KEY_REDACTED>
earnings_history,APH,fundamentals,1_fmp_blocked,True,OK,,125,1995-07-17,2026-07-22,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/APH.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,APH,fundamentals,1_fmp_blocked,True,OK,,145,1990-03-31,2026-05-01,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/APH.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,APH,fundamentals,1_fmp_blocked,True,OK,,44,2017-06-30,2027-12-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/APH.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,APH,fundamentals,1_fmp_blocked,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/APH.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,APH,earnings_calendar,1_fmp_blocked,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=APH.US&<API_KEY_REDACTED>
earnings_history,AAPL,fundamentals,3_fmp_covered_crosscheck,True,OK,,131,1993-12-31,2026-07-30,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/AAPL.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,AAPL,fundamentals,3_fmp_covered_crosscheck,True,OK,,163,1985-09-30,2026-05-01,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/AAPL.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,AAPL,fundamentals,3_fmp_covered_crosscheck,True,OK,,39,2017-06-30,2027-09-30,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/AAPL.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,AAPL,fundamentals,3_fmp_covered_crosscheck,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/AAPL.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,AAPL,earnings_calendar,3_fmp_covered_crosscheck,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=AAPL.US&<API_KEY_REDACTED>
earnings_history,MSFT,fundamentals,3_fmp_covered_crosscheck,True,OK,,132,1993-09-30,2026-07-29,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/MSFT.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,MSFT,fundamentals,3_fmp_covered_crosscheck,True,OK,,163,1985-09-30,2026-04-29,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/MSFT.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,MSFT,fundamentals,3_fmp_covered_crosscheck,True,OK,,39,2017-06-30,2027-06-30,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/MSFT.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,MSFT,fundamentals,3_fmp_covered_crosscheck,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/MSFT.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,MSFT,earnings_calendar,3_fmp_covered_crosscheck,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=MSFT.US&<API_KEY_REDACTED>
earnings_history,NVDA,fundamentals,3_fmp_covered_crosscheck,True,OK,,110,1999-05-18,2026-08-26,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/NVDA.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,NVDA,fundamentals,3_fmp_covered_crosscheck,True,OK,,109,1999-06-15,2026-05-20,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/NVDA.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,NVDA,fundamentals,3_fmp_covered_crosscheck,True,OK,,40,2017-07-31,2028-01-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/NVDA.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,NVDA,fundamentals,3_fmp_covered_crosscheck,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/NVDA.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,NVDA,earnings_calendar,3_fmp_covered_crosscheck,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=NVDA.US&<API_KEY_REDACTED>
earnings_history,ABBV,fundamentals,3_fmp_covered_crosscheck,True,OK,,55,2013-01-23,2026-07-30,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/ABBV.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,ABBV,fundamentals,3_fmp_covered_crosscheck,True,OK,,62,2010-12-31,2026-05-08,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/ABBV.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,ABBV,fundamentals,3_fmp_covered_crosscheck,True,OK,,40,2017-06-30,2027-12-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/ABBV.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,ABBV,fundamentals,3_fmp_covered_crosscheck,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/ABBV.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,ABBV,earnings_calendar,3_fmp_covered_crosscheck,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=ABBV.US&<API_KEY_REDACTED>
earnings_history,ADBE,fundamentals,3_fmp_covered_crosscheck,True,OK,,121,1996-09-25,2026-09-10,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/ADBE.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,ADBE,fundamentals,3_fmp_covered_crosscheck,True,OK,,162,1986-02-28,2026-06-15,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/ADBE.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,ADBE,fundamentals,3_fmp_covered_crosscheck,True,OK,,40,2017-05-31,2027-11-30,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/ADBE.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,ADBE,fundamentals,3_fmp_covered_crosscheck,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/ADBE.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,ADBE,earnings_calendar,3_fmp_covered_crosscheck,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=ADBE.US&<API_KEY_REDACTED>
earnings_history,AMD,fundamentals,3_fmp_covered_crosscheck,True,OK,,122,1996-04-09,2026-08-04,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/AMD.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,AMD,fundamentals,3_fmp_covered_crosscheck,True,OK,,163,1985-09-30,2026-05-06,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/AMD.US?fmt=json&<API_KEY_REDACTED>
