ticker,priority,in_price_cache,cached_before,targeted_for_acquisition
ABT,1_fmp_blocked,True,True,False
ACN,1_fmp_blocked,True,True,False
ADI,1_fmp_blocked,True,True,False
ADP,1_fmp_blocked,True,True,False
AMAT,1_fmp_blocked,True,True,False
AMGN,1_fmp_blocked,True,True,False
AON,1_fmp_blocked,True,True,False
APD,1_fmp_blocked,True,True,False
APH,1_fmp_blocked,True,True,False
AAPL,2_fmp_covered_crosscheck,True,True,False
MSFT,2_fmp_covered_crosscheck,True,True,False
NVDA,2_fmp_covered_crosscheck,True,True,False
ABBV,2_fmp_covered_crosscheck,True,True,False
ADBE,2_fmp_covered_crosscheck,True,True,False
AMD,2_fmp_covered_crosscheck,True,True,False
AMZN,2_fmp_covered_crosscheck,True,True,False
JPM,2_fmp_covered_crosscheck,True,True,False
ABNB,3_priced_universe,True,False,True
AEM,3_priced_universe,True,False,True
AEP,3_priced_universe,True,False,True
AFL,3_priced_universe,True,False,True
ALAB,3_priced_universe,True,False,True
AMT,3_priced_universe,True,False,True
AMX,3_priced_universe,True,False,True
ANET,3_priced_universe,True,False,True
APO,3_priced_universe,True,False,True
APP,3_priced_universe,True,False,True
ARM,3_priced_universe,True,False,True
ASML,3_priced_universe,True,False,True
ASX,3_priced_universe,True,False,True
ATEYY,3_priced_universe,True,False,True
AVGO,3_priced_universe,True,True,False
AXP,3_priced_universe,True,False,True
AZN,3_priced_universe,True,False,True
B,3_priced_universe,True,False,True
BA,3_priced_universe,True,False,True
BABA,3_priced_universe,True,False,True
BAC,3_priced_universe,True,False,True
BAESY,3_priced_universe,True,False,True
BAM,3_priced_universe,True,False,True
BBVA,3_priced_universe,True,False,True
BCS,3_priced_universe,True,False,True
BE,3_priced_universe,True,False,True
BHP,3_priced_universe,True,False,True
BKNG,3_priced_universe,True,False,True
BKR,3_priced_universe,True,False,True
BLK,3_priced_universe,True,False,True
BMO,3_priced_universe,True,False,True
BMY,3_priced_universe,True,False,True
BN,3_priced_universe,True,False,True
BNS,3_priced_universe,True,False,True
BNY,3_priced_universe,True,False,True
BP,3_priced_universe,True,False,True
BSX,3_priced_universe,True,False,True
BTI,3_priced_universe,True,False,True
BUD,3_priced_universe,True,False,True
BX,3_priced_universe,True,False,True
C,3_priced_universe,True,False,True
CAT,3_priced_universe,True,False,True
CB,3_priced_universe,True,False,True
CDNS,3_priced_universe,True,False,True
CEG,3_priced_universe,True,False,True
CI,3_priced_universe,True,False,True
CIEN,3_priced_universe,True,False,True
CL,3_priced_universe,True,False,True
CM,3_priced_universe,True,False,True
CMCSA,3_priced_universe,True,False,True
CME,3_priced_universe,True,False,True
CMI,3_priced_universe,True,False,True
CNI,3_priced_universe,True,False,True
CNQ,3_priced_universe,True,False,True
COF,3_priced_universe,True,False,True
COHR,3_priced_universe,True,False,True
COP,3_priced_universe,True,False,True
COST,3_priced_universe,True,True,False
CP,3_priced_universe,True,False,True
CRH,3_priced_universe,True,False,True
CRM,3_priced_universe,True,True,False
CRWD,3_priced_universe,True,False,True
CSCO,3_priced_universe,True,True,False
CSX,3_priced_universe,True,False,True
CTAS,3_priced_universe,True,False,True
CVNA,3_priced_universe,True,False,True
CVS,3_priced_universe,True,False,True
CVX,3_priced_universe,True,False,True
CYATY,3_priced_universe,True,False,True
D,3_priced_universe,True,False,True
DASH,3_priced_universe,True,False,True
DB,3_priced_universe,True,False,True
DDOG,3_priced_universe,True,False,True
DE,3_priced_universe,True,False,True
DELL,3_priced_universe,True,False,True
DHR,3_priced_universe,True,False,True
DIS,3_priced_universe,True,False,True
DLR,3_priced_universe,True,False,True
DTEGY,3_priced_universe,True,False,True
DUK,3_priced_universe,True,False,True
E,3_priced_universe,True,False,True
ECL,3_priced_universe,True,False,True
ELV,3_priced_universe,True,False,True
EMR,3_priced_universe,True,False,True
ENB,3_priced_universe,True,False,True
EOG,3_priced_universe,True,False,True
EPD,3_priced_universe,True,False,True
EQIX,3_priced_universe,True,False,True
EQNR,3_priced_universe,True,False,True
ET,3_priced_universe,True,False,True
ETN,3_priced_universe,True,False,True
F,3_priced_universe,True,False,True
FCX,3_priced_universe,True,False,True
FDX,3_priced_universe,True,False,True
FIX,3_priced_universe,True,False,True
FTNT,3_priced_universe,True,False,True
GD,3_priced_universe,True,False,True
GE,3_priced_universe,True,False,True
GEV,3_priced_universe,True,False,True
GILD,3_priced_universe,True,False,True
GLW,3_priced_universe,True,False,True
GM,3_priced_universe,True,False,True
GOOGL,3_priced_universe,True,True,False
GS,3_priced_universe,True,False,True
GSK,3_priced_universe,True,False,True
GWW,3_priced_universe,True,False,True
HCA,3_priced_universe,True,False,True
HD,3_priced_universe,True,False,True
HDB,3_priced_universe,True,False,True
HLT,3_priced_universe,True,False,True
HON,3_priced_universe,True,False,True
HOOD,3_priced_universe,True,False,True
HPE,3_priced_universe,True,False,True
HSBC,3_priced_universe,True,False,True
HTHIY,3_priced_universe,True,False,True
HWM,3_priced_universe,True,False,True
IBKR,3_priced_universe,True,False,True
IBM,3_priced_universe,True,False,True
IBN,3_priced_universe,True,False,True
ICE,3_priced_universe,True,False,True
IFNNY,3_priced_universe,True,False,True
IMO,3_priced_universe,True,False,True
ING,3_priced_universe,True,False,True
INTC,3_priced_universe,True,True,False
INTU,3_priced_universe,True,False,True
ISRG,3_priced_universe,True,False,True
ITUB,3_priced_universe,True,False,True
ITW,3_priced_universe,True,False,True
JCI,3_priced_universe,True,False,True
JNJ,3_priced_universe,True,False,True
KEYS,3_priced_universe,True,False,True
KKR,3_priced_universe,True,False,True
KLAC,3_priced_universe,True,False,True
KMI,3_priced_universe,True,False,True
KO,3_priced_universe,True,True,False
KXIAY,3_priced_universe,True,False,True
LIN,3_priced_universe,True,False,True
LITE,3_priced_universe,True,False,True
LLY,3_priced_universe,True,False,True
LMT,3_priced_universe,True,False,True
LOW,3_priced_universe,True,False,True
LRCX,3_priced_universe,True,False,True
LSEGY,3_priced_universe,True,False,True
LYG,3_priced_universe,True,False,True
MA,3_priced_universe,True,False,True
MAR,3_priced_universe,True,False,True
MCD,3_priced_universe,True,False,True
MCK,3_priced_universe,True,False,True
