scenario,quantiles,mean_long_short_spread,spread_t,spread_hit_rate,n_months
earnings_surprise,5,0.0096,2.41,0.65,120
sue_standardized,5,0.0031,0.69,0.5833,120
surprise_x_rates_regime,5,0.007,0.97,0.6444,45
surprise_sector_neutral,5,0.0109,2.96,0.6417,120
surprise_x_quality,5,-0.0094,-2.28,0.65,120
accel_x_momentum,5,0.0051,1.11,0.4874,119
beat_streak,5,0.0003,0.07,0.5917,120
quality_filtered_surprise,5,0.002,0.4,0.5701,107
rev_growth,5,0.0049,0.9,0.5333,120
regime_gated_sue,5,0.002,0.36,0.5729,96
