scenario,regime,mean_ic
earnings_surprise,high_rates,0.0381
earnings_surprise,low_rates,0.0553
sue_standardized,high_rates,0.0349
sue_standardized,low_rates,0.0572
surprise_x_rates_regime,high_rates,0.0381
surprise_sector_neutral,high_rates,0.0271
surprise_sector_neutral,low_rates,0.0743
surprise_x_quality,high_rates,-0.0385
surprise_x_quality,low_rates,-0.0586
accel_x_momentum,high_rates,0.0123
accel_x_momentum,low_rates,0.0063
beat_streak,high_rates,0.0085
beat_streak,low_rates,0.0462
quality_filtered_surprise,high_rates,0.0278
quality_filtered_surprise,low_rates,0.0044
rev_growth,high_rates,0.0134
rev_growth,low_rates,0.028
regime_gated_sue,high_rates,-0.0739
regime_gated_sue,low_rates,0.0538
