scenario,n_events,n_months,mean_ic,ic_t,ic_p,bh_significant,mean_spread,spread_t,spread_hit_rate,net_spread_10bps,promoted
earnings_surprise,27279,120,0.0442,2.85,0.0044,True,0.0096,2.41,0.65,0.0076,False
sue_standardized,26392,120,0.0366,2.19,0.0283,True,0.0031,0.69,0.5833,0.0011,True
surprise_x_rates_regime,13776,45,0.0381,1.46,0.1448,False,0.007,0.97,0.6444,0.005,False
surprise_sector_neutral,27279,120,0.0514,2.96,0.0031,True,0.0109,2.96,0.6417,0.0089,True
surprise_x_quality,26839,120,-0.047,-2.96,0.0031,True,-0.0094,-2.28,0.65,-0.0114,False
accel_x_momentum,10932,119,0.0139,0.77,0.4392,False,0.0051,1.11,0.4874,0.0031,False
beat_streak,29032,120,0.0289,1.78,0.0759,False,0.0003,0.07,0.5917,-0.0016,False
quality_filtered_surprise,13553,107,0.0187,0.78,0.4337,False,0.002,0.4,0.5701,0.0001,False
rev_growth,20379,120,0.0135,0.71,0.4801,False,0.0049,0.9,0.5333,0.0029,False
regime_gated_sue,22532,96,0.0219,1.06,0.2884,False,0.002,0.36,0.5729,0.0,False
