ticker,priority,earnings_rows,fundamentals_quarters,usable_scored_events,scoreable
ABT,1_fmp_blocked,133,163,132,True
ACN,1_fmp_blocked,101,106,99,True
ADI,1_fmp_blocked,122,163,120,True
ADP,1_fmp_blocked,128,163,127,True
AMAT,1_fmp_blocked,122,163,121,True
AMGN,1_fmp_blocked,122,163,121,True
AON,1_fmp_blocked,126,163,125,True
APD,1_fmp_blocked,130,163,129,True
APH,1_fmp_blocked,125,145,124,True
AAPL,2_fmp_covered_crosscheck,131,163,130,True
MSFT,2_fmp_covered_crosscheck,132,163,131,True
NVDA,2_fmp_covered_crosscheck,110,109,108,True
ABBV,2_fmp_covered_crosscheck,55,62,54,True
ADBE,2_fmp_covered_crosscheck,121,162,119,True
AMD,2_fmp_covered_crosscheck,122,163,121,True
AMZN,2_fmp_covered_crosscheck,117,122,116,True
JPM,2_fmp_covered_crosscheck,126,163,123,True
ABNB,3_priced_universe,26,27,25,True
AEM,3_priced_universe,124,163,123,True
AEP,3_priced_universe,122,163,121,True
AFL,3_priced_universe,130,163,129,True
ALAB,3_priced_universe,11,17,10,True
AMT,3_priced_universe,114,117,113,True
AMX,3_priced_universe,100,105,99,True
ANET,3_priced_universe,49,54,48,True
APO,3_priced_universe,64,72,63,True
APP,3_priced_universe,23,30,22,True
ARM,3_priced_universe,13,16,12,True
ASML,3_priced_universe,110,125,109,True
ASX,3_priced_universe,86,105,85,True
ATEYY,3_priced_universe,71,102,71,True
AVGO,3_priced_universe,68,78,67,True
AXP,3_priced_universe,130,163,129,True
AZN,3_priced_universe,91,133,90,True
B,3_priced_universe,105,163,104,True
BA,3_priced_universe,122,163,121,True
BABA,3_priced_universe,49,60,48,True
BAC,3_priced_universe,124,137,122,True
BAESY,3_priced_universe,59,106,58,True
BAM,3_priced_universe,114,121,113,True
BBVA,3_priced_universe,85,149,84,True
BCS,3_priced_universe,66,159,65,True
BE,3_priced_universe,36,45,35,True
BHP,3_priced_universe,67,120,63,True
BKNG,3_priced_universe,110,109,109,True
BKR,3_priced_universe,122,41,121,True
BLK,3_priced_universe,107,109,106,True
BMO,3_priced_universe,123,134,122,True
BMY,3_priced_universe,122,157,121,True
BN,3_priced_universe,117,121,116,True
BNS,3_priced_universe,123,131,122,True
BNY,3_priced_universe,114,145,113,True
BP,3_priced_universe,127,163,126,True
BSX,3_priced_universe,122,141,121,True
BTI,3_priced_universe,86,107,85,True
BUD,3_priced_universe,66,76,65,True
BX,3_priced_universe,77,85,76,True
C,3_priced_universe,130,154,129,True
CAT,3_priced_universe,124,163,123,True
CB,3_priced_universe,124,138,123,True
CDNS,3_priced_universe,122,161,121,True
CEG,3_priced_universe,20,55,19,True
CI,3_priced_universe,122,163,121,True
CIEN,3_priced_universe,117,118,116,True
CL,3_priced_universe,124,163,123,True
CM,3_priced_universe,124,122,123,True
CMCSA,3_priced_universe,122,163,121,True
CME,3_priced_universe,95,101,94,True
CMI,3_priced_universe,122,163,121,True
CNI,3_priced_universe,120,121,119,True
CNQ,3_priced_universe,119,133,118,True
COF,3_priced_universe,122,129,121,True
COHR,3_priced_universe,127,163,126,True
COP,3_priced_universe,122,163,121,True
COST,3_priced_universe,101,165,99,True
CP,3_priced_universe,100,104,99,True
CRH,3_priced_universe,62,142,61,True
CRM,3_priced_universe,89,97,87,True
CRWD,3_priced_universe,30,34,29,True
CSCO,3_priced_universe,128,155,127,True
CSX,3_priced_universe,122,163,121,True
CTAS,3_priced_universe,124,163,123,True
CVNA,3_priced_universe,39,45,38,True
CVS,3_priced_universe,122,163,121,True
CVX,3_priced_universe,124,133,123,True
CYATY,3_priced_universe,3,8,3,True
D,3_priced_universe,120,163,119,True
DASH,3_priced_universe,27,29,26,True
DB,3_priced_universe,91,109,90,True
DDOG,3_priced_universe,29,33,28,True
DE,3_priced_universe,122,163,120,True
DELL,3_priced_universe,39,53,38,True
DHR,3_priced_universe,124,163,123,True
DIS,3_priced_universe,122,163,121,True
DLR,3_priced_universe,87,94,86,True
DTEGY,3_priced_universe,75,105,74,True
DUK,3_priced_universe,122,163,121,True
E,3_priced_universe,94,125,93,True
ECL,3_priced_universe,122,163,121,True
ELV,3_priced_universe,100,105,99,True
EMR,3_priced_universe,125,163,124,True
ENB,3_priced_universe,112,153,111,True
EOG,3_priced_universe,122,149,121,True
EPD,3_priced_universe,112,113,111,True
EQIX,3_priced_universe,104,105,103,True
EQNR,3_priced_universe,98,105,97,True
ET,3_priced_universe,82,87,81,True
ETN,3_priced_universe,122,163,121,True
F,3_priced_universe,130,163,129,True
FCX,3_priced_universe,124,157,123,True
FDX,3_priced_universe,121,164,120,True
FIX,3_priced_universe,116,117,115,True
FTNT,3_priced_universe,68,77,67,True
GD,3_priced_universe,124,163,123,True
GE,3_priced_universe,130,163,129,True
GEV,3_priced_universe,11,13,10,True
GILD,3_priced_universe,124,143,123,True
GLW,3_priced_universe,122,163,121,True
GM,3_priced_universe,63,105,62,True
GOOGL,3_priced_universe,88,97,87,True
GS,3_priced_universe,109,110,108,True
GSK,3_priced_universe,116,162,115,True
GWW,3_priced_universe,122,163,121,True
HCA,3_priced_universe,62,145,61,True
HD,3_priced_universe,122,164,121,True
HDB,3_priced_universe,62,102,61,True
HLT,3_priced_universe,51,87,50,True
HON,3_priced_universe,122,163,121,True
HOOD,3_priced_universe,24,29,23,True
HPE,3_priced_universe,43,51,42,True
HSBC,3_priced_universe,64,108,63,True
HTHIY,3_priced_universe,81,163,80,True
HWM,3_priced_universe,123,93,122,True
IBKR,3_priced_universe,78,82,77,True
IBM,3_priced_universe,130,163,129,True
IBN,3_priced_universe,66,108,65,True
ICE,3_priced_universe,84,93,83,True
IFNNY,3_priced_universe,105,105,104,True
IMO,3_priced_universe,125,163,124,True
ING,3_priced_universe,99,117,98,True
INTC,3_priced_universe,130,163,129,True
INTU,3_priced_universe,125,134,123,True
ISRG,3_priced_universe,105,105,104,True
ITUB,3_priced_universe,93,105,92,True
ITW,3_priced_universe,122,163,121,True
JCI,3_priced_universe,124,163,123,True
JNJ,3_priced_universe,122,163,121,True
KEYS,3_priced_universe,48,55,47,True
KKR,3_priced_universe,68,70,67,True
KLAC,3_priced_universe,123,163,122,True
KMI,3_priced_universe,66,105,65,True
KO,3_priced_universe,124,163,123,True
KXIAY,3_priced_universe,1,0,1,True
LIN,3_priced_universe,125,141,124,True
LITE,3_priced_universe,45,52,44,True
LLY,3_priced_universe,122,163,121,True
LMT,3_priced_universe,124,129,123,True
LOW,3_priced_universe,124,163,122,True
LRCX,3_priced_universe,124,163,123,True
LSEGY,3_priced_universe,27,0,27,True
LYG,3_priced_universe,64,103,63,True
MA,3_priced_universe,82,96,81,True
MAR,3_priced_universe,123,113,122,True
MCD,3_priced_universe,122,163,121,True
MCK,3_priced_universe,123,128,122,True
MCO,3_priced_universe,114,113,113,True
MDLN,3_priced_universe,4,7,3,True
MDLZ,3_priced_universe,101,105,100,True
MDT,3_priced_universe,122,163,120,True
MELI,3_priced_universe,77,85,76,True
META,3_priced_universe,58,65,57,True
MFC,3_priced_universe,108,109,107,True
MFG,3_priced_universe,79,82,78,True
MGCLY,3_priced_universe,4,8,4,True
MMM,3_priced_universe,122,163,121,True
MNST,3_priced_universe,122,146,121,True
MO,3_priced_universe,130,163,129,True
