scenario,event_hit_rate,month_spread_hit_rate
earnings_surprise,0.5036,0.6583
sue_standardized,0.5056,0.575
surprise_magnitude,0.5035,0.6083
positive_surprise_asymmetry,0.5037,0.5917
earnings_momentum,0.4914,0.4583
earnings_acceleration,0.4972,0.5167
beat_streak,0.497,0.4667
surprise_fade,0.4846,0.6583
revenue_growth,0.4875,0.5333
earnings_growth,0.506,0.575
gross_margin,0.5131,0.5333
operating_margin,0.5411,0.5083
fcf_margin,0.522,0.475
roa_quality,0.5082,0.475
low_leverage,0.4765,0.5
quality_composite,0.5191,0.5
balance_sheet_strength,0.5016,0.6083
quality_improvement,0.4986,0.625
earnings_yield_value,0.4941,0.5417
price_momentum_21,0.5157,0.4958
price_momentum_63,0.5053,0.4914
low_volatility,0.4792,0.6134
low_beta,0.4979,0.5546
liquidity,,
sector_leadership,0.5076,0.5042
surprise_high_rates,0.5065,0.6444
surprise_easy_curve,0.5043,0.625
surprise_drawdown,0.5539,0.7
surprise_high_oil,0.5046,0.6579
sue_easy_curve,0.5052,0.5625
surprise_x_quality,0.5077,0.65
surprise_x_qualimp,0.5035,0.65
surprise_x_margin_exp,0.5032,0.5333
surprise_x_valuation,0.4758,0.5667
surprise_x_momentum,0.516,0.5462
surprise_x_lowvol,0.4854,0.5546
sue_x_quality,0.5156,0.4917
sue_x_momentum,0.5166,0.5042
beats_x_momentum,0.5236,0.5378
accel_x_quality,0.5181,0.4833
accel_x_momentum,0.5056,0.4741
surprise_sector_neutral,0.4853,0.6417
sue_sector_neutral,0.4942,0.625
