scenario,regime,mean_ic
earnings_surprise,high_rates,0.0381
earnings_surprise,low_rates,0.0553
sue_standardized,high_rates,0.0349
sue_standardized,low_rates,0.0572
surprise_magnitude,high_rates,0.0262
surprise_magnitude,low_rates,0.0568
positive_surprise_asymmetry,high_rates,0.0401
positive_surprise_asymmetry,low_rates,0.0604
earnings_momentum,high_rates,-0.018
earnings_momentum,low_rates,0.0106
earnings_acceleration,high_rates,-0.0027
earnings_acceleration,low_rates,0.0546
beat_streak,high_rates,0.0085
beat_streak,low_rates,0.0462
surprise_fade,high_rates,-0.0381
surprise_fade,low_rates,-0.0553
revenue_growth,high_rates,0.0134
revenue_growth,low_rates,0.028
earnings_growth,high_rates,0.0615
earnings_growth,low_rates,-0.0005
gross_margin,high_rates,-0.0077
gross_margin,low_rates,0.0222
operating_margin,high_rates,0.023
operating_margin,low_rates,-0.0074
fcf_margin,high_rates,-0.0105
fcf_margin,low_rates,0.029
roa_quality,high_rates,0.0276
roa_quality,low_rates,-0.0098
low_leverage,high_rates,-0.0365
low_leverage,low_rates,-0.0018
quality_composite,high_rates,-0.0111
quality_composite,low_rates,0.0301
balance_sheet_strength,high_rates,-0.0045
balance_sheet_strength,low_rates,0.0333
quality_improvement,high_rates,0.0594
quality_improvement,low_rates,0.0149
earnings_yield_value,high_rates,0.0179
earnings_yield_value,low_rates,-0.0111
price_momentum_21,high_rates,0.0204
price_momentum_21,low_rates,0.0122
price_momentum_63,high_rates,-0.0179
price_momentum_63,low_rates,0.0339
low_volatility,high_rates,-0.0374
low_volatility,low_rates,-0.0343
low_beta,high_rates,-0.0449
low_beta,low_rates,-0.0092
sector_leadership,high_rates,0.0116
sector_leadership,low_rates,0.0099
surprise_high_rates,high_rates,0.0381
surprise_easy_curve,high_rates,-0.0274
surprise_easy_curve,low_rates,0.0525
surprise_drawdown,high_rates,0.0686
surprise_drawdown,low_rates,0.0652
surprise_high_oil,high_rates,0.0719
surprise_high_oil,low_rates,0.0438
sue_easy_curve,high_rates,-0.0739
sue_easy_curve,low_rates,0.0538
surprise_x_quality,high_rates,0.0393
surprise_x_quality,low_rates,0.0588
surprise_x_qualimp,high_rates,0.0367
surprise_x_qualimp,low_rates,0.0543
surprise_x_margin_exp,high_rates,0.0119
surprise_x_margin_exp,low_rates,0.03
surprise_x_valuation,high_rates,0.042
surprise_x_valuation,low_rates,0.0069
surprise_x_momentum,high_rates,0.0191
surprise_x_momentum,low_rates,0.0179
surprise_x_lowvol,high_rates,-0.0479
surprise_x_lowvol,low_rates,-0.0174
sue_x_quality,high_rates,0.0085
sue_x_quality,low_rates,0.0081
sue_x_momentum,high_rates,0.0179
sue_x_momentum,low_rates,0.0099
beats_x_momentum,high_rates,0.0043
beats_x_momentum,low_rates,0.0391
accel_x_quality,high_rates,0.006
accel_x_quality,low_rates,0.0156
accel_x_momentum,high_rates,-0.0201
accel_x_momentum,low_rates,0.0252
surprise_sector_neutral,high_rates,0.0271
surprise_sector_neutral,low_rates,0.0743
sue_sector_neutral,high_rates,0.0586
sue_sector_neutral,low_rates,0.0515
